datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.264099,0.268651,0.258875,0.265509,102053.0,21642100.0
"Jul 25, 2017",0.265696,0.266142,0.234145,0.237616,58631.0,21773000.0
"Jul 26, 2017",0.237243,0.239785,0.208927,0.233701,80603.0,19441400.0
"Jul 27, 2017",0.234002,0.242862,0.215061,0.239003,81387.0,19175800.0
"Jul 28, 2017",0.239222,0.240771,0.206836,0.217512,57049.0,19603500.0
"Jul 29, 2017",0.217289,0.221022,0.198964,0.215633,157470.0,17806200.0
"Jul 30, 2017",0.21577,0.216933,0.197405,0.212274,40325.0,17681700.0
"Jul 31, 2017",0.212443,0.217507,0.182156,0.214591,18715.0,17409100.0
"Aug 01, 2017",0.214682,0.219159,0.201847,0.204257,35320.0,17502800.0
"Aug 02, 2017",0.204187,0.204524,0.187472,0.191639,68274.0,16647100.0
"Aug 03, 2017",0.189465,0.218866,0.162648,0.192818,84820.0,15446900.0
"Aug 04, 2017",0.194526,0.196033,0.176366,0.195195,21895.0,15859500.0
"Aug 05, 2017",0.195187,0.212295,0.19427,0.20878,13560.0,15913400.0
"Aug 06, 2017",0.208581,0.224631,0.202545,0.221675,15247.0,17005400.0
"Aug 07, 2017",0.221396,0.225361,0.199019,0.203903,16853.0,18050200.0
"Aug 08, 2017",0.204046,0.207332,0.200386,0.202761,22202.0,16635700.0
"Aug 09, 2017",0.202984,0.203361,0.161654,0.162399,77343.0,16549100.0
"Aug 10, 2017",0.162294,0.200153,0.148933,0.193181,28811.0,13231700.0
"Aug 11, 2017",0.193874,0.202232,0.190161,0.1989,64522.0,15806300.0
"Aug 12, 2017",0.198615,0.210108,0.18993,0.193773,66540.0,16192800.0
"Aug 13, 2017",0.193766,0.19575,0.1749,0.189558,105891.0,15797600.0
"Aug 14, 2017",0.189748,0.200804,0.189495,0.197548,49177.0,15469900.0
"Aug 15, 2017",0.197897,0.197929,0.181555,0.190366,40097.0,16134300.0
"Aug 16, 2017",0.190775,0.191352,0.178664,0.182492,38372.0,15553600.0
"Aug 17, 2017",0.182588,0.183487,0.166542,0.175402,34039.0,14886200.0
"Aug 18, 2017",0.174986,0.189981,0.174718,0.182725,25248.0,14266400.0
"Aug 19, 2017",0.182684,0.191726,0.179862,0.190388,22454.0,14894000.0
"Aug 20, 2017",0.189774,0.189992,0.183604,0.188154,34633.0,15472000.0
"Aug 21, 2017",0.187803,0.192415,0.166165,0.183829,56161.0,15311300.0
"Aug 22, 2017",0.183914,0.192862,0.168549,0.187368,63549.0,14994300.0
