datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.004819,0.004819,0.003835,0.003991,3.0,24232.0
2017-1-02,0.003993,0.005126,0.003987,0.004087,17.0,20100.0
2017-1-03,0.004087,0.005175,0.004086,0.004176,2.0,20591.0
2017-1-04,0.004175,0.005797,0.004175,0.005768,30.0,21054.0
2017-1-05,0.005774,0.00588,0.003642,0.004042,59.0,29120.0
2017-1-06,0.004054,0.004616,0.003536,0.003609,3.0,20444.0
2017-1-07,0.003614,0.005442,0.003294,0.003634,68.0,18227.0
2017-1-08,0.003634,0.004622,0.003549,0.00364,11.0,18330.0
2017-1-09,0.003645,0.004568,0.002694,0.00271,3.0,18383.0
2017-1-10,0.002708,0.004555,0.002706,0.00363,3.0,13660.0
2017-1-11,0.003631,0.004129,0.003051,0.003894,4.0,18312.0
2017-1-12,0.003889,0.004086,0.003023,0.003221,1.0,19613.0
2017-1-13,0.003219,0.00414,0.00312,0.003291,2.0,16237.0
2017-1-14,0.003296,0.004145,0.002437,0.002456,3.0,16771.0
2017-1-15,0.002455,0.004113,0.002439,0.002465,3.0,12504.0
2017-1-16,0.002465,0.004147,0.002461,0.003325,7.0,12567.0
2017-1-17,0.003326,0.004282,0.002598,0.002722,7.0,16971.0
2017-1-18,0.002724,0.004397,0.002575,0.003532,30.0,13911.0
2017-1-19,0.003546,0.004481,0.002679,0.003598,37.0,18129.0
2017-1-20,0.003596,0.004484,0.002661,0.002685,7.0,18395.0
2017-1-21,0.002685,0.003709,0.002685,0.003687,2.0,13750.0
2017-1-22,0.003687,0.004615,0.002693,0.003694,6.0,18897.0
2017-1-23,0.003699,0.005541,0.002761,0.003686,17.0,18972.0
2017-1-24,0.003684,0.004605,0.003583,0.004461,7.0,18915.0
2017-1-25,0.004463,0.004516,0.00358,0.004506,2.0,22937.0
2017-1-26,0.004508,0.005516,0.003628,0.004588,58.0,23188.0
2017-1-27,0.004588,0.005539,0.004584,0.004599,1.0,23619.0
2017-1-28,0.005518,0.005543,0.003687,0.004608,4.0,28437.0
2017-1-29,0.004608,0.005539,0.003692,0.004598,16.0,23763.0
2017-1-30,0.004597,0.005537,0.003681,0.003683,32.0,23732.0
2017-1-31,0.003682,0.004798,0.002771,0.003882,29.0,19022.0
2017-2-01,0.003882,0.004865,0.003882,0.003956,2.0,20077.0
2017-2-02,0.003956,0.004054,0.003933,0.004047,5.0,20473.0
2017-2-03,0.004046,0.00514,0.004035,0.00412,4.0,20954.0
2017-2-04,0.004125,0.005215,0.004061,0.005215,3.0,21383.0
2017-2-05,0.005218,0.005218,0.004089,0.004109,5.0,27069.0
2017-2-06,0.004114,0.0052,0.004113,0.004153,0.0,21360.0
2017-2-07,0.004161,0.004248,0.004161,0.004245,6.0,21624.0
2017-2-08,0.004249,0.005388,0.00415,0.004252,15.0,22104.0
2017-2-09,0.004259,0.00544,0.003813,0.003978,27.0,22173.0
2017-2-10,0.003983,0.004951,0.003787,0.004943,94.0,20753.0
2017-2-11,0.004944,0.007062,0.004914,0.007031,331.0,25786.0
2017-2-12,0.007025,0.007033,0.005982,0.005995,264.0,36671.0
2017-2-13,0.005993,0.006013,0.00488,0.004953,261.0,31313.0
2017-2-14,0.004959,0.006016,0.004954,0.005023,2.0,25931.0
2017-2-15,0.005031,0.006022,0.005008,0.005037,11.0,26331.0
2017-2-16,0.005038,0.006131,0.005038,0.005137,14.0,26391.0
2017-2-17,0.005131,0.006286,0.005128,0.005231,29.0,26898.0
2017-2-18,0.005246,0.006367,0.004217,0.004218,14.0,27527.0
2017-2-19,0.004219,0.006297,0.004175,0.005239,8.0,22158.0
2017-2-20,0.005243,0.009538,0.005208,0.006483,684.0,27561.0
2017-2-21,0.00648,0.007756,0.005385,0.005576,7.0,34094.0
2017-2-22,0.005574,0.005608,0.003353,0.003353,76.0,29350.0
2017-2-23,0.003352,0.005737,0.003352,0.004699,42.0,17665.0
2017-2-24,0.004691,0.006002,0.004545,0.004695,4.0,24741.0
2017-2-25,0.004682,0.005872,0.004498,0.004575,12.0,24714.0
2017-2-26,0.004575,0.005803,0.004522,0.004662,4.0,24173.0
2017-2-27,0.004655,0.007017,0.004654,0.004716,5.0,24616.0
2017-2-28,0.00472,0.005902,0.004687,0.0059,12.0,24978.0
2017-3-01,0.0059,0.006062,0.003627,0.003668,15.0,31251.0
2017-3-02,0.003668,0.005044,0.003647,0.005006,6.0,19443.0
2017-3-03,0.005004,0.0064,0.003761,0.003825,2.0,26550.0
2017-3-04,0.003832,0.008933,0.003821,0.005021,70.0,20350.0
2017-3-05,0.005017,0.007485,0.004952,0.005068,7.0,26665.0
2017-3-06,0.005068,0.00638,0.005058,0.005091,4.0,26960.0
2017-3-07,0.005093,0.006351,0.004819,0.004895,6.0,27112.0
2017-3-08,0.004893,0.006055,0.004592,0.0046,3.0,26069.0
2017-3-09,0.004601,0.005987,0.004565,0.004753,3.0,24535.0
2017-3-10,0.004754,0.005988,0.004309,0.004467,7.0,25372.0
2017-3-11,0.004467,0.008234,0.004465,0.005876,86.0,23859.0
2017-3-12,0.005879,0.008243,0.003543,0.004886,393.0,31430.0
2017-3-13,0.004886,0.006135,0.004868,0.004927,11.0,26139.0
2017-3-14,0.004928,0.006224,0.004883,0.00496,16.0,26386.0
2017-3-15,0.004961,0.006246,0.004959,0.004998,15.0,26585.0
2017-3-16,0.004998,0.007482,0.00461,0.004751,18.0,26809.0
2017-3-17,0.004751,0.005859,0.004401,0.004401,19.0,25504.0
2017-3-18,0.004401,0.00599,0.003926,0.004869,19.0,23644.0
2017-3-19,0.004869,0.006102,0.004095,0.004147,43.0,26180.0
2017-3-20,0.005186,0.005311,0.004148,0.005267,30.0,27910.0
2017-3-21,0.005277,0.005612,0.00425,0.00448,19.0,28420.0
2017-3-22,0.004482,0.005546,0.004057,0.004197,7.0,24161.0
2017-3-23,0.0042,0.00629,0.004116,0.005193,20.0,22660.0
2017-3-24,0.005193,0.006778,0.004893,0.005625,89.0,28040.0
2017-3-25,0.005625,0.006669,0.004675,0.004874,31.0,30399.0
2017-3-26,0.004864,0.006903,0.004771,0.004825,23.0,26307.0
2017-3-27,0.00486,0.007324,0.00486,0.00732,155.0,26307.0
2017-3-28,0.007312,0.007323,0.005142,0.005236,131.0,39611.0
2017-3-29,0.00523,0.007261,0.005079,0.00624,277.0,28359.0
2017-3-30,0.00624,0.007341,0.00612,0.006158,163.0,33857.0
2017-3-31,0.00616,0.008598,0.00616,0.0075,251.0,33450.0
2017-4-01,0.007503,0.010803,0.007452,0.010803,186.0,40778.0
2017-4-02,0.010805,0.01321,0.009682,0.01102,1062.0,58777.0
2017-4-03,0.011022,0.012666,0.011022,0.012582,42.0,60006.0
2017-4-04,0.012601,0.016954,0.011459,0.013594,868.0,68659.0
2017-4-05,0.013599,0.015722,0.009012,0.011248,91.0,74171.0
2017-4-06,0.011258,0.015265,0.010176,0.013016,37.0,61451.0
2017-4-07,0.01301,0.015209,0.010511,0.011762,31.0,71068.0
2017-4-08,0.011727,0.013002,0.009367,0.010581,16.0,64111.0
2017-4-09,0.010589,0.015322,0.009382,0.010691,102.0,57937.0
2017-4-10,0.010691,0.014279,0.010611,0.011866,18.0,58551.0
2017-4-11,0.011871,0.013273,0.010696,0.012058,67.0,65066.0
2017-4-12,0.01205,0.013259,0.010771,0.012009,27.0,66090.0
2017-4-13,0.012004,0.012057,0.009617,0.01169,34.0,65890.0
2017-4-14,0.011693,0.011825,0.010438,0.01051,79.0,64240.0
2017-4-15,0.010508,0.011862,0.008295,0.010552,144.0,57770.0
2017-4-16,0.010554,0.011855,0.009411,0.009466,32.0,58066.0
2017-4-17,0.009466,0.011859,0.009381,0.010746,146.0,52122.0
2017-4-18,0.010745,0.0121,0.00955,0.010905,113.0,59210.0
2017-4-19,0.010905,0.012073,0.009641,0.009679,227.0,60142.0
2017-4-20,0.009682,0.011167,0.009675,0.011061,33.0,53443.0
2017-4-21,0.011062,0.011118,0.009724,0.010994,39.0,61103.0
2017-4-22,0.010998,0.011117,0.009717,0.011089,15.0,60806.0
2017-4-23,0.011085,0.01109,0.009632,0.010861,84.0,61333.0
2017-4-24,0.010865,0.01103,0.009687,0.010003,97.0,60165.0
2017-4-25,0.010001,0.011397,0.01,0.010122,18.0,55424.0
2017-4-26,0.010124,0.011544,0.010124,0.01153,95.0,56149.0
2017-4-27,0.01153,0.011839,0.008987,0.010542,41.0,64008.0
2017-4-28,0.010542,0.011748,0.009047,0.010535,78.0,58556.0
2017-4-29,0.010532,0.011916,0.009206,0.009251,7.0,58549.0
2017-4-30,0.011896,0.011897,0.00921,0.009435,22.0,66187.0
2017-5-01,0.009435,0.011388,0.009435,0.01138,31.0,52533.0
2017-5-02,0.011373,0.011643,0.008649,0.011623,33.0,63371.0
2017-5-03,0.011623,0.011927,0.008685,0.008941,870.0,64814.0
2017-5-04,0.008941,0.012681,0.008941,0.010738,118.0,49899.0
2017-5-05,0.010764,0.012851,0.009182,0.009335,18.0,60121.0
2017-5-06,0.009333,0.01263,0.009255,0.009472,136.0,52172.0
2017-5-07,0.009473,0.014164,0.009473,0.011177,315.0,52997.0
2017-5-08,0.011177,0.014649,0.011177,0.012061,32.0,62581.0
2017-5-09,0.012063,0.014668,0.011935,0.012282,29.0,67595.0
2017-5-10,0.012287,0.014206,0.012034,0.012306,91.0,68902.0
2017-5-11,0.012328,0.014818,0.012194,0.014603,16.0,69187.0
2017-5-12,0.014617,0.014648,0.011666,0.011893,53.0,82095.0
2017-5-13,0.011869,0.015963,0.011869,0.015962,105.0,66710.0
2017-5-14,0.014234,0.016286,0.012313,0.012529,17.0,80069.0
2017-5-15,0.012536,0.016082,0.011872,0.013846,41.0,70575.0
2017-5-16,0.013826,0.013939,0.011795,0.012174,48.0,77896.0
2017-5-17,0.012171,0.014643,0.010448,0.012691,141.0,68622.0
2017-5-18,0.012685,0.015087,0.012652,0.015077,49.0,71573.0
2017-5-19,0.015085,0.017533,0.013253,0.013752,583.0,85186.0
2017-5-20,0.013737,0.018423,0.011817,0.016373,3171.0,77641.0
2017-5-21,0.016367,0.020274,0.013983,0.014228,1454.0,92572.0
2017-5-22,0.014276,0.0195,0.014159,0.014775,129.0,80813.0
2017-5-23,0.014753,0.022104,0.014753,0.018072,762.0,83567.0
2017-5-24,0.015832,0.01989,0.015832,0.017077,223.0,89760.0
2017-5-25,0.017045,0.021978,0.016349,0.018447,1534.0,96700.0
2017-5-26,0.018312,0.020051,0.012319,0.015608,336.0,103972.0
2017-5-27,0.015659,0.015897,0.01131,0.012204,21.0,88985.0
2017-5-28,0.012277,0.015891,0.012277,0.015228,65.0,69815.0
2017-5-29,0.015197,0.016265,0.012804,0.013651,167.0,86493.0
2017-5-30,0.013667,0.018552,0.012984,0.015271,326.0,77846.0
