datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-15,2.5e-05,2.5e-05,2.4e-05,2.5e-05,2.0,6083.0
2017-1-16,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2.0,6095.0
2017-1-17,2.7e-05,2.7e-05,2.7e-05,2.7e-05,9.0,6685.0
2017-1-18,2.7e-05,2.8e-05,2.6e-05,2.6e-05,9.0,6734.0
2017-1-24,2.7e-05,2.8e-05,2.7e-05,2.7e-05,1.0,6706.0
2017-1-25,2.7e-05,2.7e-05,2.7e-05,2.7e-05,1.0,6622.0
2017-6-08,0.000383,0.000384,0.0003,0.000365,348.0,94889.0
2017-6-09,0.000364,0.000762,0.000225,0.000533,951.0,90200.0
2017-6-10,0.000534,0.00075,0.000225,0.000318,409.0,132258.0
2017-6-11,0.000752,0.000752,0.000403,0.000417,162.0,186197.0
2017-6-12,0.000565,0.000615,0.000404,0.00061,135.0,139983.0
2017-6-13,0.000608,0.000907,0.000432,0.000461,382.0,150480.0
2017-6-14,0.00046,0.000712,0.000439,0.000639,95.0,114030.0
2017-6-15,0.000639,0.000656,0.0004,0.000652,58.0,158263.0
2017-6-16,0.000507,0.000724,0.000447,0.000475,146.0,125562.0
2017-6-17,0.000475,0.000724,0.000475,0.000625,66.0,117569.0
2017-6-18,0.000625,0.000625,0.000475,0.000475,200.0,154698.0
2017-6-19,0.000475,0.000824,0.000475,0.0005,121.0,117572.0
2017-6-20,0.0005,0.000799,0.000375,0.000525,659.0,123762.0
2017-6-21,0.000525,0.000724,0.000525,0.000674,46.0,129952.0
2017-6-22,0.000674,0.000749,0.0006,0.000625,14.0,167083.0
2017-6-23,0.000625,0.000815,0.000625,0.0007,15.0,154709.0
2017-6-24,0.000699,0.000788,0.000681,0.000694,4.0,173288.0
2017-6-25,0.000693,0.001439,0.000636,0.001436,134311.0,171600.0
2017-6-26,0.001435,0.001732,0.000671,0.000901,13906.0,355602.0
2017-6-27,0.000901,0.000911,0.000576,0.000911,2158.0,223301.0
2017-6-28,0.000917,0.001035,0.000816,0.00092,74.0,227285.0
2017-6-29,0.000919,0.000928,0.000898,0.00091,4.0,227661.0
2017-6-30,0.000912,0.000918,0.000699,0.000834,27.0,225842.0
2017-7-01,0.000834,0.001192,0.000705,0.000867,458.0,206531.0
2017-7-02,0.000867,0.001075,0.000815,0.00085,172.0,214690.0
2017-7-03,0.000846,0.001015,0.000737,0.000737,36.0,209713.0
2017-7-04,0.000736,0.000944,0.000736,0.000777,178.0,182256.0
2017-7-05,0.000777,0.000822,0.000732,0.000754,69.0,192525.0
2017-7-06,0.000754,0.000807,0.000719,0.000727,32.0,186805.0
2017-7-07,0.000728,0.000776,0.000602,0.000725,254.0,180278.0
2017-7-08,0.000725,0.000788,0.000606,0.000637,44.0,179759.0
