datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",9.6e-05,0.0001,9.6e-05,0.0001,1.0,0.0
"Jan 02, 2017",0.0001,0.0001,9.1e-05,9.2e-05,1.0,0.0
"Jan 03, 2017",9.2e-05,9.4e-05,9.2e-05,9.4e-05,0.0,0.0
"Jan 04, 2017",9.4e-05,9.7e-05,9.4e-05,9.7e-05,0.0,0.0
"Jan 05, 2017",0.000114,0.000119,9.1e-05,0.000101,0.0,0.0
"Jan 06, 2017",0.000101,0.000103,8e-05,9e-05,1.0,0.0
"Jan 07, 2017",9e-05,9.1e-05,7.4e-05,8.2e-05,2.0,0.0
"Jan 08, 2017",8.2e-05,0.0001,8.1e-05,0.0001,1.0,0.0
"Jan 09, 2017",0.0001,0.000109,9.7e-05,0.000108,1.0,0.0
"Jan 10, 2017",0.000108,0.000791,9e-05,0.000408,5290.0,0.0
"Jan 11, 2017",0.000408,0.000606,0.000348,0.00035,96.0,0.0
"Jan 12, 2017",0.00035,0.00035,0.000199,0.000209,42.0,0.0
"Jan 13, 2017",0.000209,0.000216,0.000203,0.000214,2.0,0.0
"Jan 14, 2017",0.000214,0.000217,0.000203,0.000205,9.0,0.0
"Jan 15, 2017",0.000205,0.000205,0.000138,0.000156,11.0,0.0
"Jan 16, 2017",0.000156,0.000167,0.000156,0.000166,1.0,0.0
"Jan 17, 2017",0.000166,0.000191,0.000166,0.000191,5.0,0.0
"Jan 18, 2017",0.000191,0.000253,0.000183,0.000185,3.0,0.0
"Jan 19, 2017",0.000186,0.000252,0.000186,0.000189,4.0,0.0
"Jan 20, 2017",0.000189,0.000198,0.000188,0.000188,2.0,0.0
"Jan 21, 2017",0.000188,0.000195,0.000188,0.000194,1.0,0.0
"Jan 22, 2017",0.000194,0.000197,0.000188,0.000194,1.0,0.0
"Jan 23, 2017",0.000194,0.00024,0.000193,0.00023,5.0,0.0
"Jan 24, 2017",0.00023,0.000231,0.000187,0.000187,2.0,0.0
"Jan 25, 2017",0.000187,0.000198,0.000187,0.000198,1.0,0.0
"Jan 26, 2017",0.000198,0.000201,0.000191,0.000193,8.0,0.0
"Jan 27, 2017",0.000193,0.000203,0.000183,0.000184,16.0,0.0
"Jan 28, 2017",0.000184,0.000203,0.000184,0.000194,9.0,0.0
"Jan 29, 2017",0.000194,0.000194,0.000184,0.000184,45.0,0.0
"Jan 30, 2017",0.000184,0.000212,0.000184,0.000184,1.0,0.0
"Jan 31, 2017",0.000184,0.000478,0.000184,0.000427,106.0,0.0
"Feb 01, 2017",0.000427,0.000434,0.000304,0.000307,1.0,0.0
"Feb 02, 2017",0.000307,0.000405,0.000295,0.000405,3.0,0.0
"Feb 03, 2017",0.000405,0.000414,0.000306,0.000309,15.0,0.0
"Feb 04, 2017",0.000309,0.000314,0.000305,0.000313,4.0,0.0
"Feb 05, 2017",0.000313,0.000323,0.000236,0.000247,5.0,0.0
"Feb 06, 2017",0.000247,0.000385,0.000247,0.000384,1.0,0.0
"Feb 07, 2017",0.000385,0.000404,0.000285,0.000403,0.0,0.0
"Feb 08, 2017",0.000404,0.000407,0.00028,0.000287,1.0,0.0
"Feb 09, 2017",0.000287,0.000363,0.000226,0.000229,2.0,0.0
"Feb 10, 2017",0.000229,0.00036,0.000193,0.000198,32.0,0.0
"Feb 11, 2017",0.000198,0.000252,0.000197,0.000211,4.0,0.0
"Feb 12, 2017",0.000211,0.00034,0.000209,0.00034,7.0,0.0
"Feb 13, 2017",0.00034,0.000341,0.000247,0.000248,3.0,0.0
"Feb 14, 2017",0.000248,0.000436,0.000221,0.000241,82.0,0.0
"Feb 15, 2017",0.000241,0.000242,0.00024,0.000242,1.0,0.0
"Feb 16, 2017",0.000242,0.000295,0.000242,0.000257,1.0,0.0
"Feb 17, 2017",0.000257,0.000263,0.000256,0.000262,1.0,0.0
"Feb 18, 2017",0.000262,0.000286,0.000232,0.000285,1.0,0.0
"Feb 19, 2017",0.000285,0.000285,0.000209,0.00021,7.0,0.0
"Feb 20, 2017",0.00021,0.000281,0.000208,0.000281,0.0,0.0
"Feb 21, 2017",0.000281,0.000288,0.000248,0.000257,1.0,0.0
"Feb 22, 2017",0.000256,0.000293,0.000253,0.000291,1.0,0.0
"Feb 23, 2017",0.000291,0.000292,0.000258,0.00027,4.0,0.0
"Feb 24, 2017",0.000268,0.000336,0.000268,0.000293,4.0,0.0
"Feb 25, 2017",0.000328,0.000329,0.000281,0.000286,4.0,0.0
"Feb 26, 2017",0.000286,0.000307,0.000283,0.000291,5.0,0.0
"Feb 27, 2017",0.000291,0.000307,0.000271,0.000271,17.0,0.0
"Feb 28, 2017",0.000271,0.000286,0.000271,0.000283,5.0,0.0
"Mar 01, 2017",0.000283,0.000303,0.000283,0.000293,14.0,0.0
"Mar 02, 2017",0.000293,0.000328,0.000288,0.000288,16.0,0.0
"Mar 03, 2017",0.000288,0.000332,0.000288,0.000332,2.0,0.0
"Mar 04, 2017",0.000332,0.000333,0.000283,0.000289,0.0,0.0
"Mar 05, 2017",0.000288,0.000289,0.000272,0.000279,8.0,0.0
"Mar 06, 2017",0.000279,0.000293,0.000278,0.000293,0.0,0.0
"Mar 07, 2017",0.000293,0.000293,0.000278,0.000281,0.0,0.0
"Mar 08, 2017",0.000281,0.000355,0.000249,0.000345,45.0,0.0
"Mar 09, 2017",0.000345,0.000355,0.000293,0.000297,1.0,0.0
"Mar 10, 2017",0.000297,0.000359,0.000269,0.000279,2.0,0.0
"Mar 11, 2017",0.000279,0.000288,0.000253,0.000259,4.0,0.0
"Mar 12, 2017",0.000259,0.000331,0.000256,0.00033,29.0,0.0
"Mar 13, 2017",0.00033,0.000333,0.000268,0.000333,5.0,0.0
"Mar 14, 2017",0.000333,0.000333,0.000248,0.00026,40.0,0.0
"Mar 15, 2017",0.00026,0.000263,0.000248,0.00025,1.0,0.0
"Mar 16, 2017",0.00025,0.000252,0.00023,0.000238,0.0,0.0
"Mar 17, 2017",0.000238,0.000238,0.00022,0.00022,1.0,0.0
"Mar 18, 2017",0.00022,0.000223,0.000192,0.000195,1.0,0.0
"Mar 19, 2017",0.000195,0.000225,0.000195,0.000218,3.0,0.0
"Mar 20, 2017",0.000218,0.000223,0.000218,0.000221,0.0,0.0
"Mar 21, 2017",0.000222,0.000236,0.000213,0.000235,4.0,0.0
"Mar 22, 2017",0.000235,0.000235,0.000203,0.00021,38.0,0.0
"Mar 23, 2017",0.00021,0.000212,0.000206,0.000208,0.0,0.0
"Mar 24, 2017",0.000208,0.000208,0.000187,0.000188,0.0,0.0
"Mar 25, 2017",0.000188,0.000221,0.000181,0.000214,1.0,0.0
"Mar 26, 2017",0.000214,0.000214,0.000192,0.000193,2.0,0.0
"Mar 27, 2017",0.000193,0.000206,0.000193,0.000204,0.0,0.0
"Mar 28, 2017",0.000207,0.000213,0.000206,0.000209,6.0,0.0
"Mar 29, 2017",0.000209,0.000232,0.000193,0.000229,3.0,0.0
"Mar 30, 2017",0.000229,0.000231,0.000204,0.000216,2.0,0.0
"Mar 31, 2017",0.000216,0.000226,0.000207,0.000225,1.0,0.0
"Apr 01, 2017",0.000225,0.000229,0.000214,0.000216,1.0,0.0
"Apr 02, 2017",0.000216,0.000233,0.000215,0.000231,1.0,0.0
"Apr 03, 2017",0.000231,0.000299,0.000231,0.000297,4.0,0.0
"Apr 04, 2017",0.000298,0.000356,0.000282,0.000283,36.0,0.0
"Apr 05, 2017",0.000283,0.000315,0.000268,0.000315,3.0,0.0
"Apr 06, 2017",0.000315,0.000319,0.000285,0.000296,1.0,0.0
"Apr 07, 2017",0.000296,0.000306,0.000279,0.000306,9.0,0.0
"Apr 08, 2017",0.000305,0.000305,0.000279,0.000282,5.0,0.0
"Apr 09, 2017",0.000282,0.000311,0.000282,0.000309,0.0,0.0
"Apr 10, 2017",0.000309,0.000368,0.000284,0.000368,21.0,0.0
"Apr 11, 2017",0.000368,0.000369,0.000287,0.000289,7.0,0.0
"Apr 12, 2017",0.000289,0.000325,0.000263,0.000276,26.0,0.0
"Apr 13, 2017",0.000276,0.000277,0.000254,0.000257,2.0,0.0
"Apr 14, 2017",0.000257,0.000269,0.000255,0.000269,3.0,0.0
"Apr 15, 2017",0.000269,0.000297,0.000257,0.000258,3.0,0.0
"Apr 16, 2017",0.000258,0.000261,0.000258,0.00026,2.0,0.0
"Apr 17, 2017",0.00026,0.000275,0.000259,0.000275,1.0,0.0
"Apr 18, 2017",0.000275,0.000365,0.000265,0.000364,37.0,0.0
"Apr 19, 2017",0.000364,0.000377,0.000326,0.000327,63.0,0.0
