datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.09085,0.091404,0.084202,0.090007,20178.0,2432080.0
"Jul 25, 2017",0.089997,0.090615,0.070398,0.079051,18133.0,2414140.0
"Jul 26, 2017",0.079087,0.079818,0.068819,0.078098,17056.0,2121470.0
"Jul 27, 2017",0.07832,0.081132,0.073214,0.076114,13888.0,2121810.0
"Jul 28, 2017",0.073897,0.083985,0.071274,0.072703,50511.0,2020020.0
"Jul 29, 2017",0.072511,0.078721,0.069376,0.074856,20156.0,1985280.0
"Jul 30, 2017",0.074846,0.078811,0.070466,0.073564,11547.0,2067850.0
"Jul 31, 2017",0.073639,0.080457,0.069864,0.074885,21012.0,2034520.0
"Aug 01, 2017",0.074927,0.083453,0.072624,0.074252,32065.0,2070110.0
"Aug 02, 2017",0.074238,0.077191,0.069895,0.07142,24346.0,2051050.0
"Aug 03, 2017",0.071547,0.10649,0.071213,0.090879,147216.0,1987960.0
"Aug 04, 2017",0.086927,0.124355,0.083544,0.083734,205254.0,2415270.0
"Aug 05, 2017",0.085809,0.120736,0.08218,0.10749,124878.0,2388220.0
"Aug 06, 2017",0.107516,0.122289,0.099807,0.118799,80302.0,2999500.0
"Aug 07, 2017",0.118179,0.125859,0.112297,0.124418,64013.0,3311430.0
"Aug 08, 2017",0.115691,0.121898,0.113388,0.115597,57776.0,3247590.0
"Aug 09, 2017",0.115519,0.122632,0.110369,0.113517,31411.0,3242760.0
"Aug 10, 2017",0.113528,0.118471,0.09871,0.099551,35601.0,3195920.0
"Aug 11, 2017",0.099545,0.115267,0.097968,0.113249,61904.0,2802300.0
"Aug 12, 2017",0.114548,0.202778,0.10837,0.151292,742698.0,3224630.0
"Aug 13, 2017",0.1474,0.348689,0.1474,0.333276,8818290.0,4149450.0
"Aug 14, 2017",0.334625,0.494961,0.286013,0.31671,8067240.0,9420030.0
"Aug 15, 2017",0.315874,0.320673,0.215733,0.233224,1566530.0,8892160.0
"Aug 16, 2017",0.241414,0.26038,0.210179,0.248858,662676.0,6796040.0
"Aug 17, 2017",0.243756,0.595997,0.231623,0.407829,11056600.0,6862070.0
"Aug 18, 2017",0.416897,0.577457,0.304575,0.313009,6207190.0,11799300.0
"Aug 19, 2017",0.316357,0.371074,0.27006,0.295656,1179890.0,8967560.0
"Aug 20, 2017",0.292701,0.433505,0.27787,0.358691,2066500.0,8296990.0
"Aug 21, 2017",0.357451,0.373717,0.298891,0.303328,818904.0,10144700.0
"Aug 22, 2017",0.30043,0.337544,0.274567,0.304256,591816.0,8529260.0
