datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"May 24, 2017",67000000.0,67000000.0,67000000.0,67000000.0,133.0,0.0
"May 25, 2017",67000000.0,1e-06,53000000.0,53000000.0,186.0,0.0
"May 26, 2017",53000000.0,53000000.0,28000000.0,30000000.0,22.0,0.0
"May 27, 2017",30000000.0,40000000.0,22000000.0,40000000.0,19.0,0.0
"May 28, 2017",40000000.0,1e-06,25000000.0,1e-06,10.0,0.0
"May 29, 2017",1e-06,2e-06,34000000.0,38000000.0,42.0,0.0
"May 30, 2017",38000000.0,83000000.0,29000000.0,65000000.0,301.0,0.0
"May 31, 2017",65000000.0,93000000.0,39000000.0,52000000.0,36.0,0.0
"Jun 01, 2017",41000000.0,76000000.0,30000000.0,52000000.0,65.0,0.0
"Jun 02, 2017",52000000.0,56000000.0,36000000.0,43000000.0,20.0,0.0
"Jun 03, 2017",43000000.0,63000000.0,35000000.0,39000000.0,16.0,0.0
"Jun 04, 2017",39000000.0,41000000.0,38000000.0,40000000.0,9.0,0.0
"Jun 05, 2017",40000000.0,97000000.0,38000000.0,57000000.0,64.0,0.0
"Jun 06, 2017",57000000.0,6e-06,55000000.0,69000000.0,50.0,0.0
"Jun 07, 2017",69000000.0,1e-06,62000000.0,80000000.0,453.0,0.0
"Jun 08, 2017",80000000.0,3e-06,79000000.0,2e-06,4747.0,0.0
"Jun 09, 2017",2e-06,6e-06,1e-06,4e-06,4854.0,0.0
"Jun 10, 2017",4e-06,5e-06,3e-06,3e-06,471.0,0.0
"Jun 11, 2017",3e-06,5e-06,2e-06,5e-06,396.0,0.0
"Jun 12, 2017",4e-06,5e-06,2e-06,2e-06,177.0,0.0
"Jun 13, 2017",2e-06,4e-06,2e-06,3e-06,430.0,0.0
"Jun 14, 2017",3e-06,5e-06,3e-06,3e-06,293.0,0.0
"Jun 15, 2017",3e-06,5e-06,2e-06,3e-06,1052.0,0.0
"Jun 16, 2017",3e-06,7e-06,2e-06,4e-06,1023.0,0.0
"Jun 17, 2017",4e-06,7e-06,3e-06,7e-06,560.0,0.0
"Jun 18, 2017",7e-06,7e-06,4e-06,4e-06,1365.0,0.0
"Jun 19, 2017",4e-06,6e-06,3e-06,5e-06,1055.0,0.0
"Jun 20, 2017",5e-06,6e-06,2e-06,5e-06,865.0,0.0
"Jun 21, 2017",6e-06,6e-06,3e-06,3e-06,744.0,0.0
"Jun 22, 2017",3e-06,3e-06,2e-06,3e-06,154.0,0.0
"Jun 23, 2017",3e-06,1.2e-05,3e-06,1.2e-05,6195.0,0.0
"Jun 24, 2017",1.2e-05,1.2e-05,3e-06,4e-06,1074.0,0.0
"Jun 25, 2017",4e-06,6e-06,3e-06,6e-06,255.0,0.0
"Jun 26, 2017",6e-06,2.2e-05,6e-06,2e-05,1506.0,0.0
"Jun 27, 2017",2e-05,2e-05,5e-06,5e-06,1044.0,0.0
"Jun 28, 2017",5e-06,7e-06,3e-06,7e-06,1418.0,0.0
"Jun 29, 2017",7e-06,8e-06,4e-06,5e-06,280.0,0.0
"Jun 30, 2017",5e-06,8e-06,5e-06,7e-06,450.0,0.0
"Jul 01, 2017",6e-06,6e-06,3e-06,3e-06,204.0,0.0
"Jul 02, 2017",3e-06,4e-06,2e-06,2e-06,1412.0,0.0
"Jul 03, 2017",2e-06,3e-06,2e-06,2e-06,250.0,0.0
"Jul 04, 2017",2e-06,3e-06,2e-06,3e-06,114.0,0.0
"Jul 05, 2017",3e-06,4e-06,2e-06,3e-06,143.0,0.0
"Jul 06, 2017",3e-06,3e-06,2e-06,3e-06,99.0,0.0
"Jul 07, 2017",3e-06,3e-06,2e-06,2e-06,46.0,0.0
"Jul 08, 2017",2e-06,3e-06,2e-06,2e-06,155.0,0.0
"Jul 09, 2017",2e-06,3e-06,2e-06,2e-06,146.0,0.0
