datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,4.8e-05,5e-05,3.9e-05,5e-05,245.0,0.0
2017-1-02,5e-05,5.1e-05,4.1e-05,5.1e-05,112.0,0.0
2017-1-03,5.1e-05,5.2e-05,4.1e-05,4.2e-05,150.0,0.0
2017-1-04,4.2e-05,5.7e-05,4.2e-05,4.6e-05,76.0,0.0
2017-1-05,4.6e-05,5.9e-05,2.9e-05,4.1e-05,106.0,0.0
2017-1-06,4.1e-05,4.2e-05,2.7e-05,2.7e-05,87.0,0.0
2017-1-07,2.7e-05,3.6e-05,2.5e-05,3.6e-05,142.0,0.0
2017-1-08,3.6e-05,3.7e-05,2.7e-05,3.6e-05,49.0,0.0
2017-1-09,3.6e-05,3.7e-05,2.7e-05,3.6e-05,32.0,0.0
2017-1-10,3.6e-05,3.7e-05,2.7e-05,2.7e-05,53.0,0.0
2017-1-11,2.7e-05,3.7e-05,1.6e-05,3.1e-05,317.0,0.0
2017-1-12,3.1e-05,3.3e-05,2.3e-05,3.2e-05,42.0,0.0
2017-1-13,3.2e-05,3.3e-05,1.6e-05,1.6e-05,76.0,0.0
2017-1-14,1.6e-05,3.3e-05,1.6e-05,3.3e-05,98.0,0.0
2017-1-15,3.3e-05,3.3e-05,1.6e-05,2.5e-05,175.0,0.0
2017-1-16,2.5e-05,3.3e-05,1.7e-05,2.5e-05,16.0,0.0
2017-1-17,2.5e-05,2.7e-05,9e-06,2.7e-05,1032.0,0.0
2017-1-18,2.7e-05,2.8e-05,9e-06,1.8e-05,641.0,0.0
2017-1-19,1.8e-05,1.8e-05,9e-06,1.8e-05,198.0,0.0
2017-1-20,1.8e-05,9.9e-05,9e-06,5.4e-05,4542.0,0.0
2017-1-21,3.6e-05,6.5e-05,2.7e-05,4.6e-05,2910.0,0.0
2017-1-22,4.6e-05,4.7e-05,1.8e-05,3.7e-05,790.0,0.0
2017-1-23,3.7e-05,3.7e-05,1.8e-05,2.8e-05,1707.0,0.0
2017-1-24,2.7e-05,3.7e-05,2.7e-05,3.6e-05,365.0,3.0
2017-1-25,3.6e-05,3.6e-05,2.7e-05,3.6e-05,729.0,4.0
2017-1-26,3.6e-05,3.6e-05,1.8e-05,2.8e-05,1140.0,4.0
2017-1-27,2.8e-05,2.8e-05,1.8e-05,2.8e-05,1543.0,3.0
2017-1-28,2.8e-05,2.8e-05,1.8e-05,2.8e-05,312.0,3.0
2017-1-29,2.8e-05,2.8e-05,9e-06,2.8e-05,598.0,3.0
2017-1-30,2.8e-05,2.8e-05,9e-06,1.8e-05,445.0,3.0
2017-1-31,1.8e-05,2.9e-05,1.8e-05,2.9e-05,444.0,2.0
2017-2-01,2.9e-05,3e-05,1e-05,3e-05,257.0,3.0
2017-2-02,3e-05,3e-05,1e-05,2e-05,1376.0,3.0
2017-2-03,2e-05,2.1e-05,1e-05,2.1e-05,715.0,2.0
2017-2-04,2.1e-05,2.1e-05,1e-05,2.1e-05,169.0,2.0
2017-2-05,2.1e-05,2.1e-05,1e-05,1e-05,553.0,2.0
2017-2-06,1e-05,2.1e-05,1e-05,2.1e-05,132.0,1.0
2017-2-07,2.1e-05,2.1e-05,1.1e-05,1.1e-05,60.0,2.0
2017-2-08,1.1e-05,2.2e-05,1.1e-05,2.1e-05,58.0,1.0
