datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.001927,0.002305,0.0018,0.002047,11.0,23839.0
"Jan 02, 2017",0.002048,0.00209,0.001772,0.00187,10.0,25326.0
"Jan 03, 2017",0.00187,0.001973,0.001751,0.001773,7.0,23125.0
"Jan 04, 2017",0.001773,0.001897,0.001723,0.00188,12.0,21924.0
"Jan 05, 2017",0.001882,0.001941,0.001092,0.001294,9.0,23279.0
"Jan 06, 2017",0.001297,0.001622,0.001249,0.001353,14.0,16043.0
"Jan 07, 2017",0.001355,0.001362,0.00106,0.001072,0.0,16761.0
"Jan 08, 2017",0.001072,0.001222,0.001047,0.001219,0.0,13260.0
"Jan 09, 2017",0.001221,0.001286,0.001025,0.001039,8.0,15101.0
"Jan 10, 2017",0.001038,0.001297,0.000973,0.001277,22.0,12841.0
"Jan 11, 2017",0.001277,0.001606,0.001259,0.001338,8.0,15793.0
"Jan 12, 2017",0.001338,0.001338,0.001013,0.001224,10.0,16545.0
"Jan 13, 2017",0.001223,0.001307,0.00118,0.001288,5.0,15130.0
"Jan 14, 2017",0.00129,0.001414,0.001123,0.001236,9.0,15957.0
"Jan 15, 2017",0.001236,0.001429,0.00111,0.001249,10.0,15284.0
"Jan 16, 2017",0.001249,0.001329,0.001216,0.001287,5.0,15449.0
"Jan 17, 2017",0.001287,0.001561,0.00122,0.00139,6.0,15919.0
"Jan 18, 2017",0.001391,0.001406,0.001229,0.001271,11.0,17202.0
"Jan 19, 2017",0.001277,0.001293,0.00125,0.001265,6.0,15790.0
"Jan 20, 2017",0.001264,0.001304,0.001239,0.001298,5.0,15639.0
"Jan 21, 2017",0.001289,0.002153,0.001235,0.001246,18.0,15940.0
"Jan 22, 2017",0.001238,0.004852,0.001238,0.004053,1100.0,15306.0
"Jan 23, 2017",0.004058,0.005865,0.002607,0.004441,325.0,50182.0
"Jan 24, 2017",0.004388,0.005158,0.002864,0.00316,177.0,54268.0
"Jan 25, 2017",0.003116,0.005121,0.002946,0.00299,38.0,38541.0
"Jan 26, 2017",0.001898,0.002253,0.001341,0.0021,202.0,23472.0
"Jan 27, 2017",0.002102,0.002343,0.001805,0.002204,25.0,26000.0
"Jan 28, 2017",0.002204,0.003147,0.001341,0.002896,66.0,27258.0
"Jan 29, 2017",0.002896,0.00324,0.002155,0.002575,20.0,35822.0
"Jan 30, 2017",0.002574,0.002894,0.001438,0.001905,6.0,31841.0
"Jan 31, 2017",0.001904,0.002927,0.001816,0.002187,14.0,23553.0
"Feb 01, 2017",0.002187,0.002527,0.001842,0.002423,11.0,27046.0
"Feb 02, 2017",0.002423,0.003112,0.002195,0.003006,24.0,29968.0
"Feb 03, 2017",0.003005,0.003145,0.002295,0.002357,16.0,37161.0
"Feb 04, 2017",0.002361,0.007763,0.002288,0.004869,180.0,29196.0
"Feb 05, 2017",0.004872,0.007217,0.003473,0.006831,68.0,60259.0
"Feb 06, 2017",0.006838,0.006926,0.003567,0.003864,59.0,84575.0
"Feb 07, 2017",0.003872,0.006098,0.003301,0.006098,81.0,47884.0
"Feb 08, 2017",0.006104,0.006231,0.002707,0.004206,32.0,75488.0
"Feb 09, 2017",0.004212,0.004695,0.003714,0.003777,20.0,52095.0
"Feb 10, 2017",0.003782,0.003803,0.002699,0.003074,20.0,46774.0
"Feb 11, 2017",0.003075,0.005188,0.002651,0.005182,34.0,38026.0
"Feb 12, 2017",0.005177,0.006467,0.004707,0.006324,64.0,64031.0
"Feb 13, 2017",0.006323,0.006325,0.003546,0.003554,24.0,78195.0
"Feb 14, 2017",0.003558,0.003767,0.002712,0.002746,28.0,44002.0
"Feb 15, 2017",0.002751,0.003019,0.002498,0.002687,18.0,34019.0
"Feb 16, 2017",0.002687,0.003979,0.00252,0.003891,28.0,33236.0
"Feb 17, 2017",0.003904,0.006174,0.003367,0.005963,63.0,48282.0
"Feb 18, 2017",0.006032,0.006629,0.00371,0.004656,23.0,74601.0
"Feb 19, 2017",0.004658,0.004837,0.002322,0.002389,16.0,57607.0
"Feb 20, 2017",0.002391,0.002525,0.002333,0.002522,16.0,29571.0
"Feb 21, 2017",0.00252,0.00259,0.002435,0.002476,16.0,31171.0
"Feb 22, 2017",0.002475,0.002654,0.002413,0.002456,16.0,30608.0
"Feb 23, 2017",0.002456,0.002481,0.002182,0.002182,22.0,30372.0
"Feb 24, 2017",0.002193,0.002537,0.002117,0.002406,14.0,27122.0
"Feb 25, 2017",0.002399,0.003003,0.001948,0.002909,26.0,29674.0
"Feb 26, 2017",0.00291,0.007311,0.0026,0.004874,123.0,35989.0
"Feb 27, 2017",0.004869,0.004921,0.001273,0.002502,47.0,60212.0
"Feb 28, 2017",0.002503,0.003547,0.002398,0.002982,57.0,30958.0
"Mar 01, 2017",0.002982,0.006106,0.002982,0.003929,30.0,36886.0
"Mar 02, 2017",0.003936,0.004215,0.001972,0.003223,29.0,48678.0
"Mar 03, 2017",0.003222,0.005735,0.002846,0.003154,144.0,39852.0
"Mar 04, 2017",0.00316,0.003325,0.001504,0.002654,47.0,39079.0
"Mar 05, 2017",0.002652,0.002909,0.001777,0.002037,22.0,32801.0
"Mar 06, 2017",0.002037,0.002689,0.001651,0.002122,32.0,25197.0
"Mar 07, 2017",0.002123,0.002473,0.001859,0.00186,21.0,26258.0
"Mar 08, 2017",0.001859,0.002039,0.001771,0.001955,28.0,22995.0
"Mar 09, 2017",0.001956,0.055732,0.001928,0.047649,6315.0,24186.0
"Mar 10, 2017",0.047746,0.049544,0.020808,0.021777,1259.0,590510.0
"Mar 11, 2017",0.021775,0.039955,0.018149,0.030483,419.0,269306.0
"Mar 12, 2017",0.030503,0.041171,0.025468,0.041088,231.0,377253.0
"Mar 13, 2017",0.041101,0.041226,0.016227,0.016293,350.0,508325.0
"Mar 14, 2017",0.016296,0.041868,0.013977,0.041845,261.0,201544.0
"Mar 15, 2017",0.033518,0.042226,0.018592,0.028352,178.0,414547.0
"Mar 16, 2017",0.028342,0.03182,0.021156,0.03182,1120.0,350527.0
"Mar 17, 2017",0.031615,0.031615,0.019729,0.020785,279.0,391002.0
"Mar 18, 2017",0.020774,0.022079,0.014708,0.015177,89.0,256930.0
"Mar 19, 2017",0.015223,0.019745,0.013685,0.016334,107.0,188271.0
"Mar 20, 2017",0.016341,0.020088,0.015497,0.018584,97.0,202106.0
"Mar 21, 2017",0.018604,0.020609,0.018072,0.0198,96.0,230086.0
"Mar 22, 2017",0.019802,0.019802,0.015748,0.016744,69.0,244904.0
"Mar 23, 2017",0.016759,0.016878,0.011851,0.012149,109.0,207268.0
"Mar 24, 2017",0.012148,0.016838,0.01074,0.014878,168.0,150240.0
"Mar 25, 2017",0.014862,0.016472,0.0137,0.014797,99.0,183811.0
"Mar 26, 2017",0.014874,0.01748,0.014641,0.016408,95.0,183956.0
"Mar 27, 2017",0.016498,0.017199,0.015213,0.016688,135.0,204042.0
"Mar 28, 2017",0.016669,0.017675,0.015967,0.016107,123.0,206157.0
"Mar 29, 2017",0.016091,0.018576,0.015975,0.017281,93.0,199004.0
"Mar 30, 2017",0.016862,0.017141,0.009333,0.017141,132.0,208549.0
"Mar 31, 2017",0.017145,0.026873,0.017145,0.019775,239.0,212043.0
"Apr 01, 2017",0.019773,0.026821,0.018616,0.018824,135.0,244547.0
"Apr 02, 2017",0.018826,0.020515,0.011045,0.011055,63.0,232829.0
"Apr 03, 2017",0.011063,0.021372,0.011063,0.017617,194.0,136819.0
"Apr 04, 2017",0.017643,0.021615,0.015076,0.017994,100.0,218201.0
"Apr 05, 2017",0.017755,0.021164,0.014415,0.018255,241.0,219589.0
"Apr 06, 2017",0.017641,0.021245,0.012163,0.012817,98.0,218184.0
"Apr 07, 2017",0.012698,0.016599,0.011794,0.016159,37.0,157050.0
"Apr 08, 2017",0.016101,0.017633,0.014841,0.016411,109.0,199126.0
"Apr 09, 2017",0.016419,0.021943,0.014829,0.019156,78.0,203069.0
"Apr 10, 2017",0.019147,0.019289,0.014968,0.017629,123.0,236806.0
"Apr 11, 2017",0.017634,0.019499,0.017461,0.017461,66.0,218090.0
"Apr 12, 2017",0.017458,0.019461,0.016291,0.016565,68.0,215912.0
"Apr 13, 2017",0.016574,0.01701,0.008635,0.013098,279.0,204984.0
"Apr 14, 2017",0.013109,0.018273,0.012459,0.018137,59.0,162134.0
"Apr 15, 2017",0.018133,0.018208,0.016261,0.016824,111.0,224264.0
"Apr 16, 2017",0.016825,0.017159,0.01428,0.015,26.0,208084.0
"Apr 17, 2017",0.015004,0.017258,0.014141,0.015475,71.0,185568.0
"Apr 18, 2017",0.015473,0.017915,0.015089,0.016218,71.0,191364.0
"Apr 19, 2017",0.016225,0.017759,0.014245,0.016154,99.0,200661.0
"Apr 20, 2017",0.016165,0.019542,0.013305,0.015838,60.0,199921.0
"Apr 21, 2017",0.015842,0.017213,0.014662,0.014797,102.0,195928.0
"Apr 22, 2017",0.014805,0.016794,0.014781,0.015187,79.0,183106.0
"Apr 23, 2017",0.01519,0.015439,0.014634,0.015078,77.0,187860.0
"Apr 24, 2017",0.015108,0.015736,0.014666,0.015214,39.0,186855.0
"Apr 25, 2017",0.015218,0.016872,0.012455,0.013349,59.0,188212.0
"Apr 26, 2017",0.012889,0.015832,0.011749,0.015832,92.0,159404.0
"Apr 27, 2017",0.015841,0.017036,0.015415,0.016089,98.0,195921.0
"Apr 28, 2017",0.01609,0.046655,0.013261,0.023398,858.0,198991.0
"Apr 29, 2017",0.023422,0.031355,0.016517,0.020239,76.0,289676.0
"Apr 30, 2017",0.02024,0.020552,0.009912,0.011995,97.0,250326.0
"May 01, 2017",0.011999,0.027919,0.01095,0.026968,110.0,148395.0
"May 02, 2017",0.026957,0.028,0.018977,0.02185,165.0,333395.0
"May 03, 2017",0.021865,0.023677,0.020396,0.023365,85.0,270419.0
"May 04, 2017",0.023374,0.025604,0.02147,0.022512,138.0,289089.0
"May 05, 2017",0.022558,0.024115,0.021225,0.02173,75.0,278994.0
"May 06, 2017",0.021749,0.031302,0.020395,0.031296,87.0,268980.0
"May 07, 2017",0.03131,0.035543,0.024631,0.025281,126.0,387230.0
"May 08, 2017",0.025285,0.028858,0.024104,0.02523,194.0,312715.0
"May 09, 2017",0.025238,0.025787,0.017755,0.020184,390.0,312134.0
"May 10, 2017",0.020197,0.023354,0.018781,0.023236,112.0,249794.0
"May 11, 2017",0.023278,0.024359,0.02302,0.023876,118.0,287893.0
"May 12, 2017",0.023899,0.023949,0.019609,0.020066,133.0,295577.0
"May 13, 2017",0.020024,0.021114,0.018492,0.02107,145.0,247655.0
"May 14, 2017",0.021138,0.084997,0.019761,0.050764,849.0,261422.0
"May 15, 2017",0.050794,0.071404,0.034608,0.052953,289.0,628209.0
"May 16, 2017",0.054336,0.074818,0.029631,0.053488,192.0,672012.0
"May 17, 2017",0.055245,0.083749,0.052056,0.054392,239.0,683258.0
"May 18, 2017",0.054363,0.054581,0.041929,0.052862,264.0,672339.0
"May 19, 2017",0.052893,0.055095,0.038244,0.04737,265.0,654162.0
"May 20, 2017",0.047318,0.052386,0.046373,0.05056,154.0,585215.0
"May 21, 2017",0.050541,0.060974,0.039542,0.060776,433.0,625080.0
"May 22, 2017",0.060981,0.106157,0.030643,0.034702,402.0,754191.0
"May 23, 2017",0.034646,0.072947,0.034546,0.072739,451.0,428496.0
"May 24, 2017",0.072827,0.077181,0.03233,0.043376,319.0,900700.0
"May 25, 2017",0.043294,0.049031,0.038395,0.042682,249.0,535451.0
"May 26, 2017",0.042369,0.043069,0.019033,0.023942,471.0,524002.0
"May 27, 2017",0.024022,0.044103,0.01771,0.039997,6694.0,297097.0
"May 28, 2017",0.040236,0.063509,0.040236,0.044879,1146.0,497629.0
"May 29, 2017",0.044788,0.055844,0.034789,0.044156,112.0,553921.0
"May 30, 2017",0.044207,0.048824,0.036651,0.038309,222.0,546742.0
"May 31, 2017",0.038459,0.042449,0.037624,0.039167,264.0,475647.0
"Jun 01, 2017",0.039202,0.043005,0.039202,0.041026,168.0,484836.0
"Jun 02, 2017",0.041024,0.043131,0.033844,0.036005,355.0,507369.0
"Jun 03, 2017",0.03597,0.053084,0.035864,0.046882,5613.0,444861.0
"Jun 04, 2017",0.037713,0.047494,0.035913,0.039046,242.0,466418.0
"Jun 05, 2017",0.04378,0.047362,0.035396,0.045688,300.0,541461.0
"Jun 06, 2017",0.046524,0.049477,0.038658,0.038897,369.0,575394.0
"Jun 07, 2017",0.038816,0.046043,0.037591,0.03962,394.0,480066.0
"Jun 08, 2017",0.043351,0.044383,0.037786,0.043264,273.0,536150.0
"Jun 09, 2017",0.044373,0.04447,0.036301,0.038837,266.0,548787.0
"Jun 10, 2017",0.038895,0.04168,0.034167,0.03511,202.0,481048.0
"Jun 11, 2017",0.03509,0.044068,0.034091,0.041688,268.0,433978.0
"Jun 12, 2017",0.038663,0.04341,0.028708,0.032651,178.0,478176.0
"Jun 13, 2017",0.032542,0.039432,0.028306,0.031927,230.0,402465.0
"Jun 14, 2017",0.030082,0.044647,0.023793,0.035722,1186.0,372040.0
"Jun 15, 2017",0.033724,0.037899,0.028397,0.03162,202.0,417084.0
"Jun 16, 2017",0.031596,0.03737,0.030335,0.035572,219.0,390775.0
"Jun 17, 2017",0.036621,0.040268,0.032574,0.036196,260.0,452915.0
"Jun 18, 2017",0.033948,0.03884,0.033087,0.036088,225.0,419858.0
"Jun 19, 2017",0.03754,0.038811,0.025208,0.029537,1181.0,464281.0
"Jun 20, 2017",0.02949,0.03163,0.024909,0.027572,425.0,364721.0
"Jun 21, 2017",0.027572,0.033384,0.022995,0.024124,318.0,341000.0
"Jun 22, 2017",0.02443,0.035672,0.02387,0.029692,520.0,302139.0
"Jun 23, 2017",0.029621,0.035094,0.025562,0.031538,212.0,366349.0
"Jun 24, 2017",0.031535,0.035204,0.024911,0.027479,297.0,390012.0
"Jun 25, 2017",0.02739,0.035086,0.024571,0.03162,156.0,338753.0
"Jun 26, 2017",0.031603,0.033941,0.020002,0.024381,281.0,390862.0
"Jun 27, 2017",0.024381,0.039609,0.007476,0.032791,3715.0,301542.0
"Jun 28, 2017",0.020853,0.028394,0.015809,0.021602,555.0,257900.0
"Jun 29, 2017",0.021016,0.026316,0.015708,0.022383,309.0,259918.0
"Jun 30, 2017",0.022249,0.031126,0.014995,0.029611,550.0,275172.0
"Jul 01, 2017",0.030564,0.033444,0.021173,0.028982,241.0,378006.0
"Jul 02, 2017",0.024415,0.032538,0.024349,0.030073,222.0,301952.0
"Jul 03, 2017",0.03158,0.033875,0.024066,0.029821,176.0,390570.0
"Jul 04, 2017",0.026177,0.03541,0.026177,0.034985,245.0,323750.0
"Jul 05, 2017",0.034966,0.040273,0.034252,0.039406,344.0,432453.0
"Jul 06, 2017",0.040855,0.214549,0.040855,0.201978,20079.0,505282.0
"Jul 07, 2017",0.157468,0.256779,0.127518,0.135186,33730.0,1947520.0
"Jul 08, 2017",0.135298,0.153044,0.086805,0.099972,2837.0,1673330.0
"Jul 09, 2017",0.098753,0.126388,0.052528,0.066808,1168.0,1221340.0
"Jul 10, 2017",0.066661,0.088611,0.042413,0.06191,1218.0,824445.0
"Jul 11, 2017",0.047185,0.204543,0.043687,0.136964,25928.0,583566.0
"Jul 12, 2017",0.147219,0.220461,0.095169,0.199756,81620.0,1820770.0
"Jul 13, 2017",0.183183,0.20068,0.020306,0.033288,36167.0,2265560.0
"Jul 14, 2017",0.032565,0.057215,0.010947,0.021193,71439.0,402759.0
"Jul 15, 2017",0.019288,0.029782,0.005679,0.00904,43813.0,238553.0
"Jul 16, 2017",0.009013,0.010565,0.008329,0.010109,7737.0,111468.0
"Jul 17, 2017",0.010097,0.014347,0.004738,0.007629,19633.0,124876.0
"Jul 18, 2017",0.009266,0.009299,0.007069,0.007072,3888.0,114596.0
"Jul 19, 2017",0.007083,0.008771,0.006763,0.007294,2498.0,87606.0
"Jul 20, 2017",0.006917,0.017445,0.00641,0.009449,3194.0,85553.0
"Jul 21, 2017",0.00952,0.010915,0.006606,0.009247,2155.0,117735.0
"Jul 22, 2017",0.008888,0.009926,0.007345,0.009616,3082.0,109924.0
"Jul 23, 2017",0.009199,0.00969,0.001283,0.002798,57876.0,113769.0
"Jul 24, 2017",0.002821,0.003489,0.000358,0.000933,99157.0,34889.0
