datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000328,0.000439,0.000317,0.000319,2.0,6612.0
2017-1-02,0.000319,0.00045,0.000319,0.000327,2.0,6453.0
2017-1-03,0.000327,0.000334,0.000327,0.000334,2.0,6612.0
2017-1-04,0.000334,0.000377,0.000334,0.000369,29.0,6762.0
2017-1-05,0.00037,0.000381,0.000282,0.000303,6.0,7490.0
2017-1-06,0.000304,0.000314,0.000265,0.000271,3.0,6168.0
2017-1-07,0.000271,0.000307,0.000236,0.000245,3.0,5505.0
2017-1-08,0.000245,0.000408,0.000235,0.000273,3.0,4987.0
2017-1-09,0.000273,0.000372,0.000231,0.000244,5.0,5563.0
2017-1-10,0.000244,0.000391,3.6e-05,8.2e-05,9.0,4966.0
2017-1-11,8.2e-05,0.000286,8.2e-05,0.000132,1.0,1666.0
2017-1-12,0.000132,0.000132,9.8e-05,0.000113,38.0,2699.0
2017-1-13,0.000113,0.000133,0.000109,0.000132,13.0,2303.0
2017-1-14,0.000132,0.000241,0.000132,0.000237,18.0,2698.0
2017-1-15,0.000237,0.000287,0.000146,0.000156,14.0,4862.0
2017-1-16,0.000156,0.000159,0.000156,0.000158,0.0,3202.0
2017-1-17,0.000158,0.000269,0.000158,0.000181,17.0,3244.0
2017-1-18,0.000182,0.000278,0.000169,0.000203,12.0,3732.0
2017-1-19,0.000204,0.000217,0.000195,0.000216,13.0,4195.0
2017-1-20,0.000216,0.000251,0.000133,0.000179,60.0,4444.0
2017-1-21,0.000179,0.000453,0.000179,0.000323,42.0,3691.0
2017-1-22,0.000323,0.000966,0.000279,0.000575,465.0,6659.0
2017-1-23,0.000575,0.000908,0.000443,0.000498,68.0,11893.0
2017-1-24,0.000492,0.000646,0.000181,0.000223,69.0,10173.0
2017-1-25,0.000223,0.000402,0.000222,0.000243,113.0,4621.0
2017-1-26,0.000244,0.000284,0.000226,0.000239,31.0,5059.0
2017-1-27,0.000239,0.000248,0.000238,0.000239,12.0,4956.0
2017-1-28,0.000239,0.000323,0.000239,0.00024,21.0,4970.0
2017-1-29,0.00024,0.000683,0.00024,0.000248,133.0,4983.0
2017-1-30,0.000248,0.000414,0.000248,0.000322,1.0,5166.0
2017-1-31,0.000322,0.000971,0.000322,0.000971,31.0,6707.0
2017-2-01,0.00097,0.001176,0.000356,0.000356,340.0,20215.0
2017-2-02,0.000356,0.000735,0.000354,0.000425,2.0,7421.0
2017-2-03,0.000425,0.000724,0.000424,0.000453,1.0,8860.0
2017-2-04,0.000454,0.001224,0.000384,0.000386,54.0,9470.0
2017-2-05,0.000386,0.00075,0.000385,0.000534,9.0,8061.0
2017-2-06,0.000535,0.000813,0.000535,0.000561,6.0,11171.0
2017-2-07,0.000562,0.000796,0.000475,0.000478,32.0,11739.0
2017-2-08,0.000478,0.000749,0.000477,0.00051,1.0,9997.0
2017-2-09,0.000511,0.000523,0.000448,0.000467,3.0,10693.0
2017-2-10,0.000468,0.000469,0.000423,0.000435,38.0,9796.0
2017-2-11,0.000435,0.000745,0.000432,0.000462,1.0,9114.0
2017-2-12,0.000462,0.000691,0.000459,0.0005,1.0,9674.0
2017-2-13,0.000499,0.000675,0.000488,0.000495,1.0,10472.0
2017-2-14,0.000496,0.000513,0.00048,0.000482,6.0,10403.0
2017-2-15,0.000483,0.000796,0.000481,0.000514,17.0,10138.0
2017-2-16,0.000514,0.000523,0.000472,0.000493,41.0,10793.0
2017-2-17,0.000493,0.000496,0.000476,0.000481,4.0,10350.0
2017-2-18,0.000483,0.000561,0.000482,0.000517,1.0,10148.0
2017-2-19,0.000517,0.000547,0.000501,0.000513,1.0,10873.0
