datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.006523,0.006702,0.006334,0.006368,418978.0,237032000.0
2017-1-02,0.006386,0.006437,0.006281,0.006311,1046250.0,232067000.0
2017-1-03,0.00629,0.006392,0.006278,0.006386,1014830.0,228578000.0
2017-1-04,0.006385,0.006656,0.006385,0.00657,1642730.0,232030000.0
2017-1-05,0.006572,0.00658,0.006031,0.006201,4058170.0,238808000.0
2017-1-06,0.006197,0.006394,0.006109,0.006315,1746150.0,225184000.0
2017-1-07,0.006351,0.006404,0.006133,0.006366,1351030.0,230770000.0
2017-1-08,0.006383,0.006383,0.006232,0.006233,554133.0,231946000.0
2017-1-09,0.006239,0.006294,0.006127,0.006167,702255.0,226700000.0
2017-1-10,0.006157,0.006815,0.006148,0.006698,2510530.0,223720000.0
2017-1-11,0.006708,0.006721,0.006312,0.006411,3436270.0,243761000.0
2017-1-12,0.006417,0.006851,0.006351,0.006423,5013190.0,233170000.0
2017-1-13,0.006434,0.006664,0.006396,0.006596,2059340.0,236592000.0
2017-1-14,0.00661,0.006872,0.006585,0.006863,1307810.0,243056000.0
2017-1-15,0.006867,0.006925,0.006726,0.006726,780822.0,252519000.0
2017-1-16,0.006747,0.006836,0.006717,0.006788,699284.0,248106000.0
2017-1-17,0.006772,0.006848,0.006612,0.0068,1842150.0,249018000.0
2017-1-18,0.00679,0.007125,0.006659,0.006709,1342730.0,249667000.0
2017-1-19,0.006713,0.00704,0.006671,0.007034,760684.0,246854000.0
2017-1-20,0.007032,0.00716,0.00661,0.006675,620052.0,259186000.0
2017-1-21,0.006694,0.006824,0.006678,0.006706,553724.0,246709000.0
2017-1-22,0.006706,0.006759,0.006653,0.006713,362422.0,247165000.0
2017-1-23,0.006718,0.006735,0.006662,0.006697,309838.0,247604000.0
2017-1-24,0.006708,0.006718,0.006534,0.00654,509262.0,247242000.0
2017-1-25,0.006527,0.006594,0.00649,0.006513,522497.0,240565000.0
2017-1-26,0.006511,0.007073,0.006425,0.00669,1446950.0,239951000.0
2017-1-27,0.006685,0.006815,0.006331,0.006415,924745.0,246404000.0
2017-1-28,0.006409,0.006419,0.006323,0.006342,241491.0,236216000.0
2017-1-29,0.006356,0.006493,0.006287,0.006402,325176.0,234254000.0
2017-1-30,0.006402,0.006468,0.006353,0.006381,391822.0,235961000.0
2017-1-31,0.00639,0.006411,0.006297,0.006314,661444.0,235508000.0
2017-2-01,0.006311,0.006642,0.006249,0.00654,1836820.0,232609000.0
2017-2-02,0.00654,0.00663,0.006381,0.006469,670888.0,241026000.0
2017-2-03,0.006466,0.00651,0.006401,0.006474,548263.0,238302000.0
2017-2-04,0.006487,0.006528,0.006429,0.006492,314187.0,239094000.0
2017-2-05,0.006494,0.006563,0.006403,0.006442,367001.0,239337000.0
2017-2-06,0.006439,0.006494,0.006397,0.00645,386766.0,237318000.0
2017-2-07,0.006437,0.006509,0.006378,0.006407,945440.0,237240000.0
2017-2-08,0.006407,0.007833,0.006402,0.006438,860217.0,236123000.0
2017-2-09,0.006433,0.006484,0.006193,0.006374,1700680.0,237091000.0
2017-2-10,0.006367,0.0067,0.006192,0.006289,808768.0,235873000.0
