datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.00322,0.00331,0.00322,0.003293,3.0,2193.0
2017-1-02,0.003294,0.004259,0.003289,0.004259,2.0,2245.0
2017-1-03,0.004259,0.004299,0.003509,0.004225,5.0,2905.0
2017-1-04,0.004224,0.004836,0.003655,0.003807,0.0,2884.0
2017-1-05,0.003811,0.004194,0.003206,0.003567,0.0,2605.0
2017-1-06,0.003577,0.003695,0.003445,0.003476,0.0,2448.0
2017-1-07,0.002915,0.003207,0.002915,0.003207,0.0,1997.0
2017-1-08,0.003207,0.003328,0.00318,0.003283,0.0,2199.0
2017-1-14,0.003545,0.003545,0.003453,0.00348,0.0,2447.0
2017-1-15,0.003478,0.003497,0.003398,0.003435,0.0,2402.0
2017-1-16,0.003435,0.003478,0.003429,0.003463,0.0,2375.0
2017-1-19,0.002951,0.004797,0.002945,0.003865,9.0,2047.0
2017-1-20,0.003863,0.003863,0.001841,0.002849,19.0,2682.0
2017-1-21,0.002849,0.003731,0.001481,0.001487,1.0,1980.0
2017-1-22,0.003915,0.003938,0.001999,0.002774,4.0,2724.0
2017-1-23,0.002777,0.003143,0.002724,0.002731,3.0,1934.0
2017-1-24,0.002729,0.003238,0.002649,0.002649,3.0,1903.0
2017-1-25,0.00265,0.003207,0.000288,0.002949,11.0,1849.0
2017-1-26,0.00295,0.003947,0.00295,0.003945,0.0,2061.0
2017-1-27,0.003946,0.003967,0.001976,0.002769,2.0,2759.0
2017-1-28,0.002769,0.00429,0.002769,0.004289,1.0,1938.0
2017-1-29,0.004289,0.004524,0.004289,0.004509,1.0,3005.0
2017-1-30,0.005693,0.007339,0.003753,0.003765,24.0,3994.0
2017-1-31,0.003764,0.032371,0.003764,0.028181,793.0,2642.0
2017-2-01,0.028176,0.028283,0.004092,0.009339,38.0,19803.0
2017-2-02,0.009338,0.009398,0.004799,0.005965,8.0,6570.0
2017-2-03,0.005966,0.020207,0.004745,0.020204,77.0,4201.0
2017-2-04,0.020227,0.020307,0.009642,0.009807,27.0,14259.0
2017-2-05,0.00981,0.009817,0.005158,0.007806,19.0,6923.0
2017-2-06,0.007799,0.016863,0.007611,0.008793,33.0,5509.0
2017-2-07,0.008797,0.023952,0.008371,0.010623,92.0,6220.0
2017-2-08,0.010634,0.020621,0.006484,0.008029,14.0,7526.0
2017-2-09,0.008029,0.014805,0.004821,0.014805,42.0,5689.0
