datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.230607,0.251569,0.199187,0.238602,18693.0,2327380.0
"Jul 25, 2017",0.241986,0.417217,0.202057,0.254525,20481.0,2442220.0
"Jul 26, 2017",0.254631,0.310339,0.229775,0.292009,26054.0,2569830.0
"Jul 27, 2017",0.292837,0.304221,0.249482,0.273066,17389.0,2955430.0
"Jul 28, 2017",0.273894,0.279442,0.209756,0.229122,15408.0,2764240.0
"Jul 29, 2017",0.228151,0.228772,0.190292,0.198448,15106.0,2302590.0
"Jul 30, 2017",0.19842,0.210613,0.186741,0.196924,14350.0,2002530.0
"Jul 31, 2017",0.195783,0.200289,0.168605,0.16956,11125.0,1975930.0
"Aug 01, 2017",0.169642,0.170307,0.120477,0.141872,15841.0,1712120.0
"Aug 02, 2017",0.141845,0.143033,0.111133,0.130105,6501.0,1431580.0
"Aug 03, 2017",0.129691,0.129691,0.103407,0.108942,8282.0,1308910.0
"Aug 04, 2017",0.10947,0.121805,0.104824,0.110131,7807.0,1104830.0
"Aug 05, 2017",0.110478,0.125236,0.109052,0.12067,8999.0,1115010.0
"Aug 06, 2017",0.120699,0.121879,0.101939,0.106754,6991.0,1218160.0
"Aug 07, 2017",0.106517,0.117881,0.102633,0.107922,8722.0,1075020.0
"Aug 08, 2017",0.108031,0.111154,0.096265,0.098303,2598.0,1090300.0
"Aug 09, 2017",0.0981,0.098336,0.085396,0.08674,7921.0,990082.0
"Aug 10, 2017",0.086782,0.096162,0.084836,0.085953,16291.0,875851.0
"Aug 11, 2017",0.085947,0.096859,0.085261,0.089978,10832.0,867432.0
"Aug 12, 2017",0.089908,0.094158,0.061647,0.068944,11722.0,907404.0
"Aug 13, 2017",0.068881,0.074471,0.047179,0.057826,8885.0,695191.0
"Aug 14, 2017",0.057944,0.095164,0.04869,0.053551,8370.0,584801.0
"Aug 15, 2017",0.05386,0.07122,0.053565,0.059417,8710.0,543589.0
"Aug 16, 2017",0.059275,0.061616,0.050204,0.057082,8928.0,598235.0
"Aug 17, 2017",0.057029,0.061623,0.050199,0.051584,8451.0,575575.0
"Aug 18, 2017",0.051638,0.054991,0.046586,0.047785,6829.0,521166.0
"Aug 19, 2017",0.047867,0.05675,0.044736,0.049175,22173.0,483104.0
"Aug 20, 2017",0.04878,0.053422,0.047188,0.048053,43121.0,492318.0
"Aug 21, 2017",0.047871,0.050118,0.020249,0.023807,7966.0,483146.0
"Aug 22, 2017",0.023861,0.046158,0.018445,0.036674,8254.0,240822.0
