datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.040422,0.041768,0.038577,0.038905,228720.0,34358900.0
2017-7-29,0.038795,0.038889,0.036369,0.038773,205680.0,32975600.0
2017-7-30,0.038787,0.039001,0.037044,0.037202,179568.0,32969100.0
2017-7-31,0.03724,0.03936,0.036709,0.038882,209520.0,31653600.0
2017-8-01,0.038879,0.040433,0.03798,0.039485,202822.0,33047100.0
2017-8-02,0.039518,0.039562,0.037919,0.038514,211260.0,33590700.0
2017-8-03,0.038573,0.040826,0.038385,0.040826,226730.0,32787100.0
2017-8-04,0.040699,0.041312,0.04001,0.040462,200931.0,34594500.0
2017-8-05,0.040449,0.045827,0.040435,0.045521,269023.0,34381800.0
2017-8-06,0.045546,0.046419,0.044869,0.045084,260790.0,38714500.0
2017-8-07,0.044989,0.046189,0.044654,0.045965,269760.0,38240900.0
2017-8-08,0.046022,0.04843,0.045674,0.048152,289971.0,39118800.0
2017-8-09,0.04815,0.048698,0.045553,0.046457,283461.0,40927400.0
2017-8-10,0.046448,0.047852,0.045592,0.047372,285205.0,39481200.0
2017-8-11,0.047366,0.053219,0.046693,0.052664,281699.0,40261200.0
2017-8-12,0.052612,0.055922,0.052269,0.05418,336877.0,44720200.0
2017-8-13,0.054129,0.055331,0.050099,0.052584,341354.0,46010000.0
2017-8-14,0.052644,0.053424,0.051236,0.053135,353377.0,44747000.0
2017-8-15,0.053248,0.053611,0.050159,0.053217,329271.0,45260700.0
2017-8-16,0.053327,0.058604,0.051963,0.058604,339012.0,45328000.0
2017-8-17,0.058566,0.064588,0.052602,0.055,347964.0,49781300.0
2017-8-18,0.054862,0.055106,0.04874,0.049387,313581.0,46633000.0
2017-8-19,0.049331,0.049879,0.047324,0.048049,305580.0,41931500.0
2017-8-20,0.047858,0.051312,0.046931,0.050775,285273.0,40679400.0
2017-8-21,0.050749,0.05113,0.047306,0.047446,306998.0,43136600.0
2017-8-22,0.047526,0.047672,0.043169,0.045845,285744.0,40397100.0
2017-8-23,0.04572,0.046283,0.043242,0.043743,276719.0,38862300.0
2017-8-24,0.043759,0.045057,0.043363,0.044657,280222.0,37195100.0
2017-8-25,0.044605,0.04594,0.044466,0.044758,243574.0,37914600.0
2017-8-26,0.044825,0.045882,0.044151,0.045776,194805.0,38101700.0
