datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.001119,0.001611,0.00111,0.001198,280.0,0.0
"Jan 02, 2017",0.001198,0.003644,0.00119,0.001825,1170.0,0.0
"Jan 03, 2017",0.001825,0.00292,0.00119,0.001265,137.0,0.0
"Jan 04, 2017",0.001266,0.001399,0.001232,0.001339,16.0,0.0
"Jan 05, 2017",0.001342,0.003784,0.001211,0.001413,514.0,0.0
"Jan 06, 2017",0.001414,0.001655,0.001025,0.001038,71.0,0.0
"Jan 07, 2017",0.001039,0.001631,0.000947,0.001631,26.0,0.0
"Jan 08, 2017",0.00163,0.001692,0.000825,0.000872,205.0,0.0
"Jan 09, 2017",0.000873,0.001264,0.000843,0.001167,33.0,0.0
"Jan 10, 2017",0.001167,0.001273,0.001006,0.001231,14.0,0.0
"Jan 11, 2017",0.001203,0.001513,0.001026,0.00105,81.0,0.0
"Jan 12, 2017",0.00105,0.002271,0.00084,0.001161,1440.0,0.0
"Jan 13, 2017",0.00116,0.001728,0.000842,0.001475,518.0,0.0
"Jan 14, 2017",0.001475,0.002794,0.000903,0.001223,1278.0,0.0
"Jan 15, 2017",0.001223,0.001426,0.000996,0.001007,309.0,0.0
"Jan 16, 2017",0.001007,0.001328,0.001005,0.001283,207.0,0.0
"Jan 17, 2017",0.001284,0.002214,0.001226,0.001234,246.0,0.0
"Jan 18, 2017",0.001237,0.001889,0.001091,0.001889,282.0,0.0
"Jan 19, 2017",0.001889,0.002232,0.001118,0.001224,895.0,0.0
"Jan 20, 2017",0.001223,0.001615,0.001206,0.001595,8.0,0.0
"Jan 21, 2017",0.001595,0.002509,0.001235,0.002363,351.0,0.0
"Jan 22, 2017",0.002364,0.002418,0.000812,0.001628,219.0,0.0
"Jan 23, 2017",0.001631,0.001631,0.001021,0.001022,106.0,0.0
"Jan 24, 2017",0.001009,0.001166,0.001,0.001126,55.0,0.0
"Jan 25, 2017",0.001126,0.002244,0.001125,0.002219,42.0,0.0
"Jan 26, 2017",0.002221,0.002233,0.000972,0.000972,24.0,0.0
"Jan 27, 2017",0.000972,0.001403,0.000972,0.001169,46.0,0.0
"Jan 28, 2017",0.001169,0.001368,0.001169,0.001368,24.0,0.0
"Jan 29, 2017",0.001369,0.001371,0.000965,0.001075,7.0,0.0
"Jan 30, 2017",0.001075,0.001184,0.001055,0.001083,8.0,0.0
"Jan 31, 2017",0.001083,0.001135,0.001053,0.00113,12.0,0.0
"Feb 01, 2017",0.00113,0.001218,0.000928,0.001218,199.0,0.0
"Feb 02, 2017",0.001219,0.001311,0.001147,0.001304,21.0,0.0
"Feb 03, 2017",0.001304,0.001333,0.000984,0.000989,16.0,0.0
"Feb 04, 2017",0.00099,0.001226,0.000978,0.001061,63.0,0.0
"Feb 05, 2017",0.001062,0.001994,0.000949,0.000953,474.0,0.0
"Feb 06, 2017",0.000954,0.001007,0.000936,0.000952,88.0,0.0
"Feb 07, 2017",0.000954,0.002122,0.000857,0.002121,405.0,0.0
"Feb 08, 2017",0.002123,0.003095,0.001119,0.002658,21697.0,0.0
"Feb 09, 2017",0.002662,0.027599,0.001491,0.009307,17971.0,0.0
"Feb 10, 2017",0.009319,0.025601,0.009319,0.016334,15773.0,0.0
"Feb 11, 2017",0.016338,0.016805,0.009526,0.011895,2672.0,0.0
"Feb 12, 2017",0.011884,0.014052,0.005813,0.00847,2963.0,0.0
"Feb 13, 2017",0.008467,0.019135,0.006071,0.010709,3438.0,0.0
"Feb 14, 2017",0.010721,0.013852,0.008138,0.008238,44772.0,0.0
"Feb 15, 2017",0.008252,0.011619,0.008252,0.008526,1444.0,0.0
"Feb 16, 2017",0.008527,0.010486,0.008076,0.008839,342.0,0.0
"Feb 17, 2017",0.008827,0.010185,0.007852,0.007852,8758.0,0.0
"Feb 18, 2017",0.007874,0.009347,0.007857,0.008081,232.0,0.0
"Feb 19, 2017",0.008084,0.008318,0.00692,0.00692,143.0,0.0
"Feb 20, 2017",0.006926,0.008182,0.005159,0.007803,170.0,0.0
"Feb 21, 2017",0.007798,0.011013,0.005699,0.007722,1185.0,0.0
"Feb 22, 2017",0.007719,0.010018,0.007651,0.007912,305.0,0.0
"Feb 23, 2017",0.00791,0.009224,0.007137,0.007424,56.0,0.0
"Feb 24, 2017",0.007462,0.013621,0.007064,0.009131,1425.0,0.0
"Feb 25, 2017",0.009106,0.009126,0.007857,0.008111,46.0,0.0
"Feb 26, 2017",0.008114,0.013623,0.007682,0.0136,303.0,0.0
"Feb 27, 2017",0.013583,0.013685,0.008007,0.008294,164.0,0.0
"Feb 28, 2017",0.008299,0.008387,0.005602,0.008243,661.0,0.0
"Mar 01, 2017",0.008255,0.008296,0.006984,0.007057,48.0,0.0
"Mar 02, 2017",0.00707,0.00708,0.00175,0.00501,489.0,0.0
"Mar 03, 2017",0.005008,0.005786,0.004416,0.00444,49.0,0.0
"Mar 04, 2017",0.004448,0.005157,0.00397,0.004225,67.0,0.0
"Mar 05, 2017",0.004223,0.008723,0.004187,0.005878,607.0,0.0
"Mar 06, 2017",0.00588,0.005888,0.004291,0.004296,14.0,0.0
"Mar 07, 2017",0.004297,0.005549,0.004111,0.005008,149.0,0.0
"Mar 08, 2017",0.005006,0.005403,0.00394,0.004371,117.0,0.0
"Mar 09, 2017",0.004372,0.00505,0.004338,0.004516,46.0,0.0
"Mar 10, 2017",0.00452,0.004552,0.004471,0.004546,10.0,0.0
"Mar 11, 2017",0.004384,0.004537,0.004384,0.004468,5.0,0.0
"Mar 12, 2017",0.004471,0.004598,0.003561,0.004577,90.0,0.0
"Mar 13, 2017",0.004579,0.011632,0.003695,0.006145,1974.0,0.0
"Mar 14, 2017",0.006146,0.006146,0.001671,0.004979,3846.0,0.0
"Mar 15, 2017",0.00498,0.005453,0.004082,0.004083,116.0,0.0
"Mar 16, 2017",0.004089,0.005397,0.003171,0.003524,473.0,0.0
"Mar 17, 2017",0.003502,0.003502,0.00306,0.003062,19.0,0.0
"Mar 18, 2017",0.003061,0.004514,0.002368,0.003309,451.0,0.0
"Mar 19, 2017",0.003319,0.0035,0.002504,0.002649,85.0,0.0
"Mar 20, 2017",0.00265,0.004305,0.001932,0.00213,99272.0,0.0
"Mar 21, 2017",0.002132,0.00265,0.001417,0.001513,47822.0,0.0
"Mar 22, 2017",0.001513,0.001657,0.001089,0.001145,10471.0,0.0
"Mar 23, 2017",0.001146,0.001292,0.001008,0.001155,3275.0,0.0
"Mar 24, 2017",0.001155,0.001207,0.000936,0.00094,445.0,0.0
"Mar 25, 2017",0.000939,0.001095,0.000736,0.001052,1083.0,0.0
"Mar 26, 2017",0.001053,0.001118,0.000879,0.001081,319.0,0.0
"Mar 27, 2017",0.001088,0.001403,0.000973,0.001392,1813.0,0.0
"Mar 28, 2017",0.001391,0.002887,0.001134,0.001334,9644.0,0.0
"Mar 29, 2017",0.001332,0.001425,0.000963,0.001044,968.0,0.0
"Mar 30, 2017",0.001046,0.00115,0.000858,0.00114,355.0,0.0
"Mar 31, 2017",0.00089,0.001304,0.000889,0.001192,593.0,0.0
"Apr 01, 2017",0.001191,0.001248,0.001049,0.001154,564.0,0.0
"Apr 02, 2017",0.001154,0.001283,0.000865,0.001054,416.0,0.0
"Apr 03, 2017",0.001055,0.001148,0.000906,0.000927,209.0,0.0
"Apr 04, 2017",0.000928,0.001052,0.000895,0.000967,68.0,0.0
"Apr 05, 2017",0.000968,0.001238,0.000932,0.001147,246.0,0.0
"Apr 06, 2017",0.001148,0.001157,0.000995,0.001065,187.0,0.0
"Apr 07, 2017",0.001061,0.001075,0.001009,0.001055,187.0,0.0
"Apr 08, 2017",0.001051,0.001086,0.001017,0.001023,57.0,0.0
