datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-03,0.008288,0.008363,0.008183,0.008363,0.0,67338.0
2017-1-04,0.008361,0.015563,0.008361,0.009817,1668.0,67933.0
2017-1-05,0.009827,0.010625,0.007101,0.008176,1269.0,79840.0
2017-1-06,0.008046,0.008497,0.006061,0.00609,366.0,65374.0
2017-1-07,0.005891,0.006775,0.005417,0.006133,109.0,47861.0
2017-1-08,0.006133,0.006956,0.00595,0.006442,515.0,49944.0
2017-1-09,0.006861,0.006877,0.005723,0.006359,91.0,55974.0
2017-1-10,0.0065,0.007044,0.005975,0.006562,32.0,53085.0
2017-1-11,0.006563,0.007138,0.005287,0.00581,5.0,53599.0
2017-1-12,0.005732,0.006617,0.005242,0.005911,3.0,46829.0
2017-1-13,0.005787,0.006186,0.005108,0.006007,2.0,47278.0
2017-1-14,0.006015,0.006253,0.005351,0.006124,1.0,49143.0
2017-1-15,0.006122,0.006122,0.005303,0.005342,1.0,50014.0
2017-1-16,0.005342,0.005424,0.005332,0.005404,0.0,43642.0
2017-1-17,0.005405,0.005919,0.0054,0.005898,0.0,44159.0
2017-1-18,0.005902,0.005964,0.005579,0.005716,0.0,48216.0
2017-1-22,0.006988,0.007031,0.006732,0.006927,0.0,57092.0
2017-1-23,0.006935,0.006962,0.006876,0.006952,0.0,56659.0
2017-1-24,0.008946,0.008946,0.0087,0.0087,32.0,73086.0
2017-1-25,0.008704,0.008807,0.008694,0.008731,32.0,71109.0
2017-1-28,0.013523,0.013572,0.013521,0.013538,0.0,110485.0
2017-1-29,0.013538,0.013548,0.013538,0.013548,0.0,110607.0
2017-1-30,0.006081,0.006085,0.006077,0.006077,0.0,49681.0
2017-1-31,0.006075,0.014318,0.006075,0.014296,1.0,49629.0
2017-2-01,0.014294,0.01458,0.014294,0.01458,0.0,116782.0
2017-2-02,0.014578,0.014703,0.014493,0.01469,0.0,119104.0
2017-2-05,0.015351,0.015367,0.015039,0.015112,0.0,125419.0
2017-2-06,0.015128,0.015367,0.015124,0.015295,0.0,123594.0
2017-2-09,0.015759,0.016008,0.014014,0.014617,0.0,128747.0
