datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1e-05,1e-05,1e-05,1e-05,0.0,19281.0
2017-1-07,9e-06,9e-06,9e-06,9e-06,0.0,17571.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,0.0,18178.0
2017-1-09,9e-06,9e-06,9e-06,9e-06,0.0,18230.0
2017-1-13,8e-06,8e-06,8e-06,8e-06,0.0,16468.0
2017-1-14,8e-06,8e-06,8e-06,8e-06,0.0,16485.0
2017-1-15,8e-06,8e-06,8e-06,8e-06,0.0,16374.0
2017-1-16,8e-06,8e-06,8e-06,8e-06,0.0,16569.0
2017-1-17,8e-06,9e-06,8e-06,9e-06,0.0,16636.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,2.0,17481.0
2017-1-19,9e-06,9e-06,9e-06,9e-06,0.0,17738.0
2017-1-20,9e-06,9e-06,9e-06,9e-06,0.0,17988.0
2017-1-21,9e-06,9e-06,9e-06,9e-06,2.0,17907.0
2017-1-22,9e-06,9e-06,9e-06,9e-06,93.0,18442.0
2017-1-23,9e-06,9e-06,9e-06,9e-06,6.0,18500.0
2017-1-24,9e-06,9e-06,9e-06,9e-06,6.0,18220.0
2017-1-25,9e-06,9e-06,9e-06,9e-06,1.0,17860.0
2017-1-26,9e-06,9e-06,9e-06,9e-06,12.0,18037.0
2017-1-27,9e-06,9e-06,9e-06,9e-06,3.0,18358.0
2017-1-28,9e-06,9e-06,9e-06,9e-06,1.0,18401.0
2017-1-29,9e-06,9e-06,9e-06,9e-06,1.0,18438.0
2017-1-30,9e-06,9e-06,9e-06,9e-06,0.0,18396.0
2017-1-31,9e-06,1e-05,9e-06,1e-05,1.0,18414.0
2017-2-01,1e-05,1e-05,1e-05,1e-05,1.0,19415.0
2017-2-02,1e-05,1e-05,1e-05,1e-05,2.0,19787.0
2017-2-03,1e-05,1e-05,1e-05,1e-05,17.0,20236.0
2017-2-04,1e-05,1e-05,1e-05,1e-05,3.0,20634.0
2017-2-05,1e-05,1e-05,1e-05,1e-05,2.0,20878.0
2017-2-06,1e-05,1e-05,1e-05,1e-05,22.0,20575.0
2017-2-07,1e-05,1.1e-05,1e-05,1.1e-05,7.0,20810.0
2017-2-08,1.1e-05,1.1e-05,1e-05,1.1e-05,6.0,21254.0
2017-2-09,1e-05,1e-05,1e-05,1e-05,1.0,19518.0
2017-2-10,1e-05,1e-05,9e-06,1e-05,0.0,19919.0
2017-2-11,1e-05,1e-05,1e-05,1e-05,9.0,19785.0
2017-2-12,1e-05,1e-05,1e-05,1e-05,2.0,20077.0
2017-2-13,1e-05,1e-05,1e-05,1e-05,1.0,19985.0
2017-2-14,1e-05,1e-05,1e-05,1e-05,0.0,19854.0
2017-2-15,1e-05,1e-05,1e-05,1e-05,1.0,20131.0
2017-2-16,1e-05,1e-05,1e-05,1e-05,0.0,20160.0
2017-2-17,1e-05,1.1e-05,1e-05,1e-05,2.0,20529.0
2017-2-18,1e-05,1.1e-05,1e-05,1.1e-05,11.0,20991.0
2017-2-19,1.1e-05,1.1e-05,1e-05,1e-05,1.0,21102.0
2017-2-20,1e-05,1.1e-05,1e-05,1.1e-05,2.0,20981.0
2017-2-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,21593.0
2017-2-22,1.1e-05,1.1e-05,1.1e-05,1.1e-05,2.0,22304.0
2017-2-23,1.1e-05,1.2e-05,1.1e-05,1.2e-05,2.0,22353.0
2017-2-24,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.0,23462.0
2017-2-25,1.2e-05,1.2e-05,1.1e-05,1.1e-05,0.0,23416.0
2017-2-26,1.1e-05,1.2e-05,1.1e-05,1.2e-05,0.0,22893.0
2017-2-27,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23394.0
2017-2-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23623.0
2017-3-02,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.0,24676.0
2017-3-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,25023.0
2017-3-04,1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,25557.0
2017-3-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,25094.0
2017-3-06,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,25403.0
2017-3-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,0.0,25473.0
2017-3-11,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,23510.0
2017-3-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23540.0
2017-3-13,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,24444.0
2017-3-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,24652.0
2017-3-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,22406.0
2017-3-22,1.1e-05,1.1e-05,1e-05,1e-05,0.0,22421.0
2017-3-23,1e-05,1e-05,1e-05,1e-05,0.0,20950.0
2017-3-24,1e-05,1e-05,1e-05,1e-05,0.0,20776.0
2017-3-26,1e-05,1e-05,1e-05,1e-05,0.0,19211.0
2017-3-27,1e-05,1e-05,1e-05,1e-05,0.0,19448.0
2017-3-28,1e-05,1.1e-05,1e-05,1.1e-05,0.0,20899.0
2017-3-29,1e-05,1e-05,1e-05,1e-05,0.0,20715.0
2017-3-30,1e-05,1e-05,1e-05,1e-05,0.0,20851.0
2017-3-31,1e-05,1.1e-05,1e-05,1.1e-05,0.0,20540.0
2017-4-01,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,21442.0
2017-4-02,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,21655.0
2017-4-03,1.1e-05,1.2e-05,1.1e-05,1.1e-05,0.0,22067.0
2017-4-04,1.1e-05,1.2e-05,1.1e-05,1.1e-05,0.0,22918.0
2017-4-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,22691.0
2017-4-06,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23116.0
2017-4-07,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23587.0
2017-4-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,24046.0
2017-4-13,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,24029.0
2017-4-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23415.0
2017-4-15,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,23354.0
2017-4-18,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,24267.0
2017-4-19,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,24251.0
2017-4-20,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,24230.0
2017-4-21,1.2e-05,1.2e-05,1.2e-05,1.2e-05,4.0,24597.0
2017-4-22,1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,24463.0
2017-4-23,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,24444.0
2017-4-24,1.2e-05,1.3e-05,1.2e-05,1.3e-05,0.0,24201.0
2017-4-25,1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,25018.0
2017-4-27,1.3e-05,1.3e-05,1.3e-05,1.3e-05,6.0,26273.0
2017-4-28,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,26364.0
2017-4-29,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,26366.0
2017-4-30,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,26446.0
2017-5-02,1.4e-05,1.5e-05,1.4e-05,1.5e-05,2.0,28600.0
2017-5-03,1.5e-05,1.5e-05,1.5e-05,1.5e-05,1.0,29086.0
2017-5-07,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,31642.0
2017-5-08,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,31949.0
2017-5-09,1.8e-05,1.8e-05,1.7e-05,1.8e-05,2.0,36332.0
2017-5-10,1.8e-05,1.8e-05,1.7e-05,1.8e-05,0.0,35142.0
2017-5-11,1.8e-05,1.9e-05,1.7e-05,1.8e-05,0.0,35236.0
2017-5-12,1.8e-05,1.8e-05,1.7e-05,1.7e-05,2.0,36556.0
2017-5-13,1.7e-05,1.8e-05,1.6e-05,1.8e-05,0.0,33922.0
2017-5-14,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,35597.0
2017-5-15,1.7e-05,1.7e-05,1.7e-05,1.7e-05,0.0,34230.0
2017-5-16,1.7e-05,1.8e-05,1.7e-05,1.7e-05,92.0,34577.0
2017-5-17,1.7e-05,1.8e-05,1.7e-05,1.8e-05,5.0,34787.0
2017-5-18,1.8e-05,1.9e-05,1.8e-05,1.9e-05,1.0,36254.0
2017-5-19,1.9e-05,2e-05,1.9e-05,2e-05,5.0,38202.0
2017-5-20,2e-05,2e-05,2e-05,2e-05,0.0,39262.0
2017-5-21,2e-05,2.1e-05,2e-05,2.1e-05,0.0,40931.0
2017-5-24,2.4e-05,2.5e-05,2.4e-05,2.4e-05,1.0,48064.0
2017-5-25,2.4e-05,2.8e-05,2.2e-05,2.3e-05,3.0,48717.0
2017-5-26,2.3e-05,2.6e-05,2.1e-05,2.2e-05,1.0,45795.0
2017-5-27,2.2e-05,2.3e-05,1.9e-05,2e-05,2.0,44757.0
2017-5-28,2e-05,2.3e-05,2e-05,2.2e-05,8.0,40936.0
2017-5-29,2.2e-05,2.3e-05,2.1e-05,2.3e-05,0.0,43435.0
2017-5-30,2.3e-05,2.3e-05,2.2e-05,2.2e-05,0.0,45573.0
2017-5-31,2.2e-05,2.3e-05,2.2e-05,2.3e-05,13.0,43818.0
2017-6-01,2.3e-05,2.4e-05,2.3e-05,2.4e-05,123.0,45756.0
2017-6-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,10.0,48010.0
2017-6-03,2.5e-05,2.6e-05,2.4e-05,2.5e-05,16.0,49515.0
2017-6-04,2.5e-05,2.6e-05,2.5e-05,2.5e-05,6.0,50699.0
2017-6-05,2.5e-05,2.6e-05,2.5e-05,2.6e-05,1.0,50353.0
2017-6-06,2.8e-05,2.9e-05,2.7e-05,2.9e-05,558.0,55990.0
2017-6-07,2.9e-05,0.000113,2.8e-05,5.4e-05,39047.0,57352.0
2017-6-08,8.1e-05,8.4e-05,2.7e-05,5.6e-05,7548.0,161496.0
2017-6-09,5.6e-05,5.7e-05,2.8e-05,2.8e-05,4129.0,112090.0
2017-6-10,2.8e-05,5.8e-05,2.8e-05,5.8e-05,1532.0,56227.0
2017-6-11,5.8e-05,5.9e-05,2.9e-05,3e-05,718.0,115690.0
