datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.024623,0.028655,0.024191,0.024191,1456.0,174459.0
"Jan 02, 2017",0.024191,0.025918,0.024046,0.024766,1091.0,171577.0
"Jan 03, 2017",0.024766,0.025774,0.024136,0.024136,193.0,175832.0
"Jan 04, 2017",0.024136,0.030281,0.023274,0.029848,3746.0,171511.0
"Jan 05, 2017",0.029848,0.033165,0.023517,0.023952,7314.0,212294.0
"Jan 06, 2017",0.023952,0.02613,0.023662,0.024427,8037.0,170521.0
"Jan 07, 2017",0.024427,0.026017,0.023126,0.025295,883.0,174026.0
"Jan 08, 2017",0.025296,0.025296,0.023127,0.023127,4690.0,180381.0
"Jan 09, 2017",0.023127,0.025151,0.022054,0.023063,1477.0,165079.0
"Jan 10, 2017",0.023063,0.023687,0.022243,0.022393,7630.0,164795.0
"Jan 11, 2017",0.022392,0.023114,0.019037,0.020037,2593.0,160160.0
"Jan 12, 2017",0.020037,0.021917,0.019605,0.021917,7247.0,143434.0
"Jan 13, 2017",0.021921,0.022031,0.020723,0.020723,136.0,156934.0
"Jan 14, 2017",0.020725,0.020725,0.020725,0.020725,13.0,148380.0
"Jan 15, 2017",0.020724,0.021014,0.019855,0.020579,87.0,148392.0
"Jan 16, 2017",0.020579,0.020723,0.019564,0.02014,200.0,147498.0
"Jan 17, 2017",0.02014,0.020298,0.02014,0.020262,119.0,144509.0
"Jan 18, 2017",0.020268,0.021871,0.019446,0.019593,8077.0,145458.0
"Jan 19, 2017",0.019593,0.030704,0.019593,0.025032,4135.0,140690.0
"Jan 20, 2017",0.025031,0.025031,0.021806,0.021813,291.0,179885.0
"Jan 21, 2017",0.021813,0.023849,0.021813,0.023268,64.0,156906.0
"Jan 22, 2017",0.023268,0.023559,0.021232,0.021232,398.0,167407.0
"Jan 23, 2017",0.021232,0.021377,0.021147,0.021301,204.0,152900.0
"Jan 24, 2017",0.021301,0.021301,0.02041,0.020558,1978.0,153513.0
"Jan 25, 2017",0.020556,0.021079,0.020497,0.020919,158.0,148271.0
"Jan 26, 2017",0.020919,0.021513,0.020919,0.020932,27.0,151029.0
"Jan 27, 2017",0.020932,0.022094,0.020932,0.022094,131.0,151171.0
"Jan 28, 2017",0.02209,0.022526,0.020346,0.020346,350.0,159540.0
"Jan 29, 2017",0.020346,0.02209,0.020346,0.020782,146.0,147018.0
"Jan 30, 2017",0.020783,0.021506,0.020779,0.020925,57.0,150234.0
"Jan 31, 2017",0.020925,0.021506,0.020925,0.021357,326.0,151402.0
"Feb 01, 2017",0.021365,0.021648,0.02121,0.02121,404.0,154753.0
"Feb 02, 2017",0.021219,0.02223,0.021219,0.02165,84.0,153840.0
"Feb 03, 2017",0.021655,0.022672,0.021655,0.022123,764.0,157156.0
"Feb 04, 2017",0.022122,0.026198,0.021977,0.022996,1536.0,160704.0
"Feb 05, 2017",0.022996,0.024451,0.022836,0.022836,726.0,167229.0
"Feb 06, 2017",0.022853,0.024168,0.02285,0.022877,650.0,166351.0
"Feb 07, 2017",0.022869,0.023126,0.022082,0.022517,562.0,166621.0
"Feb 08, 2017",0.022515,0.022515,0.021785,0.022405,694.0,164189.0
"Feb 09, 2017",0.022406,0.026061,0.02112,0.021254,3311.0,163562.0
"Feb 10, 2017",0.021197,0.023544,0.021197,0.022239,327.0,154892.0
"Feb 11, 2017",0.022235,0.023265,0.022235,0.023265,182.0,162640.0
"Feb 12, 2017",0.023265,0.023265,0.021653,0.021653,184.0,170330.0
"Feb 13, 2017",0.021634,0.021779,0.019628,0.019913,1435.0,158553.0
"Feb 14, 2017",0.019912,0.020941,0.019912,0.020531,453.0,146067.0
"Feb 15, 2017",0.020532,0.021697,0.020232,0.020374,472.0,150770.0
"Feb 16, 2017",0.02037,0.021289,0.02037,0.020716,417.0,149721.0
"Feb 17, 2017",0.020714,0.020714,0.020533,0.020533,81.0,152386.0
"Feb 18, 2017",0.020539,0.021413,0.020394,0.020971,417.0,151249.0
"Feb 19, 2017",0.020971,0.020971,0.020534,0.020542,366.0,154564.0
"Feb 20, 2017",0.020559,0.020685,0.020064,0.020064,314.0,151665.0
"Feb 21, 2017",0.020065,0.020646,0.020043,0.020049,79.0,148155.0
"Feb 22, 2017",0.020054,0.021943,0.020054,0.020791,561.0,148224.0
"Feb 23, 2017",0.020797,0.021112,0.020645,0.021112,118.0,153853.0
"Feb 24, 2017",0.021115,0.021402,0.020957,0.020962,523.0,156368.0
"Feb 25, 2017",0.02097,0.02097,0.019663,0.019809,321.0,155439.0
"Feb 26, 2017",0.019803,0.02024,0.019803,0.019957,60.0,146944.0
"Feb 27, 2017",0.019866,0.020108,0.019721,0.019928,1153.0,147531.0
"Feb 28, 2017",0.019938,0.020672,0.019938,0.019949,180.0,148224.0
"Mar 01, 2017",0.019954,0.020349,0.019186,0.019472,983.0,148467.0
"Mar 02, 2017",0.019473,0.019902,0.018293,0.018438,971.0,145018.0
"Mar 03, 2017",0.01843,0.020172,0.01843,0.019283,400.0,137392.0
"Mar 04, 2017",0.019288,0.021028,0.019143,0.020304,437.0,143930.0
"Mar 05, 2017",0.020304,0.020884,0.019144,0.019289,460.0,151642.0
"Mar 06, 2017",0.019274,0.021173,0.019274,0.021168,335.0,144081.0
"Mar 07, 2017",0.021171,0.022027,0.020446,0.020718,984.0,158427.0
"Mar 08, 2017",0.020724,0.022028,0.020256,0.020256,1168.0,155193.0
"Mar 09, 2017",0.02025,0.020973,0.019967,0.019967,523.0,151808.0
"Mar 10, 2017",0.01997,0.020694,0.018961,0.020114,901.0,149853.0
"Mar 11, 2017",0.020122,0.020122,0.019254,0.019688,832.0,151122.0
"Mar 12, 2017",0.01969,0.020997,0.0194,0.020563,1924.0,148005.0
"Mar 13, 2017",0.020682,0.024169,0.020462,0.023288,5776.0,155602.0
