datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jun 19, 2017",0.001449,0.001449,0.001449,0.001449,0.0,0.0
"Jun 20, 2017",0.001449,0.001449,0.001449,0.001449,0.0,0.0
"Jun 21, 2017",0.001674,0.001724,0.001474,0.001499,1.0,0.0
"Jun 22, 2017",0.001499,0.001549,0.001499,0.001549,0.0,0.0
"Jun 23, 2017",0.001549,0.002126,0.001524,0.002099,153.0,0.0
"Jun 24, 2017",0.002098,0.002122,0.001488,0.001517,1.0,0.0
"Jun 25, 2017",0.001514,0.002019,0.001484,0.001688,5.0,0.0
"Jun 26, 2017",0.001687,0.001714,0.001251,0.001315,19.0,0.0
"Jun 27, 2017",0.001315,0.001519,0.001277,0.001519,1.0,0.0
"Jun 28, 2017",0.001529,0.001531,0.000985,0.001048,7.0,0.0
"Jun 29, 2017",0.001047,0.001341,0.001036,0.001036,5.0,0.0
"Jun 30, 2017",0.001038,0.001489,0.001024,0.001226,1.0,0.0
"Jul 01, 2017",0.001226,0.001236,0.001074,0.001083,0.0,0.0
"Jul 02, 2017",0.001083,0.001129,0.001067,0.001124,2.0,0.0
"Jul 03, 2017",0.00112,0.001136,0.001088,0.001119,0.0,0.0
"Jul 04, 2017",0.001116,0.001358,0.001116,0.001218,0.0,0.0
"Jul 05, 2017",0.001217,0.001541,0.001186,0.001325,0.0,0.0
"Jul 06, 2017",0.001326,0.002004,0.001284,0.00135,4.0,0.0
"Jul 07, 2017",0.001351,0.0015,0.001201,0.00145,3.0,0.0
"Jul 08, 2017",0.001451,0.001512,0.001244,0.001299,6.0,0.0
"Jul 09, 2017",0.0013,0.001876,0.001269,0.001375,22.0,0.0
"Jul 10, 2017",0.001378,0.001452,0.00131,0.001407,1.0,0.0
"Jul 11, 2017",0.001404,0.001421,0.00102,0.00102,44.0,0.0
"Jul 12, 2017",0.001015,0.001192,0.000539,0.000572,82.0,0.0
"Jul 13, 2017",0.000573,0.000988,0.000571,0.000797,180.0,0.0
"Jul 14, 2017",0.000796,0.000915,0.000651,0.000711,453.0,0.0
"Jul 15, 2017",0.00071,0.000839,0.000667,0.000796,312.0,0.0
"Jul 16, 2017",0.000794,0.00094,0.000551,0.000635,245.0,0.0
"Jul 17, 2017",0.000635,0.000798,0.000635,0.000798,30.0,0.0
"Jul 18, 2017",0.0008,0.000938,0.000778,0.000828,9.0,0.0
"Jul 19, 2017",0.000829,0.000846,0.000538,0.000792,68.0,0.0
"Jul 20, 2017",0.000789,0.000846,0.000639,0.000815,36.0,0.0
"Jul 21, 2017",0.000821,0.001041,0.000731,0.00104,37.0,0.0
"Jul 22, 2017",0.00104,0.00138,0.000877,0.00116,63.0,0.0
"Jul 23, 2017",0.001415,0.001565,0.000854,0.000881,143.0,0.0
"Jul 24, 2017",0.00088,0.001163,0.000825,0.000828,81.0,0.0
"Jul 25, 2017",0.000827,0.001083,0.00076,0.000998,11.0,0.0
"Jul 26, 2017",0.000999,0.001016,0.000724,0.000755,20.0,0.0
"Jul 27, 2017",0.000757,0.000829,0.000755,0.000796,8.0,0.0
"Jul 28, 2017",0.000798,0.001135,0.000275,0.001061,123.0,0.0
"Jul 29, 2017",0.001057,0.001105,0.000614,0.001033,18.0,0.0
"Jul 30, 2017",0.001033,0.001035,0.00052,0.000657,4.0,0.0
"Jul 31, 2017",0.000658,0.000866,0.000649,0.000715,19.0,0.0
"Aug 01, 2017",0.000716,0.000727,0.000664,0.00071,78.0,0.0
"Aug 02, 2017",0.00071,0.000716,0.000691,0.000702,0.0,0.0
"Aug 03, 2017",0.000703,0.002425,0.000703,0.002425,1178.0,0.0
"Aug 04, 2017",0.002425,0.002425,0.000679,0.001085,358.0,0.0
"Aug 05, 2017",0.001085,0.001199,0.000754,0.000781,51.0,0.0
"Aug 06, 2017",0.000781,0.001339,0.000632,0.001259,457.0,0.0
"Aug 07, 2017",0.001256,0.001265,0.000744,0.001016,105.0,0.0
"Aug 08, 2017",0.001018,0.001045,0.001005,0.001031,1.0,0.0
"Aug 09, 2017",0.000949,0.001029,0.000617,0.001003,163.0,0.0
"Aug 10, 2017",0.001003,0.001032,0.000782,0.000786,1.0,0.0
"Aug 11, 2017",0.000786,0.001111,0.00065,0.001096,331.0,0.0
"Aug 12, 2017",0.001095,0.001097,0.000975,0.001045,1.0,0.0
"Aug 13, 2017",0.001044,0.001074,0.000569,0.000609,43.0,0.0
"Aug 14, 2017",0.000609,0.000887,0.000609,0.000863,55.0,0.0
"Aug 15, 2017",0.000865,0.000885,0.000732,0.000747,49.0,0.0
"Aug 16, 2017",0.000831,0.000839,0.000597,0.000615,55.0,0.0
"Aug 17, 2017",0.000614,0.000807,0.000594,0.000773,9.0,0.0
"Aug 18, 2017",0.00077,0.000773,0.000596,0.000617,3.0,0.0
"Aug 19, 2017",0.000616,0.000703,0.000576,0.000666,17.0,0.0
"Aug 20, 2017",0.000663,0.000704,0.000567,0.000611,7.0,0.0
"Aug 21, 2017",0.000609,0.000734,0.000607,0.000719,1.0,0.0
"Aug 22, 2017",0.00072,0.00072,0.00062,0.000655,42.0,0.0
