datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.009222,0.010558,0.008718,0.009367,241.0,95577.0
"Jan 02, 2017",0.009372,0.010009,0.006406,0.009583,436.0,97156.0
"Jan 03, 2017",0.009582,0.011009,0.00643,0.008662,622.0,99367.0
"Jan 04, 2017",0.00866,0.01064,0.00866,0.010199,363.0,89830.0
"Jan 05, 2017",0.010209,0.012447,0.00711,0.011075,3025.0,105936.0
"Jan 06, 2017",0.011105,0.012688,0.006607,0.006646,4082.0,115264.0
"Jan 07, 2017",0.006656,0.008558,0.006619,0.008202,1322.0,69103.0
"Jan 08, 2017",0.008202,0.011113,0.007835,0.008987,523.0,85184.0
"Jan 09, 2017",0.008999,0.011369,0.007874,0.009499,1024.0,93491.0
"Jan 10, 2017",0.009494,0.010172,0.007766,0.008091,670.0,98660.0
"Jan 11, 2017",0.008092,0.010453,0.00704,0.008671,745.0,84111.0
"Jan 12, 2017",0.008658,0.017291,0.00807,0.011273,271.0,90026.0
"Jan 13, 2017",0.011266,0.012642,0.009641,0.009656,867.0,117181.0
"Jan 14, 2017",0.009669,0.01437,0.009669,0.013523,299.0,100601.0
"Jan 15, 2017",0.013518,0.017233,0.008484,0.011753,387.0,140692.0
"Jan 16, 2017",0.011753,0.012194,0.009494,0.010467,503.0,122353.0
"Jan 17, 2017",0.010469,0.013095,0.00985,0.011918,472.0,109025.0
"Jan 18, 2017",0.011926,0.015284,0.01012,0.010427,980.0,124233.0
"Jan 19, 2017",0.01047,0.011911,0.00985,0.011505,303.0,109098.0
"Jan 20, 2017",0.0115,0.012929,0.011047,0.011396,236.0,119863.0
"Jan 21, 2017",0.011396,0.013598,0.011039,0.013141,151.0,118812.0
"Jan 22, 2017",0.013141,0.014122,0.009198,0.01058,12085.0,137042.0
"Jan 23, 2017",0.010592,0.012361,0.010289,0.011327,1276.0,110492.0
"Jan 24, 2017",0.011237,0.012319,0.009796,0.010789,1194.0,117258.0
"Jan 25, 2017",0.010741,0.010906,0.009621,0.010445,948.0,112111.0
"Jan 26, 2017",0.010445,0.011393,0.010198,0.010412,1004.0,109063.0
"Jan 27, 2017",0.011337,0.012774,0.01007,0.011629,3649.0,118409.0
"Jan 28, 2017",0.01163,0.022933,0.01163,0.016899,19178.0,121499.0
"Jan 29, 2017",0.016899,0.020962,0.015818,0.018536,14965.0,176590.0
"Jan 30, 2017",0.018535,0.020468,0.01757,0.019662,1793.0,193745.0
"Jan 31, 2017",0.019655,0.021025,0.017329,0.018459,2438.0,205506.0
"Feb 01, 2017",0.018149,0.019637,0.016461,0.0178,1784.0,189817.0
"Feb 02, 2017",0.017798,0.018025,0.016394,0.017862,830.0,186202.0
"Feb 03, 2017",0.017856,0.019137,0.016998,0.018625,472.0,186863.0
"Feb 04, 2017",0.018651,0.022966,0.017881,0.022378,2118.0,195232.0
"Feb 05, 2017",0.019035,0.027241,0.018976,0.023201,4519.0,199308.0
"Feb 06, 2017",0.023093,0.026607,0.021566,0.024289,2575.0,241870.0
"Feb 07, 2017",0.024335,0.02601,0.021582,0.0231,3194.0,254955.0
"Feb 08, 2017",0.023121,0.028532,0.021894,0.025593,4420.0,242300.0
"Feb 09, 2017",0.025632,0.03719,0.024398,0.035354,17601.0,268694.0
"Feb 10, 2017",0.035398,0.067448,0.029338,0.043022,58957.0,371168.0
"Feb 11, 2017",0.047614,0.051564,0.023973,0.034127,80949.0,499398.0
"Feb 12, 2017",0.034155,0.039283,0.030107,0.037679,20321.0,358331.0
"Feb 13, 2017",0.037668,0.057688,0.035612,0.047933,42447.0,395298.0
"Feb 14, 2017",0.047985,0.048267,0.038089,0.044632,15836.0,503720.0
"Feb 15, 2017",0.044706,0.047228,0.040316,0.044177,3109.0,469429.0
"Feb 16, 2017",0.044185,0.046447,0.032038,0.034262,15011.0,464088.0
"Feb 17, 2017",0.034202,0.043851,0.034186,0.036841,6034.0,359341.0
"Feb 18, 2017",0.036217,0.041703,0.036144,0.037334,4141.0,380623.0
"Feb 19, 2017",0.037338,0.041777,0.035443,0.039069,6663.0,392517.0
"Feb 20, 2017",0.0391,0.061562,0.0391,0.049189,21243.0,411159.0
"Feb 21, 2017",0.048808,0.065565,0.046731,0.059793,39333.0,513404.0
"Feb 22, 2017",0.059756,0.062245,0.054484,0.056587,7018.0,628732.0
"Feb 23, 2017",0.056578,0.072992,0.056266,0.064448,9346.0,595471.0
"Feb 24, 2017",0.064779,0.069876,0.061618,0.061894,4220.0,681976.0
"Feb 25, 2017",0.061618,0.067281,0.051747,0.05954,6025.0,648894.0
"Feb 26, 2017",0.059548,0.061533,0.051544,0.057244,4265.0,627277.0
"Feb 27, 2017",0.057174,0.061003,0.055427,0.056982,2731.0,602445.0
"Feb 28, 2017",0.057018,0.063128,0.054149,0.057901,4228.0,600983.0
"Mar 01, 2017",0.057904,0.061047,0.049453,0.059353,11802.0,610499.0
"Mar 02, 2017",0.059459,0.060566,0.052198,0.059677,5486.0,627080.0
"Mar 03, 2017",0.057823,0.060688,0.052977,0.056052,5339.0,610001.0
"Mar 04, 2017",0.056735,0.05692,0.051263,0.05227,2554.0,598702.0
"Mar 05, 2017",0.052235,0.062692,0.052027,0.059462,6841.0,551374.0
"Mar 06, 2017",0.059478,0.069052,0.058764,0.063326,7647.0,628024.0
"Mar 07, 2017",0.063345,0.067858,0.055723,0.056041,13341.0,669052.0
"Mar 08, 2017",0.056027,0.0581,0.04794,0.051204,8539.0,591931.0
"Mar 09, 2017",0.05122,0.054272,0.046587,0.051382,1923.0,541306.0
"Mar 10, 2017",0.051419,0.05399,0.037947,0.04341,7637.0,543575.0
"Mar 11, 2017",0.043394,0.049514,0.042281,0.045755,3617.0,458867.0
"Mar 12, 2017",0.045786,0.055292,0.041607,0.054168,8695.0,484289.0
"Mar 13, 2017",0.054798,0.067233,0.050851,0.061322,7222.0,579770.0
"Mar 14, 2017",0.061334,0.080189,0.057427,0.075352,25649.0,649095.0
"Mar 15, 2017",0.075361,0.092632,0.069187,0.085948,22276.0,797748.0
"Mar 16, 2017",0.086067,0.09901,0.080931,0.095044,24569.0,911297.0
"Mar 17, 2017",0.094432,0.101593,0.084651,0.08473,12688.0,1000120.0
"Mar 18, 2017",0.085631,0.087709,0.074835,0.076195,2936.0,907153.0
"Mar 19, 2017",0.076396,0.085866,0.07437,0.080555,7129.0,809539.0
"Mar 20, 2017",0.080594,0.102639,0.080594,0.095756,15917.0,854248.0
"Mar 21, 2017",0.095859,0.110917,0.095428,0.110917,17373.0,1016330.0
"Mar 22, 2017",0.110942,0.124639,0.103821,0.11023,20225.0,1176580.0
"Mar 23, 2017",0.110324,0.183731,0.10559,0.150426,42430.0,1170360.0
"Mar 24, 2017",0.150421,0.383869,0.146701,0.18358,69276.0,1596170.0
"Mar 25, 2017",0.183075,0.245753,0.168721,0.1948,48125.0,1943230.0
"Mar 26, 2017",0.195049,0.223972,0.166054,0.199429,34952.0,2070860.0
"Mar 27, 2017",0.200528,0.236692,0.180604,0.185703,24303.0,2129570.0
"Mar 28, 2017",0.185492,0.207371,0.118993,0.159024,29500.0,1970410.0
"Mar 29, 2017",0.150018,0.158484,0.126307,0.139338,20394.0,1594010.0
"Mar 30, 2017",0.139638,0.17249,0.122187,0.142977,33703.0,1484110.0
"Mar 31, 2017",0.143006,0.187157,0.143006,0.172479,34027.0,1520310.0
"Apr 01, 2017",0.172466,0.198769,0.172305,0.193783,30326.0,1833970.0
"Apr 02, 2017",0.193803,0.214664,0.180496,0.181081,23952.0,2061400.0
"Apr 03, 2017",0.181209,0.205741,0.14778,0.194015,30157.0,1927940.0
"Apr 04, 2017",0.194305,0.204564,0.170437,0.182764,10398.0,2067850.0
"Apr 05, 2017",0.187287,0.188591,0.164609,0.179357,6068.0,1993730.0
"Apr 06, 2017",0.179636,0.183683,0.166538,0.170215,13612.0,1912830.0
"Apr 07, 2017",0.169672,0.185358,0.169455,0.173383,9692.0,1807250.0
"Apr 08, 2017",0.172757,0.181037,0.165839,0.177653,11208.0,1840640.0
"Apr 09, 2017",0.177747,0.187043,0.165239,0.168844,10399.0,1894370.0
"Apr 10, 2017",0.168919,0.17859,0.165643,0.166074,10226.0,1800820.0
"Apr 11, 2017",0.166102,0.174178,0.15795,0.169791,12671.0,1771310.0
"Apr 12, 2017",0.169763,0.203,0.165478,0.183992,16661.0,1810900.0
"Apr 13, 2017",0.184092,0.210617,0.179759,0.180737,7824.0,1964330.0
"Apr 14, 2017",0.180899,0.188722,0.17408,0.174115,6151.0,1930820.0
"Apr 15, 2017",0.176463,0.192107,0.174165,0.190322,12693.0,1884030.0
"Apr 16, 2017",0.190607,0.24153,0.181641,0.202334,36325.0,2035650.0
"Apr 17, 2017",0.202387,0.234775,0.202387,0.207655,27011.0,2162050.0
"Apr 18, 2017",0.207631,0.224078,0.187628,0.199453,14464.0,2218790.0
"Apr 19, 2017",0.199529,0.215863,0.190446,0.202366,14517.0,2132850.0
"Apr 20, 2017",0.202498,0.210579,0.186744,0.20003,17347.0,2165210.0
"Apr 21, 2017",0.200085,0.202843,0.189798,0.191332,9885.0,2140040.0
"Apr 22, 2017",0.191436,0.221062,0.189123,0.219369,25170.0,2048140.0
"Apr 23, 2017",0.21942,0.227298,0.190212,0.1977,21490.0,2348230.0
"Apr 24, 2017",0.198096,0.240458,0.194036,0.213799,18450.0,2120600.0
"Apr 25, 2017",0.21385,0.239726,0.194642,0.207175,29621.0,2289980.0
"Apr 26, 2017",0.207257,0.226253,0.198479,0.20599,19974.0,2220040.0
"Apr 27, 2017",0.206118,0.222937,0.200279,0.20897,21188.0,2208490.0
"Apr 28, 2017",0.23027,0.23981,0.212679,0.234158,20239.0,2468000.0
"Apr 29, 2017",0.234379,0.240465,0.218852,0.218852,28667.0,2512790.0
"Apr 30, 2017",0.218865,0.326699,0.218704,0.292534,62061.0,2347160.0
"May 01, 2017",0.292663,0.387604,0.275174,0.348327,128611.0,3139520.0
"May 02, 2017",0.348187,0.388713,0.312078,0.360037,86493.0,3736270.0
"May 03, 2017",0.360275,0.365045,0.299312,0.340053,46612.0,3867130.0
"May 04, 2017",0.340419,0.824134,0.322516,0.392516,56339.0,3655090.0
"May 05, 2017",0.393334,0.432777,0.371613,0.398011,35991.0,4224490.0
"May 06, 2017",0.411034,0.420643,0.372626,0.412082,39639.0,4415910.0
"May 07, 2017",0.412255,0.446404,0.379537,0.429267,41632.0,4430340.0
"May 08, 2017",0.429324,0.466895,0.3944,0.424301,47983.0,4615150.0
"May 09, 2017",0.424435,0.433957,0.383628,0.393625,33321.0,4563930.0
"May 10, 2017",0.393885,0.39922,0.342044,0.34971,39036.0,4236670.0
"May 11, 2017",0.350338,0.369297,0.326683,0.346804,26493.0,3769390.0
"May 12, 2017",0.338566,0.391476,0.336103,0.358883,20891.0,3643800.0
"May 13, 2017",0.358141,0.374129,0.331448,0.352887,20950.0,3855630.0
"May 14, 2017",0.354017,0.441869,0.338897,0.398067,33394.0,3812360.0
"May 15, 2017",0.398301,0.413432,0.343714,0.373199,17559.0,4290520.0
"May 16, 2017",0.372647,0.401709,0.340009,0.394818,38555.0,4015360.0
"May 17, 2017",0.394712,0.405309,0.353938,0.380041,20523.0,4254370.0
"May 18, 2017",0.379837,0.470052,0.364547,0.452079,55931.0,4095260.0
"May 19, 2017",0.452339,0.475991,0.392854,0.452461,47169.0,4878370.0
"May 20, 2017",0.451814,0.546455,0.439768,0.482926,61937.0,4874100.0
"May 21, 2017",0.482753,0.539892,0.482153,0.53359,64744.0,5209390.0
"May 22, 2017",0.535385,0.738465,0.474886,0.573358,246310.0,5778990.0
"May 23, 2017",0.571267,0.668973,0.535721,0.641421,92031.0,6168110.0
"May 24, 2017",0.642202,0.697078,0.575016,0.676216,152577.0,6936050.0
"May 25, 2017",0.674947,0.70896,0.519877,0.540522,122844.0,7291840.0
"May 26, 2017",0.536643,0.629438,0.502306,0.563457,43898.0,5799370.0
"May 27, 2017",0.565329,0.565329,0.442898,0.483152,48832.0,6111170.0
"May 28, 2017",0.486038,0.603576,0.485867,0.598314,65522.0,5255580.0
"May 29, 2017",0.597102,0.629304,0.547969,0.610517,70680.0,6458420.0
"May 30, 2017",0.611227,0.659261,0.581186,0.608388,111698.0,6613150.0
"May 31, 2017",0.614656,0.915227,0.59848,0.811282,290548.0,6652220.0
"Jun 01, 2017",0.825936,1.15,0.823924,1.04,343202.0,8941460.0
"Jun 02, 2017",1.05,1.61,0.997194,1.5,401767.0,11385700.0
"Jun 03, 2017",1.5,2.19,1.48,1.82,929264.0,16296600.0
"Jun 04, 2017",1.81,2.23,1.54,1.59,562971.0,19657100.0
"Jun 05, 2017",1.57,1.89,1.57,1.89,463088.0,17035600.0
"Jun 06, 2017",1.88,2.24,1.6,2.13,505668.0,20389600.0
"Jun 07, 2017",2.12,2.65,2.08,2.16,632240.0,23001100.0
"Jun 08, 2017",2.17,2.43,1.97,2.31,491779.0,23539500.0
"Jun 09, 2017",2.31,2.31,2.06,2.18,330407.0,25024100.0
"Jun 10, 2017",2.21,2.27,1.98,2.02,212913.0,23994900.0
"Jun 11, 2017",2.03,2.03,1.73,1.91,268435.0,22006500.0
"Jun 12, 2017",1.9,1.95,1.47,1.64,222037.0,20645800.0
"Jun 13, 2017",1.63,1.77,1.56,1.74,373759.0,17730800.0
"Jun 14, 2017",1.74,2.01,1.54,1.6,269885.0,18875200.0
"Jun 15, 2017",1.59,1.7,1.22,1.68,282081.0,17254000.0
"Jun 16, 2017",1.66,1.68,1.46,1.56,203357.0,18056900.0
"Jun 17, 2017",1.58,1.59,1.49,1.53,189485.0,17182700.0
"Jun 18, 2017",1.55,1.58,1.5,1.54,106276.0,16825600.0
"Jun 19, 2017",1.52,1.73,1.51,1.66,309873.0,16533900.0
"Jun 20, 2017",1.66,2.17,1.56,2.03,453089.0,18041600.0
"Jun 21, 2017",2.06,2.93,1.99,2.18,1170470.0,22430500.0
