datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000896,0.000897,0.000833,0.000859,1500.0,89620.0
2017-1-02,0.000859,0.001062,0.000857,0.00092,9576.0,85881.0
2017-1-03,0.00092,0.001133,0.000875,0.001044,10350.0,91958.0
2017-1-04,0.001044,0.001118,0.000983,0.001005,99.0,104440.0
2017-1-05,0.001006,0.001071,0.000774,0.000872,263.0,100636.0
2017-1-06,0.000872,0.000957,0.000795,0.000803,8462.0,87225.0
2017-1-07,0.000804,0.000862,0.000733,0.000809,6.0,80410.0
2017-1-08,0.000808,0.00084,0.00079,0.000802,40.0,80828.0
2017-1-09,0.000804,0.000804,0.000774,0.000794,40.0,80366.0
2017-1-10,0.000794,0.000851,0.000768,0.000772,19.0,79415.0
2017-1-11,0.000772,0.000852,0.000648,0.000661,7.0,77153.0
2017-1-12,0.000659,0.001082,0.000644,0.000837,17642.0,65890.0
2017-1-13,0.000836,0.000958,0.000745,0.000766,106.0,83589.0
2017-1-14,0.000767,0.001171,0.00076,0.001056,27583.0,76738.0
2017-1-15,0.001154,0.00116,0.001019,0.001019,191.0,115358.0
2017-1-16,0.001019,0.001177,0.001017,0.001172,133.0,101901.0
2017-1-17,0.001172,0.003627,0.001052,0.002542,22688.0,117163.0
2017-1-18,0.002546,0.003642,0.001818,0.002217,33922.0,254624.0
2017-1-19,0.002221,0.004524,0.002221,0.002787,27701.0,222084.0
2017-1-20,0.003117,0.003622,0.002453,0.003177,18226.0,311666.0
2017-1-21,0.002596,0.002885,0.002273,0.002443,782.0,259558.0
2017-1-22,0.002398,0.002484,0.001133,0.002441,1775.0,239773.0
2017-1-23,0.001212,0.002364,0.001212,0.001548,114.0,121240.0
2017-1-24,0.00153,0.002187,0.001392,0.001393,145.0,152994.0
2017-1-25,0.001391,0.001539,0.001178,0.001217,62.0,139140.0
2017-1-26,0.001218,0.001361,0.00117,0.001202,23.0,121823.0
2017-1-27,0.001202,0.003222,0.001202,0.002667,1089.0,120204.0
2017-1-28,0.002667,0.002679,0.001243,0.001659,188.0,266745.0
2017-1-29,0.00166,0.001671,0.001254,0.001287,20.0,165972.0
2017-1-30,0.001288,0.002166,0.001116,0.001169,234.0,128821.0
2017-1-31,0.00117,0.002055,0.00117,0.001504,14.0,116962.0
2017-2-01,0.001505,0.00177,0.001216,0.001236,100.0,150496.0
2017-2-02,0.001238,0.001646,0.001193,0.001224,227.0,123750.0
2017-2-03,0.001224,0.00136,0.001221,0.001359,140.0,122387.0
2017-2-04,0.001361,0.002098,0.001248,0.001304,440.0,136136.0
2017-2-05,0.001304,0.001729,0.001298,0.001541,2.0,130440.0
2017-2-06,0.001543,0.001727,0.001255,0.001256,48.0,154260.0
2017-2-07,0.001259,0.001649,0.001259,0.001284,21.0,125857.0
2017-2-08,0.001285,0.001592,0.001255,0.001584,12.0,128541.0
2017-2-09,0.001586,0.002668,0.00129,0.002297,6533.0,158640.0
2017-2-10,0.0023,0.002307,0.0012,0.002155,117.0,229991.0
2017-2-11,0.002156,0.002198,0.001288,0.001296,3.0,215580.0
2017-2-12,0.001295,0.001301,0.001286,0.001289,2.0,129454.0
2017-2-13,0.001289,0.001293,0.001259,0.001288,6.0,128856.0
2017-2-14,0.001289,0.0016,0.001211,0.001597,46.0,128926.0
2017-2-15,0.0016,0.001897,0.0016,0.001894,6.0,159987.0
2017-2-16,0.001894,0.001914,0.001265,0.001634,17.0,189438.0
2017-2-17,0.001632,0.001783,0.001282,0.001318,4.0,163153.0
2017-2-18,0.001322,0.001684,0.001319,0.001677,1.0,132200.0
2017-2-19,0.001677,0.001679,0.001294,0.001677,1.0,167707.0
2017-2-20,0.001678,0.001691,0.00127,0.001307,40.0,167790.0
2017-2-21,0.001306,0.001341,0.001303,0.001339,0.0,130593.0
2017-2-22,0.001385,0.001407,0.001384,0.001397,0.0,138542.0
2017-2-23,0.001397,0.001435,0.001375,0.001423,20.0,139659.0
2017-2-24,0.001431,0.001464,0.001381,0.001421,19.0,143071.0
2017-2-25,0.001415,0.001722,0.001415,0.001681,1.0,141529.0
2017-2-26,0.001682,0.001683,0.001368,0.00141,2.0,168208.0
2017-2-27,0.001408,0.00167,0.001399,0.001416,238.0,140817.0
2017-2-28,0.001417,0.001432,0.001406,0.001416,3.0,141686.0
2017-3-01,0.001416,0.001724,0.001416,0.001724,1.0,141605.0
2017-3-02,0.001727,0.001729,0.001469,0.001501,39.0,172680.0
2017-3-03,0.001501,0.00178,0.001501,0.00153,18.0,150085.0
2017-3-04,0.001533,0.001535,0.001477,0.001519,0.0,153292.0
2017-3-05,0.001518,0.001762,0.001512,0.001761,1.0,151769.0
2017-3-06,0.001762,0.002215,0.001536,0.002215,70.0,176178.0
2017-3-07,0.002215,0.002219,0.001545,0.002141,1.0,221539.0
2017-3-08,0.002141,0.002156,0.001426,0.002012,1.0,214065.0
2017-3-09,0.002013,0.00207,0.001422,0.001438,49.0,201311.0
2017-3-10,0.001439,0.001784,0.001325,0.001374,2.0,143913.0
2017-3-11,0.001373,0.001468,0.001373,0.001452,0.0,137307.0
2017-3-12,0.001429,0.001485,0.001429,0.001478,252.0,142922.0
2017-3-13,0.001478,0.001497,0.001473,0.001491,2.0,147835.0
2017-3-14,0.001491,0.001506,0.001477,0.0015,15.0,149091.0
2017-3-15,0.001501,0.001527,0.0015,0.001525,8.0,150059.0
2017-3-16,0.001527,0.001535,0.001498,0.001498,7.0,152662.0
2017-3-17,0.001512,0.001525,0.001341,0.001342,4.0,151226.0
2017-3-18,0.001342,0.001359,0.001197,0.001266,2.0,134162.0
2017-3-19,0.00127,0.001526,0.001189,0.001483,166.0,126975.0
2017-3-20,0.001483,0.00152,0.001482,0.001504,1.0,148325.0
2017-3-21,0.001324,0.001347,0.001314,0.001345,106.0,132355.0
2017-3-22,0.001345,0.001345,0.001217,0.001259,310.0,134478.0
2017-3-23,0.00126,0.001525,0.001235,0.001506,1.0,126006.0
2017-3-24,0.001506,0.001507,0.001149,0.001153,1.0,150575.0
2017-3-25,0.001152,0.00121,0.001112,0.001206,1.0,115194.0
2017-3-26,0.001208,0.00125,0.001183,0.001245,1.0,120778.0
2017-3-27,0.001216,0.001273,0.001213,0.001255,194.0,121610.0
2017-3-28,0.001254,0.001361,0.001238,0.001257,13.0,125350.0
2017-3-29,0.001255,0.001356,0.001222,0.001352,11.0,125530.0
2017-3-30,0.001355,0.001473,0.001224,0.001416,186.0,135487.0
2017-3-31,0.001417,0.001439,0.001248,0.001286,19.0,141676.0
2017-4-01,0.001286,0.001507,0.001281,0.001307,0.0,128605.0
2017-4-02,0.001308,0.00134,0.001301,0.001334,2.0,130754.0
2017-4-03,0.001335,0.001577,0.001335,0.001384,1.0,133457.0
2017-4-04,0.001386,0.001399,0.001348,0.00136,132.0,138608.0
2017-4-05,0.001361,0.001385,0.001359,0.001372,3.0,136097.0
2017-4-06,0.001373,0.001664,0.001373,0.001656,0.0,137349.0
2017-4-07,0.001651,0.001653,0.001516,0.001518,0.0,165052.0
2017-4-08,0.001513,0.001517,0.001437,0.001446,0.0,151272.0
2017-4-09,0.001447,0.001497,0.001446,0.001485,0.0,144718.0
2017-4-10,0.001484,0.001486,0.001416,0.001436,88.0,148413.0
2017-4-11,0.001437,0.00145,0.001427,0.001446,126.0,143683.0
2017-4-12,0.001446,0.001449,0.001436,0.00144,17.0,144577.0
2017-4-13,0.001441,0.00165,0.001388,0.001403,30.0,144122.0
2017-4-14,0.001404,0.001429,0.001392,0.001409,0.0,140440.0
2017-4-16,0.00143,0.001437,0.001423,0.001431,16.0,142976.0
2017-4-17,0.001432,0.001446,0.001419,0.001445,4.0,143173.0
2017-4-18,0.001444,0.001461,0.001213,0.001236,241.0,144446.0
2017-4-19,0.001236,0.001459,0.001207,0.001222,14.0,123637.0
2017-4-20,0.001223,0.001253,0.00122,0.001229,21.0,122319.0
2017-4-21,0.001229,0.001236,0.001216,0.001222,10.0,122942.0
2017-4-22,0.001223,0.001236,0.001208,0.001232,0.0,122271.0
2017-4-23,0.001232,0.00148,0.00123,0.001461,5.0,123192.0
2017-4-24,0.001222,0.001263,0.001216,0.001263,13.0,122173.0
2017-4-25,0.001263,0.001267,0.001262,0.001265,40.0,126295.0
2017-4-26,0.001266,0.001782,0.001266,0.001409,14.0,126599.0
2017-4-27,0.00141,0.001449,0.001322,0.001331,3.0,141007.0
2017-4-28,0.001331,0.001345,0.001305,0.00133,3.0,133092.0
2017-4-29,0.001331,0.00135,0.001331,0.001348,0.0,133102.0
2017-4-30,0.001348,0.001375,0.001341,0.001375,1.0,134831.0
2017-5-01,0.001375,0.001463,0.001375,0.00145,0.0,137527.0
2017-5-02,0.001449,0.001471,0.001442,0.001467,16.0,144945.0
2017-5-03,0.001468,0.00206,0.001462,0.002056,18.0,146832.0
2017-5-04,0.002057,0.00222,0.002057,0.002214,0.0,205719.0
2017-5-06,0.001549,0.002174,0.001549,0.00161,62.0,154873.0
2017-5-07,0.001611,0.002186,0.00156,0.001597,7.0,161106.0
2017-5-08,0.001597,0.001669,0.001597,0.001654,1.0,159692.0
2017-5-09,0.001761,0.001763,0.001754,0.001755,135.0,176140.0
2017-5-10,0.001757,0.002448,0.001719,0.001776,4.0,175652.0
2017-5-11,0.001779,0.002545,0.001742,0.002501,151.0,177881.0
2017-5-12,0.002503,0.003619,0.002495,0.003551,135.0,250320.0
2017-5-13,0.003544,0.004328,0.001854,0.00188,303.0,354367.0
2017-5-14,0.001886,0.004254,0.00187,0.002184,156.0,188600.0
2017-5-15,0.002185,0.004015,0.002072,0.003981,34.0,218490.0
2017-5-16,0.003975,0.004175,0.002234,0.002296,25.0,397495.0
2017-5-17,0.002295,0.004371,0.002271,0.004315,6.0,229512.0
2017-5-18,0.004313,0.004587,0.004309,0.00458,15.0,431276.0
2017-5-19,0.004582,0.004664,0.002328,0.004656,17.0,458216.0
2017-5-20,0.004651,0.004721,0.004535,0.004707,6.0,465099.0
2017-5-21,0.004705,0.005074,0.004681,0.004939,40.0,470547.0
2017-5-22,0.004956,0.005141,0.002673,0.002765,25.0,495595.0
2017-5-23,0.002761,0.003358,0.002212,0.002282,246.0,276092.0
2017-5-24,0.002284,0.0025,0.002284,0.002499,1.0,228432.0
2017-5-25,0.003119,0.003119,0.002245,0.002306,251.0,311854.0
2017-5-26,0.002289,0.004162,0.002289,0.003456,4.0,228896.0
2017-5-27,0.003467,0.003571,0.001923,0.002075,2.0,346745.0
2017-5-28,0.002087,0.004972,0.002087,0.004808,90.0,208703.0
2017-5-29,0.004798,0.005019,0.004665,0.004914,0.0,479791.0
2017-5-30,0.00492,0.005009,0.004528,0.004581,0.0,492021.0
2017-5-31,0.004599,0.004855,0.004543,0.004798,2.0,459928.0
2017-6-01,0.004803,0.005133,0.004803,0.005037,0.0,480273.0
2017-6-02,0.005039,0.005043,0.0028,0.002897,0.0,503930.0
2017-6-03,0.002896,0.0053,0.002844,0.00526,0.0,289563.0
2017-6-04,0.005246,0.005246,0.004926,0.005008,3.0,524555.0
2017-6-05,0.005008,0.005204,0.00307,0.003278,10.0,500844.0
2017-6-06,0.003288,0.003568,0.003288,0.003342,2.0,328765.0
2017-6-07,0.004574,0.004583,0.003233,0.004284,68.0,457396.0
2017-6-08,0.004305,0.004478,0.003298,0.003423,1.0,430509.0
2017-6-09,0.003418,0.004569,0.00341,0.003423,8.0,341759.0
2017-6-10,0.003429,0.004459,0.003424,0.003529,54.0,342865.0
2017-6-11,0.003527,0.004076,0.00349,0.003574,4.0,352735.0
2017-6-12,0.003569,0.003986,0.002806,0.003949,35.0,356933.0
2017-6-13,0.003936,0.004114,0.003931,0.00401,5.0,393563.0
2017-6-14,0.004008,0.004095,0.002562,0.003686,60.0,400778.0
2017-6-15,0.003686,0.003757,0.003192,0.003596,9.0,368606.0
2017-6-17,0.002498,0.003722,0.002498,0.003722,853.0,249801.0
2017-6-18,0.003722,0.003722,0.003722,0.003722,3.0,372203.0
2017-6-19,0.003722,0.003722,0.002548,0.003722,3.0,372203.0
2017-6-20,0.003722,0.003722,0.003722,0.003722,0.0,372203.0
2017-6-21,0.003722,0.003972,0.003722,0.003972,41.0,372203.0
2017-6-22,0.003972,0.003972,0.002773,0.002773,85.0,397183.0
2017-6-23,0.002773,0.002952,0.002698,0.002906,38.0,277279.0
2017-6-24,0.002906,0.002915,0.002906,0.002915,38.0,290558.0
2017-6-26,0.003638,0.00377,0.003638,0.003736,0.0,363808.0
2017-6-27,0.003825,0.003975,0.002636,0.003975,1.0,382460.0
2017-6-28,0.004001,0.004064,0.003853,0.004011,8.0,400091.0
2017-6-29,0.004007,0.004027,0.003868,0.003917,0.0,400749.0
2017-6-30,0.003925,0.00394,0.003762,0.003777,0.0,392477.0
2017-7-01,0.003776,0.003841,0.003699,0.003706,0.0,377573.0
