datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.148718,0.148718,0.133745,0.140328,273888.0,89230800.0
"Jul 25, 2017",0.140113,0.142843,0.111864,0.112664,280444.0,84067800.0
"Jul 26, 2017",0.112425,0.116832,0.1033,0.115987,227856.0,67454800.0
"Jul 27, 2017",0.115615,0.116029,0.101273,0.107523,362281.0,69369300.0
"Jul 28, 2017",0.107788,0.10935,0.096819,0.097625,432020.0,64672800.0
"Jul 29, 2017",0.097249,0.097872,0.084024,0.091431,353457.0,58349300.0
"Jul 30, 2017",0.091889,0.111568,0.091763,0.102539,352233.0,55133600.0
"Jul 31, 2017",0.102605,0.102828,0.095082,0.099893,270343.0,61563000.0
"Aug 01, 2017",0.100012,0.114029,0.099824,0.111883,449394.0,60007300.0
"Aug 02, 2017",0.111803,0.113596,0.105928,0.107665,321234.0,67082100.0
"Aug 03, 2017",0.107799,0.118578,0.10738,0.118578,377162.0,64679400.0
"Aug 04, 2017",0.118503,0.145746,0.118503,0.13917,582976.0,71101800.0
"Aug 05, 2017",0.138215,0.158816,0.136945,0.143275,550635.0,82929200.0
"Aug 06, 2017",0.143484,0.154408,0.137825,0.138765,607670.0,86090400.0
"Aug 07, 2017",0.138657,0.148204,0.138294,0.141375,451081.0,83194300.0
"Aug 08, 2017",0.141454,0.149957,0.138722,0.146283,474453.0,84872300.0
"Aug 09, 2017",0.146306,0.153123,0.143371,0.149154,587211.0,87783700.0
"Aug 10, 2017",0.14915,0.149537,0.139108,0.141453,639263.0,89490000.0
"Aug 11, 2017",0.141428,0.165887,0.134325,0.165443,933972.0,84856700.0
"Aug 12, 2017",0.164906,0.221602,0.164906,0.203323,1737000.0,98943300.0
"Aug 13, 2017",0.204892,0.20895,0.170029,0.173246,1107450.0,122935000.0
"Aug 14, 2017",0.17358,0.185617,0.159342,0.1599,974451.0,104148000.0
"Aug 15, 2017",0.160103,0.174902,0.149941,0.166166,857863.0,96062000.0
"Aug 16, 2017",0.166516,0.170515,0.152261,0.166815,840844.0,99909500.0
"Aug 17, 2017",0.166949,0.171139,0.150688,0.154642,1074510.0,100169000.0
"Aug 18, 2017",0.155092,0.163284,0.139869,0.142252,785396.0,93055200.0
"Aug 19, 2017",0.142463,0.147936,0.133907,0.143859,688595.0,85478000.0
"Aug 20, 2017",0.143444,0.164527,0.137088,0.164176,872089.0,86066200.0
"Aug 21, 2017",0.164797,0.168299,0.137499,0.144665,1061010.0,98878000.0
"Aug 22, 2017",0.145339,0.148971,0.12997,0.135608,805628.0,87203500.0
