datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 02, 2017",0.019297,0.034264,0.019297,0.020426,3537.0,7663.0
"Jan 03, 2017",0.020425,0.020608,0.016596,0.016883,28.0,8114.0
"Jan 04, 2017",0.016879,0.022041,0.016879,0.018018,3.0,6707.0
"Jan 05, 2017",0.018037,0.018593,0.014212,0.015715,2.0,7168.0
"Jan 06, 2017",0.015758,0.01783,0.013745,0.014029,13.0,6264.0
"Jan 07, 2017",0.014049,0.014117,0.012806,0.013821,9.0,5585.0
"Jan 08, 2017",0.009169,0.009175,0.00909,0.009154,14.0,3647.0
"Jan 09, 2017",0.009167,0.009192,0.008851,0.009006,14.0,3646.0
"Jan 11, 2017",0.013679,0.013792,0.011442,0.011683,14.0,5445.0
"Jan 12, 2017",0.011666,0.011678,0.011361,0.011564,7.0,4645.0
"Jan 13, 2017",0.016099,0.016381,0.016038,0.016259,1.0,6411.0
"Jan 14, 2017",0.016282,0.016501,0.00823,0.016301,13.0,6485.0
"Jan 15, 2017",0.016295,0.02302,0.016184,0.018171,1.0,6492.0
"Jan 16, 2017",0.01817,0.022365,0.018136,0.02228,6.0,7239.0
"Jan 17, 2017",0.022285,0.023789,0.022265,0.023762,6.0,8879.0
"Jan 18, 2017",0.009156,0.009156,0.00878,0.009033,0.0,3652.0
"Jan 19, 2017",0.00907,0.009187,0.009047,0.00911,0.0,3618.0
"Jan 20, 2017",0.015403,0.015461,0.015381,0.015386,15.0,6148.0
"Jan 21, 2017",0.015385,0.015805,0.011174,0.0112,1.0,6142.0
"Jan 22, 2017",0.0112,0.011391,0.010905,0.011222,3.0,4472.0
"Jan 23, 2017",0.011235,0.011245,0.011044,0.011124,7.0,4487.0
"Jan 24, 2017",0.010992,0.019066,0.009173,0.009173,238.0,4391.0
"Jan 25, 2017",0.009177,0.009285,0.009167,0.009258,0.0,3667.0
"Jan 26, 2017",0.018871,0.022045,0.017091,0.018553,2526.0,7543.0
"Jan 27, 2017",0.018554,0.021013,0.018518,0.019361,6.0,7418.0
"Jan 28, 2017",0.019361,0.01943,0.01862,0.018634,3.0,7744.0
"Jan 29, 2017",0.018635,0.018672,0.010316,0.010317,1.0,7455.0
"Jan 30, 2017",0.010317,0.015281,0.010316,0.010423,0.0,4129.0
"Jan 31, 2017",0.010419,0.010871,0.010419,0.010829,0.0,4171.0
"Feb 01, 2017",0.010993,0.011154,0.009937,0.01001,33.0,4402.0
"Feb 02, 2017",0.010009,0.010884,0.00995,0.010229,1.0,4009.0
"Feb 03, 2017",0.010226,0.01038,0.010144,0.01034,2.0,4097.0
"Feb 04, 2017",0.010355,0.010522,0.010192,0.010492,0.0,4150.0
"Feb 05, 2017",0.010498,0.014074,0.010449,0.013859,1.0,4209.0
"Feb 06, 2017",0.013873,0.014082,0.010515,0.01088,12.0,5564.0
"Feb 07, 2017",0.010901,0.011129,0.010901,0.011123,3.0,4373.0
"Feb 08, 2017",0.011133,0.011308,0.010873,0.011141,4.0,4468.0
"Feb 09, 2017",0.011158,0.014667,0.011158,0.013404,2.0,4479.0
"Feb 10, 2017",0.013421,0.015836,0.012761,0.013327,3.0,5389.0
"Feb 11, 2017",0.01333,0.013599,0.013248,0.013593,1.0,5353.0
"Feb 12, 2017",0.016999,0.017005,0.016955,0.016976,0.0,6829.0
"Feb 13, 2017",0.016971,0.016979,0.010416,0.010422,3.0,6819.0
"Feb 14, 2017",0.010433,0.018967,0.010378,0.018956,7.0,4193.0
"Feb 15, 2017",0.018987,0.020609,0.010265,0.010286,6.0,7633.0
"Feb 16, 2017",0.010288,0.019289,0.010288,0.010521,1.0,4137.0
"Feb 17, 2017",0.010507,0.019484,0.010507,0.019355,6.0,4227.0
"Feb 18, 2017",0.01941,0.019629,0.019369,0.019547,2.0,7809.0
"Feb 19, 2017",0.010874,0.010927,0.010789,0.010835,0.0,4376.0
"Feb 20, 2017",0.010844,0.020367,0.010832,0.020358,12.0,4365.0
"Feb 21, 2017",0.020344,0.028857,0.0203,0.023444,2531.0,8192.0
"Feb 22, 2017",0.023433,0.027993,0.022891,0.023254,95.0,9437.0
"Feb 23, 2017",0.02325,0.029133,0.022367,0.025901,2005.0,9366.0
"Feb 24, 2017",0.026034,0.026673,0.023282,0.023474,14.0,10490.0
"Feb 25, 2017",0.023408,0.030114,0.018364,0.022877,1318.0,9434.0
"Feb 26, 2017",0.022885,0.024172,0.018368,0.018713,536.0,9225.0
"Feb 27, 2017",0.01869,0.018983,0.018684,0.01895,31.0,7536.0
"Feb 28, 2017",0.018962,0.021893,0.014362,0.014419,0.0,7647.0
"Mar 01, 2017",0.01442,0.017177,0.014417,0.014927,24.0,5817.0
"Mar 02, 2017",0.014953,0.015014,0.014843,0.015005,11.0,6034.0
"Mar 03, 2017",0.018844,0.020454,0.015423,0.015555,15.0,7606.0
"Mar 04, 2017",0.015585,0.021729,0.015395,0.015438,4.0,6292.0
"Mar 05, 2017",0.015428,0.023792,0.015387,0.01575,16.0,6231.0
"Mar 06, 2017",0.015755,0.021675,0.015755,0.015898,4.0,6365.0
"Mar 07, 2017",0.015902,0.015932,0.015468,0.015499,0.0,6424.0
"Mar 08, 2017",0.017506,0.017596,0.016532,0.01656,320.0,7072.0
"Mar 09, 2017",0.016565,0.017032,0.015341,0.01551,76.0,6692.0
"Mar 10, 2017",0.015521,0.017328,0.015029,0.015869,2.0,6270.0
"Mar 11, 2017",0.015863,0.039944,0.014683,0.014827,3113.0,6408.0
"Mar 12, 2017",0.014837,0.031666,0.014821,0.021985,6.0,6004.0
"Mar 13, 2017",0.021992,0.022268,0.016032,0.0162,0.0,8903.0
"Mar 14, 2017",0.016203,0.031743,0.016147,0.03162,7.0,6561.0
"Mar 15, 2017",0.031624,0.031717,0.031614,0.031702,7.0,12810.0
"Mar 16, 2017",0.017312,0.018123,0.017033,0.017556,12.0,7016.0
"Mar 17, 2017",0.017443,0.017443,0.016564,0.016948,11.0,7069.0
"Mar 18, 2017",0.016339,0.018941,0.015265,0.016769,8.0,6624.0
"Mar 19, 2017",0.016819,0.017572,0.014216,0.014742,0.0,6821.0
"Mar 20, 2017",0.01475,0.015052,0.014742,0.015052,0.0,5983.0
"Mar 22, 2017",0.014621,0.014755,0.013256,0.013712,18.0,5935.0
"Mar 23, 2017",0.013724,0.015838,0.012979,0.015548,0.0,5572.0
"Mar 24, 2017",0.015546,0.019949,0.012634,0.01875,46.0,6313.0
"Mar 25, 2017",0.018731,0.02337,0.011807,0.023298,56.0,7608.0
"Mar 26, 2017",0.023328,0.023328,0.012391,0.0125,8.0,9479.0
"Mar 27, 2017",0.012569,0.028127,0.012568,0.02811,207.0,5108.0
"Mar 28, 2017",0.028078,0.028078,0.025344,0.025823,10.0,11416.0
"Mar 29, 2017",0.025796,0.02602,0.015999,0.016182,14.0,10491.0
"Mar 30, 2017",0.016217,0.025428,0.01619,0.017449,1.0,6597.0
"Mar 31, 2017",0.017453,0.018284,0.017453,0.018231,40.0,7102.0
"Apr 01, 2017",0.01823,0.031385,0.018211,0.030524,41.0,7420.0
"Apr 02, 2017",0.030527,0.03062,0.01472,0.014979,0.0,12429.0
"Apr 03, 2017",0.014989,0.032098,0.014989,0.03086,22.0,6104.0
"Apr 04, 2017",0.030906,0.034635,0.015306,0.01548,37.0,12589.0
