datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",2.9e-05,3e-05,2.9e-05,3e-05,0.0,0.0
"Jan 02, 2017",3e-05,3.1e-05,3e-05,3.1e-05,0.0,0.0
"Jan 09, 2017",3.6e-05,3.6e-05,3.6e-05,3.6e-05,1.0,0.0
"Jan 10, 2017",3.6e-05,3.7e-05,3.6e-05,3.6e-05,1.0,0.0
"Jan 19, 2017",3.6e-05,3.6e-05,3.6e-05,3.6e-05,1.0,0.0
"Jan 20, 2017",3.6e-05,4.5e-05,3.6e-05,4.5e-05,0.0,0.0
"Jan 21, 2017",4.5e-05,4.6e-05,3.7e-05,3.7e-05,0.0,0.0
"Jan 22, 2017",3.7e-05,3.8e-05,3.7e-05,3.7e-05,0.0,0.0
"Jan 23, 2017",2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.0,0.0
"Jan 24, 2017",2.8e-05,3.6e-05,2.7e-05,3.6e-05,1.0,0.0
"Jan 25, 2017",3.6e-05,3.6e-05,3.6e-05,3.6e-05,1.0,0.0
"Jan 26, 2017",2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,0.0
"Jan 27, 2017",2.8e-05,2.8e-05,2.7e-05,2.8e-05,0.0,0.0
"Jan 28, 2017",2.8e-05,3.7e-05,2.8e-05,3.7e-05,0.0,0.0
"Jan 29, 2017",3.7e-05,3.7e-05,3.7e-05,3.7e-05,0.0,0.0
"Feb 02, 2017",3e-05,3e-05,3e-05,3e-05,0.0,0.0
"Feb 03, 2017",3e-05,3.1e-05,3e-05,3.1e-05,0.0,0.0
"Feb 04, 2017",3.1e-05,3.1e-05,3e-05,3.1e-05,0.0,0.0
"Feb 06, 2017",3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,0.0
"Feb 07, 2017",3.1e-05,4.2e-05,3.1e-05,4.2e-05,0.0,0.0
"Feb 08, 2017",4.2e-05,4.3e-05,4.1e-05,4.3e-05,0.0,0.0
"Feb 09, 2017",4.3e-05,4.3e-05,2.9e-05,3e-05,0.0,0.0
"Feb 10, 2017",3e-05,3e-05,2.8e-05,2.9e-05,0.0,0.0
"Feb 18, 2017",5.3e-05,5.3e-05,5.3e-05,5.3e-05,0.0,0.0
"Feb 19, 2017",5.3e-05,5.3e-05,5.2e-05,5.2e-05,0.0,0.0
"Feb 22, 2017",5.6e-05,5.6e-05,5.6e-05,5.6e-05,0.0,0.0
"Feb 23, 2017",5.6e-05,5.7e-05,5.6e-05,5.7e-05,0.0,0.0
