datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-5-25,0.00478,0.005245,0.004266,0.004381,21.0,0.0
2017-5-26,0.004349,0.00456,0.004349,0.004474,21.0,0.0
2017-5-27,0.006878,0.006901,0.006459,0.00661,399.0,0.0
2017-5-28,0.00665,0.00743,0.002252,0.00707,2.0,0.0
2017-5-29,0.007056,0.007317,0.006861,0.007305,2.0,0.0
2017-6-01,0.003611,0.006599,0.003602,0.006476,12.0,0.0
2017-6-02,0.006479,0.007864,0.004943,0.005076,129.0,0.0
2017-6-03,0.005074,0.009474,0.004983,0.009401,97.0,0.0
2017-6-04,0.009376,0.00944,0.004059,0.006291,133.0,0.0
2017-6-05,0.006292,0.006744,0.006292,0.006744,645.0,0.0
2017-6-06,0.006764,0.016755,0.006764,0.008712,536.0,0.0
2017-6-07,0.008715,0.00914,0.008436,0.008835,107.0,0.0
2017-6-08,0.008879,0.009259,0.008643,0.009259,17.0,0.0
2017-6-09,0.009244,0.009423,0.009206,0.009288,8.0,0.0
2017-6-10,0.009302,0.0162,0.009291,0.0162,124.0,0.0
2017-6-11,0.016191,0.016662,0.009973,0.010067,80.0,0.0
2017-6-12,0.010054,0.010084,0.008509,0.009302,93.0,0.0
2017-6-13,0.009271,0.009692,0.009261,0.00951,51.0,0.0
2017-6-14,0.009505,0.00971,0.002961,0.003096,4755.0,0.0
2017-6-15,0.003096,0.003155,0.002947,0.002955,54.0,0.0
2017-6-20,0.003397,0.003422,0.003397,0.003422,382.0,0.0
2017-6-21,0.003422,0.003422,0.003422,0.003422,335.0,0.0
2017-6-22,0.003247,0.003247,0.003247,0.003247,20.0,0.0
2017-6-23,0.003247,0.003529,0.003247,0.0035,22.0,0.0
2017-6-24,0.006073,0.006089,0.00565,0.00576,118.0,0.0
2017-6-25,0.005747,0.005799,0.005634,0.005768,118.0,0.0
2017-6-29,0.004142,0.004146,0.003791,0.003791,10.0,0.0
2017-6-30,0.003798,0.004151,0.003518,0.004022,12.0,0.0
2017-7-01,0.004021,0.004091,0.003127,0.003154,79.0,0.0
2017-7-02,0.003153,0.003187,0.003019,0.003173,45.0,0.0
2017-7-03,0.003162,0.003172,0.003139,0.003139,44.0,0.0
2017-7-08,0.002009,0.00204,0.001998,0.002038,3.0,0.0
2017-7-09,0.002039,0.002047,0.00202,0.002031,3.0,0.0
2017-7-10,0.004817,0.014188,0.004807,0.014072,2608.0,0.0
2017-7-11,0.01451,0.015527,0.010372,0.01393,327.0,0.0
2017-7-12,0.01386,0.01563,0.009437,0.01011,429.0,0.0
2017-7-13,0.010118,0.015803,0.010086,0.011714,117.0,0.0
2017-7-14,0.011705,0.013348,0.001079,0.013312,76.0,0.0
2017-7-15,0.013289,0.014384,0.006611,0.006611,741.0,0.0
2017-7-16,0.006591,0.012078,0.006543,0.009722,3047.0,0.0
2017-7-17,0.009711,0.017551,0.009711,0.012305,933.0,0.0
2017-7-18,0.012337,0.014171,0.011946,0.013679,152.0,0.0
2017-7-19,0.013701,0.014068,0.011589,0.011763,145.0,0.0
2017-7-20,0.011727,0.012527,0.009947,0.012144,48.0,0.0
2017-7-21,0.012234,0.021906,0.011309,0.011525,2526.0,0.0
2017-7-22,0.011523,0.016877,0.011467,0.012567,215.0,0.0
2017-7-23,0.012567,0.027633,0.012166,0.027537,2060.0,0.0
2017-7-24,0.027505,0.027969,0.027106,0.02752,988.0,0.0
2017-7-25,0.014631,0.014695,0.013871,0.014485,28.0,0.0
2017-7-26,0.014491,0.014749,0.013426,0.013898,13.0,0.0
2017-7-27,0.013937,0.014732,0.013883,0.014591,608.0,0.0
2017-7-28,0.014636,0.016912,0.014636,0.015384,198.0,0.0
2017-7-29,0.015325,0.015367,0.008382,0.008508,2952.0,0.0
2017-7-30,0.008506,0.013644,0.006374,0.011964,1681.0,0.0
2017-7-31,0.011976,0.013167,0.009754,0.011844,1187.0,0.0
2017-8-01,0.01185,0.019506,0.011003,0.012448,530.0,0.0
