datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",8e-06,9e-06,5e-06,6e-06,118.0,211134.0
"Jan 02, 2017",6e-06,7e-06,6e-06,7e-06,206.0,162976.0
"Jan 03, 2017",7e-06,8e-06,7e-06,7e-06,177.0,183151.0
"Jan 04, 2017",7e-06,8e-06,5e-06,6e-06,372.0,189379.0
"Jan 05, 2017",6e-06,6e-06,4e-06,5e-06,247.0,143509.0
"Jan 06, 2017",4e-06,6e-06,4e-06,5e-06,256.0,115256.0
"Jan 07, 2017",5e-06,5e-06,4e-06,5e-06,272.0,119843.0
"Jan 08, 2017",5e-06,5e-06,4e-06,5e-06,221.0,125598.0
"Jan 09, 2017",5e-06,5e-06,4e-06,4e-06,189.0,124480.0
"Jan 10, 2017",5e-06,5e-06,4e-06,5e-06,258.0,118447.0
"Jan 11, 2017",5e-06,5e-06,2e-06,2e-06,271.0,126294.0
"Jan 12, 2017",2e-06,2e-06,2e-06,2e-06,209.0,51575.0
"Jan 13, 2017",2e-06,2e-06,2e-06,2e-06,151.0,51260.0
"Jan 14, 2017",2e-06,2e-06,2e-06,2e-06,264.0,50681.0
"Jan 15, 2017",2e-06,3e-06,2e-06,2e-06,246.0,52695.0
"Jan 16, 2017",2e-06,3e-06,2e-06,2e-06,200.0,60840.0
"Jan 17, 2017",2e-06,3e-06,2e-06,3e-06,228.0,60551.0
"Jan 18, 2017",3e-06,3e-06,2e-06,3e-06,212.0,72760.0
"Jan 19, 2017",3e-06,3e-06,2e-06,2e-06,203.0,64286.0
"Jan 20, 2017",2e-06,2e-06,2e-06,2e-06,621.0,63202.0
"Jan 21, 2017",2e-06,2e-06,73000000.0,2e-06,899.0,57685.0
"Jan 22, 2017",2e-06,2e-06,1e-06,2e-06,208.0,51830.0
"Jan 23, 2017",2e-06,2e-06,2e-06,2e-06,212.0,61907.0
"Jan 24, 2017",2e-06,3e-06,2e-06,3e-06,201.0,60889.0
"Jan 25, 2017",3e-06,5e-06,2e-06,5e-06,336.0,65670.0
"Jan 26, 2017",5e-06,5e-06,3e-06,3e-06,187.0,125659.0
"Jan 27, 2017",3e-06,3e-06,3e-06,3e-06,199.0,74800.0
"Jan 28, 2017",3e-06,4e-06,3e-06,3e-06,341.0,78650.0
"Jan 29, 2017",3e-06,3e-06,2e-06,2e-06,172.0,81724.0
"Jan 30, 2017",2e-06,2e-06,2e-06,2e-06,149.0,61462.0
"Jan 31, 2017",2e-06,3e-06,2e-06,2e-06,171.0,62878.0
"Feb 01, 2017",2e-06,2e-06,2e-06,2e-06,164.0,60810.0
"Feb 02, 2017",2e-06,2e-06,2e-06,2e-06,167.0,59505.0
"Feb 03, 2017",2e-06,3e-06,2e-06,3e-06,95.0,61974.0
"Feb 04, 2017",3e-06,3e-06,2e-06,2e-06,140.0,68203.0
"Feb 05, 2017",2e-06,3e-06,2e-06,3e-06,254.0,62188.0
"Feb 06, 2017",3e-06,4e-06,2e-06,2e-06,153.0,64675.0
"Feb 07, 2017",2e-06,3e-06,2e-06,3e-06,82.0,62631.0
"Feb 08, 2017",3e-06,4e-06,2e-06,4e-06,85.0,65396.0
"Feb 09, 2017",4e-06,4e-06,2e-06,3e-06,133.0,101132.0
"Feb 10, 2017",3e-06,3e-06,2e-06,2e-06,131.0,68189.0
