datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.032952,0.036307,0.030736,0.031209,6908.0,21601300.0
"Jul 25, 2017",0.031206,0.035632,0.027227,0.029839,5203.0,20458500.0
"Jul 26, 2017",0.029853,0.030385,0.026779,0.02777,8283.0,19437700.0
"Jul 27, 2017",0.027849,0.030722,0.027741,0.03043,26676.0,18132800.0
"Jul 28, 2017",0.030522,0.032385,0.028784,0.031787,31798.0,19873500.0
"Jul 29, 2017",0.031668,0.031754,0.027283,0.028567,22629.0,20619700.0
"Jul 30, 2017",0.028563,0.028619,0.026131,0.027788,10441.0,18598300.0
"Jul 31, 2017",0.027817,0.029582,0.027089,0.029582,15.0,18112400.0
"Aug 01, 2017",0.029596,0.030166,0.027379,0.027653,891.0,19263500.0
"Aug 02, 2017",0.027648,0.028393,0.026574,0.026992,2742.0,17995500.0
"Aug 03, 2017",0.02704,0.027236,0.010949,0.025078,15887.0,17599600.0
"Aug 04, 2017",0.025072,0.02637,0.019134,0.025646,6369.0,16318800.0
"Aug 05, 2017",0.025634,0.028625,0.023581,0.026685,5581.0,16684700.0
"Aug 06, 2017",0.026692,0.027001,0.025255,0.025408,1009.0,17373100.0
"Aug 07, 2017",0.025351,0.025599,0.022405,0.023414,6621.0,16536400.0
"Aug 08, 2017",0.023438,0.025069,0.022444,0.024529,9208.0,15280700.0
"Aug 09, 2017",0.024512,0.024613,0.02281,0.023231,3188.0,15981300.0
"Aug 10, 2017",0.023234,0.023316,0.022336,0.022549,4293.0,15147700.0
"Aug 11, 2017",0.022548,0.023771,0.0179,0.023453,4001.0,14700500.0
"Aug 12, 2017",0.023435,0.028084,0.022431,0.027463,6748.0,15279100.0
"Aug 13, 2017",0.027437,0.028793,0.01828,0.023463,28972.0,17888400.0
"Aug 14, 2017",0.023478,0.024113,0.018281,0.019851,6928.0,15307100.0
"Aug 15, 2017",0.019904,0.026223,0.01878,0.026223,2036.0,12977100.0
"Aug 16, 2017",0.026252,0.026528,0.020382,0.021569,5822.0,17115200.0
"Aug 17, 2017",0.021549,0.024698,0.019426,0.021465,16227.0,14049400.0
"Aug 18, 2017",0.021399,0.02591,0.018981,0.020971,61495.0,13951600.0
"Aug 19, 2017",0.020953,0.028618,0.02095,0.026696,33045.0,13661000.0
"Aug 20, 2017",0.026572,0.027553,0.023253,0.023253,3592.0,17323800.0
"Aug 21, 2017",0.023165,0.025768,0.022741,0.025655,1777.0,15102700.0
"Aug 22, 2017",0.025714,0.029386,0.02377,0.028985,2623.0,16765000.0
