datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-8-14,0.081579,0.258037,0.07263,0.119063,19467.0,0.0
2017-8-15,0.119383,0.207458,0.070176,0.207458,7410.0,49737.0
2017-8-16,0.223553,0.225907,0.102864,0.123045,12876.0,95091.0
2017-8-17,0.122931,0.130724,0.085877,0.097879,5448.0,53465.0
2017-8-18,0.09758,0.124797,0.088325,0.111025,3820.0,43405.0
2017-8-19,0.11093,0.186163,0.107156,0.166459,11702.0,50508.0
2017-8-20,0.16659,0.727548,0.143032,0.537094,69097.0,76900.0
2017-8-21,0.533516,0.624101,0.21483,0.339453,22912.0,247852.0
2017-8-22,0.340239,0.439881,0.212548,0.25672,4926.0,158777.0
2017-8-23,0.256196,0.287251,0.216058,0.223582,4286.0,121722.0
2017-8-24,0.223678,0.373331,0.211688,0.22786,10074.0,106843.0
2017-8-25,0.227618,0.304735,0.182431,0.229095,4985.0,108975.0
2017-8-26,0.229535,0.283304,0.226262,0.254254,5150.0,109939.0
