datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Apr 01, 2017",0.037572,0.06483,0.037562,0.06483,295.0,1185.0
"Apr 02, 2017",0.064837,0.264576,0.053972,0.253488,1554.0,2071.0
"Apr 03, 2017",0.253667,0.267428,0.074186,0.074405,566.0,8704.0
"Apr 04, 2017",0.074516,0.212116,0.074482,0.169636,162.0,2724.0
"Apr 05, 2017",0.169769,0.169912,0.090161,0.168155,310.0,6608.0
"Apr 06, 2017",0.168309,0.215972,0.103975,0.211581,479.0,6915.0
"Apr 07, 2017",0.210912,0.210912,0.111525,0.129459,177.0,9145.0
"Apr 08, 2017",0.111531,0.152281,0.110573,0.112974,109.0,5088.0
"Apr 09, 2017",0.113033,0.120734,0.112589,0.113596,316.0,5413.0
"Apr 10, 2017",0.113541,0.118788,0.106867,0.107257,135.0,5702.0
"Apr 11, 2017",0.107287,0.11489,0.095379,0.096521,167.0,5633.0
"Apr 12, 2017",0.096505,0.113247,0.071321,0.072226,184.0,5289.0
"Apr 13, 2017",0.072265,0.099938,0.070126,0.070449,90.0,4132.0
"Apr 14, 2017",0.070512,0.105117,0.070136,0.105103,378.0,4194.0
"Apr 15, 2017",0.105079,0.329526,0.077235,0.304855,3153.0,6503.0
"Apr 16, 2017",0.304879,0.30589,0.122026,0.150233,334.0,19602.0
"Apr 17, 2017",0.150273,0.190988,0.129855,0.19093,312.0,10002.0
"Apr 18, 2017",0.190908,0.194312,0.134344,0.163397,478.0,13129.0
"Apr 19, 2017",0.16346,0.193043,0.144774,0.157393,621.0,11623.0
"Apr 20, 2017",0.157495,0.316078,0.157148,0.202608,1294.0,11562.0
"Apr 21, 2017",0.202664,0.293021,0.188951,0.244782,730.0,15341.0
"Apr 22, 2017",0.244893,0.289786,0.197324,0.284074,1083.0,19110.0
"Apr 23, 2017",0.28413,0.284194,0.221584,0.223266,568.0,22806.0
"Apr 24, 2017",0.223721,0.312633,0.158886,0.300023,1384.0,18466.0
"Apr 25, 2017",0.300095,0.300095,0.194562,0.276952,1497.0,25272.0
"Apr 26, 2017",0.277096,0.386521,0.227827,0.24553,1909.0,24116.0
"Apr 27, 2017",0.245682,0.392128,0.245682,0.294171,497.0,21945.0
"Apr 28, 2017",0.329929,0.331324,0.232665,0.237019,580.0,30222.0
"Apr 29, 2017",0.237264,0.298594,0.17776,0.182714,1095.0,22277.0
"Apr 30, 2017",0.182729,0.223931,0.171001,0.204484,336.0,17569.0
"May 01, 2017",0.204545,0.219623,0.114335,0.121174,383.0,20135.0
"May 02, 2017",0.121135,0.168668,0.120715,0.126299,286.0,12199.0
"May 03, 2017",0.126381,0.174468,0.126381,0.164541,274.0,13002.0
"May 04, 2017",0.164647,0.164902,0.126357,0.130702,401.0,17301.0
"May 05, 2017",0.130974,0.160212,0.093431,0.122336,440.0,14050.0
"May 06, 2017",0.122443,0.140404,0.094979,0.110504,87.0,13413.0
"May 07, 2017",0.110551,0.129341,0.095484,0.115027,577.0,12355.0
"May 08, 2017",0.115042,0.163718,0.112522,0.163718,336.0,13106.0
"May 09, 2017",0.16377,0.237052,0.129693,0.164071,537.0,19034.0
"May 10, 2017",0.164179,0.224621,0.133598,0.140644,839.0,19460.0
"May 11, 2017",0.140896,0.223942,0.139043,0.140935,192.0,17023.0
"May 12, 2017",0.141074,0.180707,0.128657,0.131167,191.0,17366.0
"May 13, 2017",0.130896,0.147364,0.124719,0.136742,595.0,16406.0
"May 14, 2017",0.13718,0.160854,0.135623,0.137997,360.0,17493.0
"May 15, 2017",0.138079,0.138777,0.118874,0.121277,310.0,17920.0
"May 16, 2017",0.121097,0.139375,0.077706,0.07835,237.0,15989.0
"May 17, 2017",0.078329,0.125469,0.077963,0.089819,103.0,10519.0
"May 18, 2017",0.089771,0.148575,0.089771,0.093381,240.0,12250.0
"May 19, 2017",0.093435,0.135698,0.093435,0.100922,134.0,12951.0
"May 20, 2017",0.100818,0.130934,0.095556,0.100208,429.0,14210.0
"May 21, 2017",0.100153,0.102107,0.092793,0.094627,284.0,14343.0
"May 22, 2017",0.094909,0.133117,0.091235,0.126025,1325.0,13799.0
"May 23, 2017",0.125841,0.133161,0.091896,0.098763,277.0,18559.0
"May 24, 2017",0.098882,4.73,0.098882,4.36,906.0,14798.0
"May 25, 2017",4.15,5.76,0.10714,0.119223,631.0,630209.0
"May 26, 2017",0.118397,0.183137,0.102093,0.10493,255.0,18235.0
"May 27, 2017",0.105279,0.108095,0.063002,0.065307,80.0,16458.0
"May 28, 2017",0.065694,0.343725,0.065694,0.069186,84.0,10405.0
"May 29, 2017",0.069051,0.115586,0.067513,0.11194,173.0,11045.0
"May 30, 2017",0.112194,0.112194,0.068222,0.069165,70.0,18159.0
"May 31, 2017",0.069437,0.08836,0.068603,0.080005,239.0,11343.0
"Jun 01, 2017",0.080076,0.106148,0.069702,0.072253,296.0,13256.0
"Jun 02, 2017",0.072286,0.086514,0.065336,0.067477,145.0,12133.0
"Jun 03, 2017",0.067448,0.074457,0.060475,0.072947,66.0,11469.0
"Jun 04, 2017",0.07275,0.109,0.071339,0.077993,165.0,12530.0
"Jun 05, 2017",0.078007,0.15574,0.077069,0.133715,527.0,13606.0
