datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-1-03,1e-05,1e-05,1e-05,1e-05,4.0,0.0
2017-1-04,1e-05,1.2e-05,1e-05,1.2e-05,2.0,0.0
2017-1-05,1.2e-05,1.2e-05,9e-06,1e-05,0.0,0.0
2017-1-06,1e-05,1e-05,9e-06,9e-06,1.0,0.0
2017-1-07,9e-06,9e-06,8e-06,9e-06,3.0,0.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,2.0,0.0
2017-1-09,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-10,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-11,9e-06,9e-06,8e-06,8e-06,0.0,0.0
2017-1-12,8e-06,8e-06,8e-06,8e-06,0.0,0.0
2017-1-13,8e-06,8e-06,8e-06,8e-06,0.0,0.0
2017-1-14,8e-06,8e-06,8e-06,8e-06,1.0,0.0
2017-1-15,8e-06,8e-06,8e-06,8e-06,2.0,0.0
2017-1-16,8e-06,8e-06,8e-06,8e-06,11.0,0.0
2017-1-17,8e-06,9e-06,8e-06,9e-06,3.0,0.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-19,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-20,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-21,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-22,9e-06,9e-06,9e-06,9e-06,3.0,0.0
2017-1-23,9e-06,9e-06,9e-06,9e-06,3.0,0.0
2017-1-24,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-25,9e-06,9e-06,9e-06,9e-06,6.0,0.0
2017-1-26,9e-06,9e-06,9e-06,9e-06,6.0,0.0
2017-1-27,9e-06,9e-06,9e-06,9e-06,3.0,0.0
2017-1-28,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-29,9e-06,9e-06,9e-06,9e-06,3.0,0.0
2017-1-30,9e-06,9e-06,9e-06,9e-06,2.0,0.0
2017-1-31,9e-06,1e-05,9e-06,1e-05,2.0,0.0
2017-2-01,1e-05,1e-05,1e-05,1e-05,3.0,0.0
2017-2-02,1e-05,1e-05,1e-05,1e-05,15.0,0.0
2017-2-03,1e-05,1e-05,1e-05,1e-05,6.0,0.0
2017-2-04,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-2-05,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-2-06,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-2-07,1e-05,1.1e-05,1e-05,1.1e-05,6.0,0.0
2017-2-08,1.1e-05,1.1e-05,1e-05,1.1e-05,1.0,0.0
2017-2-09,1.1e-05,1.1e-05,1e-05,1e-05,0.0,0.0
2017-2-10,1e-05,1e-05,9e-06,1e-05,1.0,0.0
2017-2-11,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-2-12,1e-05,1e-05,1e-05,1e-05,2.0,0.0
2017-2-13,1e-05,1e-05,1e-05,1e-05,1.0,0.0
2017-2-14,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-2-15,1e-05,1e-05,1e-05,1e-05,1.0,0.0
2017-2-16,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-2-17,1e-05,1.1e-05,1e-05,1e-05,1.0,0.0
2017-2-18,1e-05,1.1e-05,1e-05,1.1e-05,0.0,0.0
2017-2-19,1.1e-05,1.1e-05,1e-05,1e-05,2.0,0.0
2017-2-20,1e-05,1.1e-05,1e-05,1.1e-05,1.0,0.0
2017-2-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
2017-2-22,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,0.0
2017-2-23,1.1e-05,1.2e-05,1.1e-05,1.2e-05,0.0,0.0
2017-2-24,1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,0.0
2017-2-25,1.2e-05,1.2e-05,1.1e-05,1.1e-05,4.0,0.0
2017-2-26,1.1e-05,1.2e-05,1.1e-05,1.2e-05,0.0,0.0
2017-2-27,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,0.0
2017-2-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-3-01,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,0.0
2017-3-02,1.2e-05,1.3e-05,1.2e-05,1.3e-05,0.0,0.0
2017-3-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,3.0,0.0
2017-3-04,1.3e-05,1.3e-05,1.2e-05,1.3e-05,1.0,0.0
2017-3-05,1.3e-05,1.3e-05,1.2e-05,1.3e-05,13.0,0.0
2017-3-06,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.0,0.0
2017-3-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,4.0,0.0
2017-3-08,1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,0.0
2017-3-09,1.2e-05,1.2e-05,1.1e-05,1.2e-05,0.0,0.0
2017-3-10,1.2e-05,1.3e-05,1.1e-05,1.1e-05,0.0,0.0
2017-3-11,1.1e-05,1.2e-05,1.1e-05,1.2e-05,0.0,0.0
2017-3-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-3-13,1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,0.0
2017-3-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-3-18,1.1e-05,1.1e-05,1e-05,1e-05,1.0,0.0
2017-3-19,1e-05,1e-05,1e-05,1e-05,1.0,0.0
2017-3-20,1.1e-05,1.1e-05,1e-05,1.1e-05,0.0,0.0
2017-3-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
2017-3-22,1.1e-05,1.1e-05,1e-05,1e-05,1.0,0.0
2017-3-23,1.1e-05,1.1e-05,1e-05,1e-05,0.0,0.0
2017-3-24,1e-05,1e-05,9e-06,9e-06,0.0,0.0
2017-3-25,9e-06,1e-05,9e-06,1e-05,0.0,0.0
2017-3-26,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-3-27,1e-05,1e-05,1e-05,1e-05,0.0,0.0
2017-3-28,1e-05,1.1e-05,1e-05,1e-05,1.0,0.0
2017-3-29,1e-05,1.1e-05,1e-05,1e-05,14.0,0.0
2017-3-30,1e-05,1e-05,1e-05,1e-05,1.0,0.0
2017-3-31,1e-05,1.1e-05,1e-05,1.1e-05,0.0,0.0
2017-4-01,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,0.0
2017-4-02,1.1e-05,1.1e-05,1.1e-05,1.1e-05,2.0,0.0
2017-4-03,1.1e-05,1.2e-05,1.1e-05,1.1e-05,0.0,0.0
2017-4-04,1.1e-05,1.2e-05,1.1e-05,1.1e-05,0.0,0.0
2017-4-07,1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,0.0
2017-4-08,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-09,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-10,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-11,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,0.0
2017-4-13,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-14,1.2e-05,1.2e-05,1.2e-05,1.2e-05,25.0,0.0
2017-4-15,1.2e-05,1.2e-05,1.2e-05,1.2e-05,3.0,0.0
2017-4-16,1.2e-05,1.2e-05,1.2e-05,1.2e-05,4.0,0.0
2017-4-17,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,0.0
2017-4-18,1.2e-05,1.2e-05,1.2e-05,1.2e-05,9.0,0.0
2017-4-19,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,0.0
2017-4-20,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-22,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,0.0
2017-4-23,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,0.0
2017-4-24,1.2e-05,1.3e-05,1.2e-05,1.3e-05,6.0,0.0
2017-4-25,1.3e-05,1.3e-05,1.2e-05,1.3e-05,0.0,0.0
2017-4-26,1.3e-05,1.3e-05,1.3e-05,1.3e-05,39.0,0.0
2017-4-27,1.3e-05,1.3e-05,1.3e-05,1.3e-05,11.0,0.0
2017-4-28,1.3e-05,1.3e-05,1.3e-05,1.3e-05,10.0,0.0
2017-4-29,1.3e-05,1.3e-05,1.3e-05,1.3e-05,9.0,0.0
2017-4-30,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,0.0
2017-5-01,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.0,0.0
2017-5-02,1.4e-05,1.5e-05,1.4e-05,1.5e-05,0.0,0.0
2017-5-03,1.5e-05,1.5e-05,1.4e-05,1.5e-05,1.0,0.0
2017-5-04,1.5e-05,1.6e-05,1.5e-05,1.5e-05,0.0,0.0
2017-5-05,1.5e-05,1.6e-05,1.5e-05,1.6e-05,16.0,0.0
2017-5-06,1.6e-05,1.6e-05,1.5e-05,1.6e-05,3.0,0.0
2017-5-07,1.6e-05,1.6e-05,1.6e-05,1.6e-05,2.0,0.0
2017-5-08,1.6e-05,1.7e-05,1.6e-05,1.7e-05,0.0,0.0
2017-5-09,1.7e-05,1.8e-05,1.7e-05,1.8e-05,1.0,0.0
2017-5-10,1.8e-05,1.8e-05,1.7e-05,1.8e-05,2.0,0.0
2017-5-11,1.8e-05,1.9e-05,1.7e-05,1.8e-05,1.0,0.0
2017-5-12,1.8e-05,1.8e-05,1.7e-05,1.7e-05,2.0,0.0
2017-5-13,1.7e-05,1.8e-05,1.6e-05,1.8e-05,0.0,0.0
2017-5-14,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,0.0
2017-5-15,1.7e-05,1.7e-05,1.7e-05,1.7e-05,0.0,0.0
2017-5-16,1.7e-05,1.7e-05,1.7e-05,1.7e-05,0.0,0.0
2017-5-17,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.0,0.0
2017-5-18,1.8e-05,1.9e-05,1.8e-05,1.9e-05,1.0,0.0
2017-5-19,1.9e-05,2e-05,1.9e-05,2e-05,0.0,0.0
2017-5-20,2e-05,2e-05,2e-05,2e-05,2.0,0.0
2017-5-21,2e-05,2.1e-05,2e-05,2e-05,0.0,0.0
2017-5-22,2e-05,2.2e-05,2e-05,2.1e-05,526.0,0.0
2017-5-23,2.1e-05,2.3e-05,2.1e-05,2.3e-05,1.0,0.0
2017-5-24,2.3e-05,2.5e-05,2.3e-05,2.4e-05,1.0,0.0
2017-5-25,2.4e-05,2.8e-05,2.2e-05,2.3e-05,3.0,0.0
2017-5-26,2.3e-05,2.6e-05,2.1e-05,2.2e-05,7.0,0.0
2017-5-27,2.2e-05,2.3e-05,1.9e-05,2e-05,2.0,0.0
2017-5-28,2e-05,2.3e-05,2e-05,2.2e-05,2.0,0.0
2017-5-29,2.2e-05,2.3e-05,2.1e-05,2.3e-05,0.0,0.0
2017-5-30,2.3e-05,2.3e-05,2.2e-05,2.2e-05,30.0,0.0
2017-5-31,2.2e-05,2.3e-05,2.2e-05,2.3e-05,24.0,0.0
2017-6-01,2.3e-05,2.4e-05,2.3e-05,2.4e-05,14.0,0.0
2017-6-02,2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.0,0.0
2017-6-03,2.5e-05,2.6e-05,2.4e-05,2.5e-05,4.0,0.0
2017-6-04,2.5e-05,2.6e-05,2.5e-05,2.5e-05,1.0,0.0
2017-6-05,2.5e-05,2.7e-05,2.5e-05,2.7e-05,1.0,0.0
2017-6-06,2.7e-05,2.9e-05,2.7e-05,2.9e-05,1.0,0.0
2017-6-07,2.9e-05,2.9e-05,2.6e-05,2.7e-05,47.0,0.0
2017-6-08,2.7e-05,2.8e-05,2.6e-05,2.8e-05,788.0,0.0
2017-6-09,2.8e-05,5.7e-05,2.8e-05,2.8e-05,95333.0,0.0
