datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000492,0.000685,0.000401,0.000684,20.0,7567.0
"Jan 02, 2017",0.000684,0.00075,0.000682,0.000749,47.0,10549.0
"Jan 03, 2017",0.000749,0.00077,0.000634,0.000639,8.0,11558.0
"Jan 04, 2017",0.000639,0.000643,0.000566,0.000584,9.0,9863.0
"Jan 05, 2017",0.000585,0.000627,0.000443,0.000542,34.0,9040.0
"Jan 06, 2017",0.000544,0.000562,0.000427,0.000451,1.0,8417.0
"Jan 07, 2017",0.000452,0.000456,0.000384,0.000432,5.0,6999.0
"Jan 08, 2017",0.000431,0.000447,0.000361,0.000383,1.0,6687.0
"Jan 09, 2017",0.000384,0.00044,0.000366,0.00044,4.0,5962.0
"Jan 10, 2017",0.000437,0.000478,0.000354,0.000477,39.0,6799.0
"Jan 11, 2017",0.000477,0.000485,0.000343,0.000376,3.0,7417.0
"Jan 12, 2017",0.000376,0.000409,0.000366,0.000381,5.0,5851.0
"Jan 13, 2017",0.000381,0.000422,0.000357,0.000399,3.0,5938.0
"Jan 14, 2017",0.000399,0.000437,0.000394,0.000397,8.0,6235.0
"Jan 15, 2017",0.000397,0.000451,0.000393,0.000451,17.0,6199.0
"Jan 16, 2017",0.000451,0.000483,0.000437,0.000445,12.0,7057.0
"Jan 17, 2017",0.000445,0.000527,0.000445,0.000526,6.0,6968.0
"Jan 18, 2017",0.000527,0.000532,0.000498,0.000505,9.0,8254.0
"Jan 19, 2017",0.000507,0.000528,0.000462,0.000518,14.0,7952.0
"Jan 20, 2017",0.000518,0.000529,0.00047,0.000511,8.0,8136.0
"Jan 21, 2017",0.000511,0.000542,0.000486,0.000512,2.0,8041.0
"Jan 22, 2017",0.000512,0.000553,0.000483,0.00049,2.0,8059.0
"Jan 23, 2017",0.00049,0.000562,0.000486,0.000561,8.0,7722.0
"Jan 24, 2017",0.000554,0.000678,0.000485,0.000669,19.0,8736.0
"Jan 25, 2017",0.000669,0.000772,0.000497,0.000498,83.0,10563.0
"Jan 26, 2017",0.000498,0.00061,0.000498,0.000527,128.0,7877.0
"Jan 27, 2017",0.000527,0.000677,0.000515,0.000638,26.0,8336.0
"Jan 28, 2017",0.000638,0.000667,0.000544,0.000544,5.0,10113.0
"Jan 29, 2017",0.000544,0.000701,0.000474,0.0007,62.0,8622.0
"Jan 30, 2017",0.0007,0.000702,0.000545,0.000609,15.0,11111.0
"Jan 31, 2017",0.000609,0.000686,0.000597,0.000621,8.0,9677.0
"Feb 01, 2017",0.000621,0.001327,0.000621,0.000658,45.0,9871.0
"Feb 02, 2017",0.000658,0.000755,0.000658,0.000686,14.0,10475.0
"Feb 03, 2017",0.000685,0.000741,0.000588,0.000608,144.0,10923.0
"Feb 04, 2017",0.000609,0.000896,0.0006,0.000698,10.0,9710.0
"Feb 05, 2017",0.000698,0.000705,0.000619,0.000648,19.0,11154.0
"Feb 06, 2017",0.000649,0.000652,0.000493,0.000504,106.0,10369.0
"Feb 07, 2017",0.000505,0.000733,0.000505,0.000732,85.0,8077.0
"Feb 08, 2017",0.000733,0.000778,0.000507,0.000511,49.0,11742.0
"Feb 09, 2017",0.000512,0.000741,0.000508,0.000732,41.0,8211.0
"Feb 10, 2017",0.000732,0.000735,0.000549,0.000702,76.0,11758.0
"Feb 11, 2017",0.000702,0.000763,0.000527,0.000742,156.0,11283.0
