datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-4-27,0.035403,0.058622,0.035403,0.048835,6732.0,4800.0
2017-4-28,0.048835,0.141721,0.043662,0.067141,19675.0,6621.0
2017-4-29,0.06721,0.09109,0.05148,0.066076,18221.0,9873.0
2017-4-30,0.06608,0.073195,0.037628,0.0673,30525.0,10148.0
2017-5-01,0.067321,0.068522,0.019305,0.045065,3606.0,10805.0
2017-5-02,0.045047,0.048751,0.037203,0.044049,495.0,7544.0
2017-5-03,0.044079,0.072796,0.044079,0.071524,553.0,7686.0
2017-5-04,0.071555,0.071555,0.045477,0.048052,357.0,12964.0
2017-5-05,0.048152,0.069205,0.036051,0.049401,162.0,8907.0
2017-5-06,0.049444,0.094126,0.029218,0.049306,699.0,9146.0
2017-5-07,0.049327,0.071549,0.048791,0.071549,87.0,9124.0
2017-5-08,0.071558,0.074063,0.033094,0.040171,99.0,14651.0
2017-5-09,0.040184,0.072868,0.034117,0.035125,69.0,8502.0
2017-5-10,0.035148,0.042757,0.034834,0.042369,19.0,7673.0
2017-5-11,0.042445,0.044816,0.036058,0.036543,37.0,9561.0
2017-5-12,0.03658,0.043014,0.033543,0.040947,123.0,8477.0
2017-5-13,0.040863,0.040927,0.03219,0.039019,15.0,9735.0
2017-5-14,0.039143,0.039824,0.026386,0.026848,70.0,9562.0
2017-5-15,0.026863,0.038585,0.025881,0.028576,31.0,6746.0
2017-5-16,0.028533,0.028553,0.025325,0.026175,32.0,7356.0
2017-5-17,0.026168,0.027605,0.025892,0.02725,62.0,6827.0
2017-5-18,0.027236,0.028375,0.027165,0.028325,0.0,7106.0
2017-5-19,0.028341,0.029396,0.028341,0.028965,0.0,7395.0
2017-5-21,0.031348,0.031386,0.020154,0.020327,30.0,8180.0
2017-5-22,0.020395,0.038925,0.020006,0.037485,59.0,5322.0
2017-5-23,0.03743,0.040269,0.022221,0.022612,14.0,9767.0
2017-5-24,0.02264,0.041024,0.02264,0.029275,9.0,5908.0
2017-5-25,0.02922,0.047869,0.029219,0.039984,81.0,7625.0
2017-5-26,0.03969,0.04599,0.036936,0.044593,1.0,10357.0
2017-5-27,0.044741,0.045179,0.032687,0.035269,6.0,11675.0
2017-5-28,0.03548,0.039641,0.03548,0.037722,1.0,9258.0
2017-5-29,0.037645,0.054419,0.036605,0.053286,46.0,9824.0
2017-5-30,0.053348,0.069213,0.052071,0.065425,1.0,13921.0
2017-5-31,0.065682,0.066809,0.046644,0.047075,1.0,17141.0
2017-6-01,0.047071,0.071208,0.047071,0.049411,15.0,12284.0
2017-6-02,0.049433,0.072564,0.020544,0.031123,304.0,12903.0
2017-6-03,0.031109,0.032187,0.030557,0.031949,0.0,8121.0
2017-6-04,0.022817,0.042359,0.022287,0.04225,33.0,5960.0
2017-6-05,0.042257,0.044997,0.042257,0.044511,21.0,11042.0
2017-6-06,0.045586,0.058439,0.045489,0.057261,10.0,11921.0
2017-6-07,0.057276,0.057421,0.045004,0.045004,1.0,14984.0
2017-6-08,0.04523,0.047136,0.044025,0.047136,6.0,11843.0
2017-6-09,0.047062,0.127497,0.046955,0.12507,131.0,12322.0
2017-6-10,0.125258,0.129877,0.078977,0.128765,112.0,32796.0
2017-6-11,0.12869,0.132286,0.082399,0.083425,5.0,33695.0
2017-6-12,0.083314,0.127171,0.070511,0.074233,3.0,21814.0
2017-6-13,0.073985,0.096169,0.0739,0.094807,0.0,19371.0
2017-6-14,0.094752,0.097483,0.082219,0.085987,2.0,24809.0
2017-6-15,0.085983,0.087627,0.036959,0.084521,286.0,22513.0
2017-6-16,0.084458,0.087405,0.042491,0.08738,4.0,22114.0
2017-6-17,0.08738,0.08738,0.08738,0.08738,1.0,22879.0
2017-6-18,0.08723,0.08723,0.08723,0.08723,8.0,22840.0
2017-6-19,0.08723,0.08723,0.042516,0.042516,14.0,22840.0
2017-6-20,0.042516,0.054257,0.042341,0.054257,172.0,11132.0
2017-6-21,0.054257,0.054257,0.054257,0.054257,0.0,14206.0
2017-6-22,0.053582,0.053582,0.042441,0.042441,11.0,14030.0
2017-6-23,0.042441,0.046037,0.042366,0.04305,175.0,11112.0
2017-6-24,0.043046,0.064371,0.043046,0.062458,169.0,11271.0
2017-6-25,0.062314,0.070223,0.043578,0.06518,89.0,16316.0
2017-6-26,0.065146,0.068082,0.063394,0.06547,5.0,17057.0
2017-6-27,0.067016,0.069626,0.049951,0.069626,3.0,17547.0
2017-6-28,0.07008,0.070156,0.0215,0.021717,201.0,18349.0
2017-6-29,0.021697,0.043139,0.021347,0.042354,35.0,5681.0
2017-6-30,0.042438,0.086556,0.042438,0.082043,437.0,11112.0
2017-7-01,0.073553,0.081671,0.072729,0.0805,6.0,19259.0
2017-7-02,0.080491,0.083955,0.079308,0.083606,44.0,21075.0
2017-7-03,0.083298,0.083564,0.06313,0.063507,46.0,21810.0
2017-7-04,0.063363,0.065523,0.021954,0.025837,57.0,16590.0
2017-7-05,0.025823,0.039113,0.025167,0.038873,11.0,6761.0
2017-7-06,0.038893,0.046847,0.038457,0.046739,8.0,10183.0
2017-7-07,0.046773,0.04686,0.037389,0.044992,3.0,12247.0
2017-7-08,0.04503,0.05579,0.04453,0.05573,53.0,11790.0
2017-7-09,0.05578,0.086123,0.05578,0.084912,44.0,14605.0
2017-7-10,0.085077,0.085457,0.061605,0.063348,9.0,22276.0
2017-7-11,0.063213,0.069433,0.060692,0.068127,35.0,16551.0
2017-7-12,0.068026,0.074753,0.058524,0.059589,125.0,17811.0
2017-7-13,0.059633,0.083248,0.058126,0.058545,26.0,15614.0
2017-7-14,0.058502,0.066716,0.054545,0.066539,26.0,15318.0
2017-7-15,0.066425,0.066546,0.048843,0.048843,1.0,17392.0
2017-7-16,0.048696,0.069974,0.04508,0.066896,70.0,12750.0
2017-7-17,0.066822,0.077084,0.066822,0.076957,4.0,17496.0
2017-7-18,0.077156,0.081351,0.052908,0.079593,31.0,20202.0
2017-7-19,0.07972,0.082792,0.076376,0.077519,62.0,20873.0
2017-7-20,0.077286,0.080519,0.05794,0.069321,0.0,20236.0
2017-7-21,0.069835,0.070066,0.064239,0.065468,78.0,18285.0
2017-7-22,0.065455,0.074554,0.065142,0.073139,10.0,17138.0
2017-7-23,0.073139,0.073828,0.065286,0.071156,4.0,19150.0
2017-7-24,0.071074,0.071719,0.04988,0.060685,58.0,18609.0
2017-7-25,0.060679,0.061095,0.046005,0.046601,12.0,15888.0
2017-7-26,0.046622,0.047454,0.044134,0.046149,6.0,12207.0
2017-7-27,0.04628,0.058927,0.046101,0.058366,9.0,12118.0
2017-7-28,0.058543,0.060917,0.050575,0.051847,54.0,15328.0
2017-7-29,0.05165,0.059798,0.049782,0.059798,25.0,13524.0
2017-7-30,0.05979,0.059907,0.049376,0.051087,10.0,15655.0
2017-7-31,0.051139,0.051633,0.050432,0.051633,10.0,13390.0
2017-8-02,0.060338,0.060402,0.058383,0.0593,3.0,15798.0
2017-8-03,0.059407,0.060348,0.059369,0.059969,3.0,15554.0
2017-8-04,0.057865,0.062996,0.057539,0.0628,56.0,15151.0
2017-8-05,0.062772,0.103452,0.062726,0.102348,508.0,16436.0
2017-8-06,0.102373,0.103559,0.05895,0.10092,130.0,26804.0
