datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000154,0.00016,0.000153,0.00016,1.0,3455.0
"Jan 02, 2017",0.000203,0.000206,0.000195,0.000201,3.0,4541.0
"Jan 03, 2017",0.000201,0.000205,0.000195,0.000202,3.0,4495.0
"Jan 04, 2017",0.000202,0.00022,0.000202,0.000219,3.0,4517.0
"Jan 05, 2017",0.00022,0.000224,0.000173,0.000182,1.0,4920.0
"Jan 06, 2017",0.000183,0.000209,0.00017,0.000174,3.0,4091.0
"Jan 07, 2017",0.000175,0.000175,0.000157,0.000167,0.0,3911.0
"Jan 08, 2017",0.000187,0.000219,0.000186,0.000219,2.0,4189.0
"Jan 09, 2017",0.000219,0.000335,0.000166,0.000183,13.0,4911.0
"Jan 10, 2017",0.000183,0.000313,0.000183,0.000186,4.0,4109.0
"Jan 11, 2017",0.000187,0.000203,0.000156,0.000164,1.0,4180.0
"Jan 12, 2017",0.000163,0.001083,0.000152,0.000964,80.0,3656.0
"Jan 13, 2017",0.000963,0.000968,0.00028,0.000445,4.0,21579.0
"Jan 14, 2017",0.000445,0.000544,0.000315,0.000315,9.0,9976.0
"Jan 15, 2017",0.000315,0.000323,0.00031,0.000312,1.0,7058.0
"Jan 16, 2017",0.000312,0.000316,0.000248,0.000249,0.0,6997.0
"Jan 17, 2017",0.000249,0.0003,0.000244,0.0003,2.0,5589.0
"Jan 18, 2017",0.0003,0.000303,0.00027,0.000275,1.0,6724.0
"Jan 19, 2017",0.000275,0.000287,0.000258,0.000261,4.0,6170.0
"Jan 20, 2017",0.000261,0.000267,0.00025,0.000266,4.0,5842.0
"Jan 21, 2017",0.000266,0.000277,0.000249,0.000252,1.0,5959.0
"Jan 22, 2017",0.000252,0.000416,0.000252,0.000278,2.0,5644.0
"Jan 23, 2017",0.000278,0.000311,0.000274,0.000307,2.0,6236.0
"Jan 24, 2017",0.000307,0.000308,0.000277,0.000277,0.0,6884.0
"Jan 25, 2017",0.00025,0.000414,0.000244,0.000261,17.0,5608.0
"Jan 26, 2017",0.000261,0.000733,0.000261,0.000704,13.0,5858.0
"Jan 27, 2017",0.000704,0.000708,0.00034,0.000341,0.0,15770.0
"Jan 28, 2017",0.000368,0.000553,0.000231,0.000552,16.0,8250.0
"Jan 29, 2017",0.000552,0.000554,0.000231,0.000231,49.0,12358.0
"Jan 30, 2017",0.000231,0.00029,0.000221,0.000221,2.0,5171.0
"Jan 31, 2017",0.000221,0.000282,0.000221,0.000281,0.0,4949.0
"Feb 01, 2017",0.000281,0.000325,0.000243,0.000248,3.0,6305.0
"Feb 02, 2017",0.000248,0.001671,0.000246,0.000258,353.0,5548.0
"Feb 03, 2017",0.000258,0.0006,0.000256,0.000473,89.0,5786.0
"Feb 04, 2017",0.000473,0.000475,0.000338,0.000345,0.0,10599.0
"Feb 05, 2017",0.000334,0.000462,0.000328,0.000352,1.0,7482.0
"Feb 06, 2017",0.000351,0.000354,0.000257,0.000337,29.0,7875.0
"Feb 07, 2017",0.000338,0.001439,0.000254,0.001439,1303.0,7565.0
"Feb 08, 2017",0.001439,0.001566,0.000351,0.000478,8504.0,32247.0
"Feb 09, 2017",0.000478,0.000837,0.000249,0.000309,120.0,10711.0
"Feb 10, 2017",0.00031,0.000577,0.000239,0.000279,93.0,6943.0
"Feb 11, 2017",0.000278,0.000485,0.000262,0.000319,69.0,6238.0
"Feb 12, 2017",0.000319,0.000683,0.000318,0.000379,181.0,7151.0
"Feb 13, 2017",0.000379,0.000538,0.000374,0.000376,10.0,8497.0
"Feb 14, 2017",0.000376,0.000376,0.000356,0.000363,3.0,8414.0
"Feb 15, 2017",0.000363,0.000364,0.000301,0.000312,11.0,8124.0
"Feb 16, 2017",0.000312,0.00034,0.000312,0.000319,3.0,6998.0
"Feb 17, 2017",0.000319,0.00034,0.000181,0.000318,66.0,7136.0
"Feb 18, 2017",0.000319,0.000333,0.000275,0.000332,6.0,7148.0
"Feb 19, 2017",0.000332,0.000332,0.000259,0.000303,4.0,7446.0
"Feb 20, 2017",0.000303,0.000328,0.000202,0.00028,14.0,6790.0
"Feb 21, 2017",0.00028,0.000296,0.000275,0.000296,8.0,6274.0
"Feb 22, 2017",0.000296,0.000299,0.000228,0.000278,7.0,6622.0
"Feb 23, 2017",0.000278,0.000291,0.000206,0.000273,8.0,6223.0
"Feb 24, 2017",0.000271,0.000279,0.000248,0.00025,7.0,6076.0
"Feb 25, 2017",0.00025,0.000281,0.00022,0.000235,3.0,5597.0
"Feb 26, 2017",0.000235,0.000244,0.000154,0.000244,12.0,5274.0
"Feb 27, 2017",0.000244,0.000293,0.000239,0.000239,11.0,5458.0
"Feb 28, 2017",0.000239,0.000272,0.000235,0.00027,2.0,5355.0
"Mar 01, 2017",0.000271,0.000292,0.000235,0.000292,2.0,6062.0
"Mar 02, 2017",0.000292,0.000485,0.000278,0.000279,379.0,6547.0
"Mar 03, 2017",0.000279,0.000405,0.000278,0.000331,32.0,6241.0
"Mar 04, 2017",0.000331,0.000333,0.00032,0.000326,2.0,7426.0
"Mar 05, 2017",0.000326,0.000352,0.000292,0.000294,50.0,7312.0
"Mar 06, 2017",0.000294,0.000299,0.000292,0.000293,2.0,6590.0
"Mar 07, 2017",0.000293,0.000293,0.000229,0.000246,4.0,6559.0
"Mar 08, 2017",0.000246,0.000297,0.000235,0.000253,10.0,5515.0
"Mar 09, 2017",0.000253,0.000286,0.000251,0.000261,20.0,5662.0
"Mar 10, 2017",0.000262,0.000267,0.000215,0.000223,2.0,5862.0
"Mar 11, 2017",0.000223,0.000239,0.000223,0.000235,6.0,4992.0
"Mar 12, 2017",0.000235,0.000318,0.000235,0.000256,10.0,5269.0
"Mar 13, 2017",0.000256,0.000322,0.000243,0.000246,2.0,5747.0
"Mar 14, 2017",0.000246,0.000258,0.000245,0.000248,3.0,5520.0
"Mar 15, 2017",0.000248,0.00025,0.000237,0.000244,4.0,5557.0
"Mar 16, 2017",0.000244,0.000246,0.000222,0.000229,3.0,5472.0
"Mar 17, 2017",0.000227,0.00024,0.000204,0.000218,7.0,5096.0
"Mar 18, 2017",0.000218,0.000243,0.000192,0.000195,4.0,4880.0
"Mar 19, 2017",0.000195,0.000213,0.000195,0.000202,4.0,4364.0
