datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-2-21,2.1e-07,2.1e-07,2.1e-07,2.1e-07,12.0,910.0
2017-2-22,2.1e-07,4.5999999999999994e-07,1.6e-07,3.4e-07,99.0,908.0
2017-2-23,3.4e-07,7.599999999999999e-07,2.9e-07,3e-07,173.0,1482.0
2017-2-24,3e-07,5.699999999999999e-07,2.2999999999999997e-07,4.5e-07,73.0,1300.0
2017-2-25,4.5e-07,4.5999999999999994e-07,4.2e-07,4.4e-07,12.0,1963.0
2017-2-26,4.4e-07,4.5e-07,2e-07,3.7999999999999996e-07,119.0,1918.0
2017-2-27,3.4e-07,5.4e-07,3.4e-07,3.7999999999999996e-07,4.0,1513.0
2017-2-28,3.6e-07,3.7999999999999996e-07,3.4e-07,3.6e-07,7.0,1586.0
2017-3-01,3.6e-07,5.699999999999999e-07,3.4e-07,3.7e-07,2.0,1592.0
2017-3-02,3.7e-07,5.1e-07,3.2e-07,3.5e-07,6.0,1643.0
2017-3-03,3.5e-07,5.1e-07,3.2e-07,4.0999999999999994e-07,18.0,1532.0
2017-3-04,4.0999999999999994e-07,4.0999999999999994e-07,2.9e-07,3.1e-07,0.0,1784.0
2017-3-05,3.1e-07,3.2999999999999996e-07,3e-07,3.2e-07,0.0,1358.0
2017-3-06,3.2e-07,3.8999999999999997e-07,3.1e-07,3.7999999999999996e-07,21.0,1422.0
2017-3-07,3.7999999999999996e-07,3.8999999999999997e-07,2.2999999999999997e-07,2.5e-07,6.0,22218.0
2017-3-08,2.5e-07,3.2e-07,2.4e-07,2.7e-07,18.0,14709.0
2017-3-09,2.7e-07,2.7999999999999997e-07,1.6e-07,1.8999999999999998e-07,78.0,17514.0
2017-3-10,1.8999999999999998e-07,4.2e-07,1.8999999999999998e-07,3.4e-07,88.0,12391.0
2017-3-11,3.4e-07,3.8999999999999997e-07,2.4e-07,2.5e-07,49.0,22617.0
2017-3-12,2.5e-07,3.7e-07,2.5e-07,3.2e-07,21.0,16850.0
2017-3-13,3.2e-07,4.2e-07,3e-07,3.1e-07,14.0,21223.0
2017-3-14,3.1e-07,3.8999999999999997e-07,3e-07,3.2e-07,4.0,20774.0
2017-3-15,3.2e-07,3.5e-07,2.9e-07,2.9e-07,0.0,21885.0
2017-3-16,2.9e-07,3.4e-07,1.8e-07,1.8999999999999998e-07,22.0,21393.0
2017-3-17,1.8999999999999998e-07,3.5e-07,1.7e-07,2.7999999999999997e-07,16.0,13893.0
2017-3-18,2.7999999999999997e-07,3e-07,2e-07,2e-07,2.0,21279.0
2017-3-19,2e-07,2.5e-07,1.8e-07,2.2e-07,1.0,15597.0
2017-3-20,2.2e-07,3.4e-07,2e-07,2.1e-07,2.0,17092.0
2017-3-21,2e-07,3.6e-07,2e-07,2.7999999999999997e-07,5.0,15849.0
2017-3-22,2.7999999999999997e-07,4.2e-07,2.7e-07,4e-07,4.0,21668.0
2017-3-23,4e-07,4.0999999999999994e-07,3.1e-07,3.1e-07,2.0,31797.0
2017-3-24,3.1e-07,4.4e-07,2.5e-07,3.4e-07,8.0,24902.0
2017-3-25,3.4e-07,3.4e-07,3.1e-08,2.4e-07,186.0,28167.0
2017-3-26,2.4e-07,2.4e-07,6.6e-08,1.7e-07,4.0,20012.0
2017-3-27,1.7e-07,2e-07,1.1e-07,1.2e-07,25.0,14249.0
2017-3-28,1.2e-07,1.7e-07,1.1e-07,1.6e-07,9.0,10310.0
2017-3-29,1.7e-07,1.8e-07,7.8e-08,8e-08,10.0,14203.0
2017-3-30,8e-08,1.3e-07,7.9e-08,8.6e-08,12.0,6955.0
2017-3-31,8.6e-08,1.8e-07,8.500000000000001e-08,1.8e-07,5.0,7566.0
2017-4-01,1.8e-07,1.8e-07,8.7e-08,1.3999999999999998e-07,30.0,15908.0
2017-4-02,1.3999999999999998e-07,2e-07,1.3e-07,1.6e-07,5.0,12267.0
2017-4-03,1.6e-07,2.2999999999999997e-07,1.3999999999999998e-07,1.5e-07,5.0,14394.0
2017-4-04,1.5e-07,1.8e-07,8e-08,8.400000000000001e-08,14.0,13807.0
2017-4-05,8.400000000000001e-08,2.1e-07,8.1e-08,2.1e-07,2.0,7748.0
2017-4-06,2.1e-07,2.2e-07,9.8e-08,1e-07,32.0,19442.0
2017-4-07,1e-07,1.6e-07,9.8e-08,1.3e-07,12.0,10147.0
2017-4-08,1.5e-07,2.2999999999999997e-07,1.3e-07,1.8999999999999998e-07,1.0,15127.0
2017-4-09,1.8999999999999998e-07,3e-07,1.7e-07,1.8e-07,9.0,19425.0
2017-4-10,1.8e-07,1.8999999999999998e-07,1.7e-07,1.8e-07,40.0,18044.0
2017-4-11,1.8e-07,2.2999999999999997e-07,1.7e-07,2.2999999999999997e-07,0.0,18284.0
2017-4-12,2.2999999999999997e-07,2.4e-07,1.8e-07,1.8999999999999998e-07,0.0,23623.0
2017-4-13,1.8999999999999998e-07,2.6e-07,1.8999999999999998e-07,2.5e-07,13.0,19732.0
2017-4-14,2.5e-07,2.9e-07,2.1e-07,2.2e-07,7.0,26927.0
2017-4-15,2.2e-07,2.2e-07,2.1e-07,2.2e-07,9.0,22942.0
2017-4-16,2.2e-07,3e-07,2.1e-07,2.9e-07,3.0,23478.0
2017-4-17,2.9e-07,3.1e-07,1.5e-07,2.1e-07,32.0,31969.0
2017-4-18,2.2e-07,2.5e-07,1.6e-07,2.4e-07,19.0,23582.0
2017-4-19,2.4e-07,1e-06,9.8e-08,1.1e-07,55.0,26035.0
2017-4-20,1.1e-07,7.5e-07,7.200000000000001e-08,2e-07,384.0,12769.0
2017-4-21,2e-07,2.7e-07,1.1e-07,2.6e-07,85.0,22554.0
2017-4-22,2.6e-07,3.7999999999999996e-07,1.7e-07,3.5e-07,47.0,30099.0
2017-4-23,3.4e-07,2e-06,1.6e-07,1e-06,80.0,39431.0
2017-4-24,1e-06,1e-06,2.2999999999999997e-07,3.1e-07,94.0,145242.0
2017-4-25,3.1e-07,4.2999999999999996e-07,2e-07,3.8999999999999997e-07,118.0,36549.0
2017-4-26,4e-07,4.2e-07,1.7e-07,2.9e-07,324.0,48022.0
2017-4-27,2.9e-07,2.9e-07,9.8e-08,1.3e-07,58.0,34662.0
2017-4-28,1.3e-07,3.2999999999999996e-07,1.3e-07,3e-07,275.0,15919.0
2017-4-29,3e-07,3.2999999999999996e-07,2e-07,2.1e-07,100.0,36810.0
2017-4-30,2.1e-07,2.9e-07,1.8e-07,2.6e-07,96.0,25628.0
2017-5-01,2.6e-07,2.7999999999999997e-07,1.5e-07,2.5e-07,210.0,32574.0
2017-5-02,2.4e-07,1e-06,1.8999999999999998e-07,2.5e-07,124.0,30841.0
2017-5-03,2.5e-07,3.2999999999999996e-07,1.2e-07,2.1e-07,454.0,32162.0
2017-5-04,2.1e-07,2.6e-07,1.7e-07,2.2999999999999997e-07,163.0,27841.0
2017-5-05,2.2999999999999997e-07,3e-07,1.6e-07,2.6e-07,540.0,29815.0
2017-5-06,2.6e-07,9.9e-07,1.6e-07,3.2e-07,450.0,35186.0
2017-5-07,3.6e-07,4e-07,2.1e-07,2.9e-07,219.0,47988.0
2017-5-08,2.9e-07,3.8999999999999997e-07,2.4e-07,3e-07,27.0,38817.0
2017-5-09,3.1e-07,9e-06,2.2e-07,5e-07,291.0,41824.0
2017-5-10,4.9e-07,6.4e-07,3.2e-07,3.5e-07,1357.0,67096.0
2017-5-11,3.5e-07,3.6e-07,1.1e-07,1.1e-07,56.0,48936.0
2017-5-12,1.1e-07,2.2999999999999997e-07,9.300000000000001e-08,9.8e-08,19.0,15986.0
2017-5-13,9.7e-08,1.8e-07,8.7e-08,1.6e-07,10.0,13765.0
2017-5-14,1.6e-07,3e-07,2.6e-08,2.5e-07,171.0,23073.0
2017-5-15,2.5e-07,2.6e-07,8.6e-08,1e-07,20.0,36614.0
2017-5-16,1e-07,1.6e-07,8.400000000000001e-08,8.9e-08,14.0,15234.0
2017-5-17,8.800000000000001e-08,1.5e-07,8.500000000000001e-08,1.2e-07,9.0,12911.0
2017-5-18,1.2e-07,1.8e-07,1.1e-07,1.7e-07,65.0,17499.0
2017-5-19,1.7e-07,3.6e-07,9.7e-08,9.7e-08,88.0,26168.0
2017-5-20,7.599999999999999e-08,2.1e-07,7.5e-08,8.7e-08,31.0,11556.0
2017-5-21,8.7e-08,1.3999999999999998e-07,7.599999999999999e-08,9.7e-08,25.0,13297.0
2017-5-22,9.6e-08,2e-07,8.1e-08,1.1e-07,54.0,14850.0
2017-5-23,1.1e-07,2.1e-07,1.1e-07,2e-07,31.0,17900.0
2017-5-24,2e-07,2.2e-07,8.1e-08,1.3999999999999998e-07,91.0,32659.0
2017-5-25,1.3999999999999998e-07,7e-06,7.3e-08,3.1e-07,710.0,23099.0
2017-5-26,3.1e-07,3.7e-07,9.1e-08,1e-07,64.0,51014.0
2017-5-27,1e-07,1.1e-07,1.6e-08,3.2e-08,116.0,17009.0
