datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.004635,0.004636,0.003952,0.004117,1482.0,116525.0
"Jan 02, 2017",0.00412,0.005336,0.004054,0.004262,832.0,103575.0
"Jan 03, 2017",0.004332,0.004397,0.004046,0.004312,873.0,108943.0
"Jan 04, 2017",0.004311,0.004649,0.003707,0.003935,2040.0,108444.0
"Jan 05, 2017",0.003939,0.004283,0.003181,0.003318,1703.0,99107.0
"Jan 06, 2017",0.003327,0.003754,0.002994,0.003013,1003.0,83750.0
"Jan 07, 2017",0.003018,0.003355,0.002791,0.003035,168.0,75985.0
"Jan 08, 2017",0.003035,0.003561,0.002887,0.003085,868.0,76421.0
"Jan 09, 2017",0.003089,0.003097,0.002983,0.003035,314.0,77814.0
"Jan 10, 2017",0.003034,0.003068,0.002791,0.002804,269.0,76435.0
"Jan 11, 2017",0.002805,0.003006,0.002399,0.002399,612.0,70676.0
"Jan 12, 2017",0.002395,0.002769,0.002333,0.002682,374.0,60380.0
"Jan 13, 2017",0.00268,0.002785,0.002605,0.002765,462.0,67590.0
"Jan 14, 2017",0.002777,0.003144,0.002755,0.003087,664.0,70037.0
"Jan 15, 2017",0.003085,0.003678,0.003073,0.003369,304.0,77835.0
"Jan 16, 2017",0.003369,0.003411,0.002905,0.00291,659.0,85034.0
"Jan 17, 2017",0.00291,0.003429,0.002908,0.003239,503.0,73468.0
"Jan 18, 2017",0.003241,0.003275,0.002625,0.002914,1178.0,81832.0
"Jan 19, 2017",0.002926,0.003016,0.002661,0.002725,382.0,73888.0
"Jan 20, 2017",0.002724,0.002727,0.002109,0.002282,1116.0,68827.0
"Jan 21, 2017",0.002282,0.002633,0.002152,0.002397,71.0,57670.0
"Jan 22, 2017",0.002397,0.00241,0.002154,0.00218,651.0,60570.0
"Jan 23, 2017",0.002182,0.002308,0.002166,0.002258,477.0,55174.0
"Jan 24, 2017",0.002256,0.002593,0.002171,0.002186,441.0,57066.0
"Jan 25, 2017",0.002187,0.002443,0.002185,0.002443,550.0,55320.0
"Jan 26, 2017",0.002443,0.002704,0.002375,0.002633,451.0,61822.0
"Jan 27, 2017",0.002624,0.002748,0.002301,0.002437,798.0,66429.0
"Jan 28, 2017",0.002419,0.002644,0.002164,0.002433,357.0,61244.0
"Jan 29, 2017",0.002433,0.002741,0.002362,0.002391,365.0,61613.0
"Jan 30, 2017",0.002391,0.004425,0.002391,0.003232,658.0,60554.0
"Jan 31, 2017",0.003231,0.004144,0.003196,0.003824,509.0,81864.0
"Feb 01, 2017",0.003823,0.003971,0.003699,0.003887,601.0,96913.0
"Feb 02, 2017",0.003887,0.003998,0.003864,0.003976,58.0,98542.0
"Feb 03, 2017",0.003975,0.0045,0.003141,0.004254,1181.0,100796.0
"Feb 04, 2017",0.004084,0.004242,0.003364,0.00365,176.0,103582.0
"Feb 05, 2017",0.003652,0.004568,0.003247,0.003955,1002.0,92659.0
"Feb 06, 2017",0.003959,0.004413,0.003739,0.004381,321.0,100481.0
"Feb 07, 2017",0.004369,0.004531,0.004194,0.004277,780.0,110903.0
"Feb 08, 2017",0.004281,0.005124,0.004281,0.004561,709.0,108729.0
"Feb 09, 2017",0.004568,0.004672,0.003816,0.003968,818.0,116030.0
"Feb 10, 2017",0.003973,0.004251,0.003777,0.004004,274.0,100940.0
"Feb 11, 2017",0.004074,0.004893,0.003997,0.004209,536.0,103548.0
"Feb 12, 2017",0.004205,0.004222,0.003298,0.003387,964.0,106895.0
"Feb 13, 2017",0.003526,0.004425,0.003526,0.004022,712.0,89660.0
"Feb 14, 2017",0.004007,0.004447,0.003956,0.00431,293.0,101902.0
"Feb 15, 2017",0.004317,0.004903,0.004021,0.004675,829.0,109839.0
"Feb 16, 2017",0.004675,0.005711,0.004657,0.00563,1871.0,119001.0
"Feb 17, 2017",0.005623,0.006828,0.00473,0.005378,835.0,143172.0
"Feb 18, 2017",0.005393,0.005875,0.004812,0.005272,573.0,137342.0
"Feb 19, 2017",0.005274,0.005496,0.005217,0.005407,382.0,134339.0
"Feb 20, 2017",0.00539,0.005491,0.005297,0.005402,621.0,137352.0
"Feb 21, 2017",0.005396,0.00598,0.005353,0.0059,861.0,137549.0
"Feb 22, 2017",0.005897,0.005897,0.005178,0.005577,546.0,150357.0
"Feb 23, 2017",0.005575,0.006867,0.005452,0.006167,591.0,142185.0
"Feb 24, 2017",0.006157,0.00648,0.006126,0.006326,751.0,157048.0
"Feb 25, 2017",0.006309,0.006321,0.005499,0.005593,195.0,160960.0
"Feb 26, 2017",0.005593,0.006104,0.005528,0.005826,997.0,142754.0
"Feb 27, 2017",0.005819,0.006395,0.005747,0.006249,776.0,148568.0
"Feb 28, 2017",0.006258,0.007022,0.005775,0.006242,673.0,159818.0
"Mar 01, 2017",0.005794,0.006292,0.003574,0.005232,2007.0,148012.0
"Mar 02, 2017",0.005232,0.005244,0.004637,0.004731,875.0,133690.0
"Mar 03, 2017",0.004729,0.005106,0.004074,0.004948,703.0,120855.0
"Mar 04, 2017",0.004944,0.004964,0.00433,0.004857,626.0,126389.0
"Mar 05, 2017",0.004854,0.004859,0.004788,0.004853,708.0,124144.0
"Mar 06, 2017",0.004854,0.004964,0.004854,0.004951,622.0,124180.0
"Mar 07, 2017",0.004953,0.006232,0.004907,0.00574,2070.0,126730.0
"Mar 08, 2017",0.005737,0.00583,0.004677,0.004807,709.0,146831.0
"Mar 09, 2017",0.004808,0.005158,0.00477,0.00511,601.0,123108.0
"Mar 10, 2017",0.005111,0.005325,0.004324,0.004601,461.0,130877.0
"Mar 11, 2017",0.004599,0.005002,0.004591,0.004915,524.0,117815.0
"Mar 12, 2017",0.004915,0.005411,0.004876,0.00524,627.0,125932.0
"Mar 13, 2017",0.00524,0.006319,0.005053,0.006086,928.0,134307.0
"Mar 14, 2017",0.006086,0.006149,0.00603,0.006126,2.0,156024.0
"Mar 15, 2017",0.006126,0.006182,0.006124,0.006173,1.0,157088.0
"Mar 16, 2017",0.006182,0.006614,0.006039,0.006224,14.0,158506.0
"Mar 17, 2017",0.006184,0.006184,0.005729,0.005732,69.0,158645.0
"Mar 18, 2017",0.005732,0.005916,0.004824,0.00484,703.0,147099.0
"Mar 19, 2017",0.00484,0.006056,0.004629,0.005868,549.0,124261.0
"Mar 20, 2017",0.005902,0.007962,0.005877,0.007594,2888.0,151571.0
"Mar 21, 2017",0.007609,0.008297,0.007167,0.007895,902.0,195454.0
"Mar 22, 2017",0.007901,0.008171,0.004621,0.005581,696.0,202973.0
"Mar 23, 2017",0.005586,0.020307,0.005379,0.018456,19717.0,143542.0
"Mar 24, 2017",0.018715,0.022512,0.007219,0.007219,29078.0,481130.0
"Mar 25, 2017",0.007211,0.012147,0.007211,0.008471,2902.0,185447.0
"Mar 26, 2017",0.008464,0.010062,0.005908,0.00716,1982.0,217745.0
"Mar 27, 2017",0.007213,0.008936,0.005921,0.008303,2426.0,185592.0
"Mar 28, 2017",0.008294,0.009348,0.008217,0.009204,897.0,213480.0
"Mar 29, 2017",0.009195,0.009278,0.007503,0.00832,1259.0,236719.0
"Mar 30, 2017",0.00832,0.008614,0.008089,0.008509,34.0,214233.0
"Mar 31, 2017",0.008511,0.008511,0.006248,0.008014,1046.0,219227.0
"Apr 01, 2017",0.008017,0.010801,0.007858,0.010263,2217.0,206566.0
"Apr 02, 2017",0.010265,0.013905,0.009485,0.009699,4330.0,264569.0
"Apr 03, 2017",0.009706,0.010735,0.008089,0.008499,1300.0,250236.0
"Apr 04, 2017",0.008695,0.00918,0.007945,0.008666,1589.0,224227.0
"Apr 05, 2017",0.008676,0.010337,0.007972,0.008492,609.0,223802.0
"Apr 06, 2017",0.0085,0.009994,0.00555,0.008579,5763.0,219305.0
"Apr 07, 2017",0.008574,0.009608,0.005894,0.007116,5014.0,221320.0
"Apr 08, 2017",0.007059,0.008232,0.006708,0.008232,296.0,182252.0
"Apr 09, 2017",0.008236,0.008523,0.005651,0.007092,3893.0,212686.0
"Apr 10, 2017",0.007088,0.008594,0.005827,0.006941,6086.0,183095.0
"Apr 11, 2017",0.006945,0.007471,0.006491,0.007339,1036.0,179429.0
"Apr 12, 2017",0.007339,0.007923,0.006225,0.006929,986.0,189659.0
"Apr 13, 2017",0.006926,0.0089,0.006622,0.00823,2018.0,179074.0
"Apr 14, 2017",0.008232,0.009963,0.008192,0.008467,4502.0,212871.0
"Apr 15, 2017",0.008465,0.014247,0.008446,0.013155,5523.0,218952.0
"Apr 16, 2017",0.011738,0.014874,0.011738,0.012705,4384.0,303705.0
"Apr 17, 2017",0.012708,0.013921,0.008266,0.012321,11246.0,328896.0
"Apr 18, 2017",0.012321,0.013843,0.010878,0.013825,1899.0,318938.0
"Apr 19, 2017",0.01383,0.013854,0.012075,0.013362,2304.0,358128.0
"Apr 20, 2017",0.013362,0.014247,0.012284,0.01266,2051.0,346074.0
"Apr 21, 2017",0.01266,0.013387,0.009034,0.011079,4610.0,327942.0
"Apr 22, 2017",0.011084,0.011093,0.006627,0.009771,3959.0,287214.0
"Apr 23, 2017",0.009767,0.010047,0.008586,0.009947,637.0,253143.0
"Apr 24, 2017",0.009947,0.010241,0.00926,0.009553,776.0,257861.0
"Apr 25, 2017",0.009551,0.011391,0.008815,0.011248,3188.0,247678.0
"Apr 26, 2017",0.01125,0.012869,0.01125,0.012439,1772.0,291788.0
"Apr 27, 2017",0.012447,0.012828,0.011397,0.012123,314.0,322900.0
"Apr 28, 2017",0.012123,0.012809,0.009777,0.012612,2950.0,314560.0
"Apr 29, 2017",0.012612,0.012833,0.010408,0.010601,745.0,327294.0
"Apr 30, 2017",0.010601,0.011144,0.009551,0.011093,2449.0,275160.0
"May 01, 2017",0.011097,0.012534,0.009865,0.011636,2327.0,288107.0
"May 02, 2017",0.011624,0.011721,0.010306,0.010373,1440.0,301878.0
"May 03, 2017",0.010373,0.012237,0.009903,0.011489,1886.0,269494.0
"May 04, 2017",0.011494,0.012214,0.010304,0.011902,2472.0,298677.0
"May 05, 2017",0.011902,0.014521,0.011409,0.012789,3359.0,309352.0
"May 06, 2017",0.012786,0.013365,0.011197,0.01304,2241.0,332403.0
"May 07, 2017",0.013041,0.013353,0.01213,0.01279,185.0,339110.0
"May 08, 2017",0.01279,0.017213,0.012032,0.017213,7470.0,332639.0
"May 09, 2017",0.017216,0.025111,0.016011,0.017984,22564.0,447860.0
"May 10, 2017",0.017992,0.020869,0.017054,0.017176,2642.0,468215.0
"May 11, 2017",0.017207,0.02046,0.017003,0.018345,2064.0,447906.0
"May 12, 2017",0.018363,0.0252,0.017886,0.02433,8984.0,478133.0
"May 13, 2017",0.024857,0.029186,0.021778,0.024795,9714.0,647364.0
"May 14, 2017",0.024874,0.025669,0.019914,0.019957,3589.0,647954.0
"May 15, 2017",0.019969,0.022281,0.01974,0.021272,519.0,520280.0
"May 16, 2017",0.02124,0.021307,0.02008,0.021201,1118.0,553524.0
"May 17, 2017",0.021195,0.037818,0.018963,0.031438,24295.0,552595.0
"May 18, 2017",0.031856,0.047793,0.027439,0.03428,34111.0,830714.0
"May 19, 2017",0.0343,0.036927,0.023218,0.031728,10922.0,894651.0
"May 20, 2017",0.031693,0.035793,0.030113,0.035119,3060.0,826857.0
"May 21, 2017",0.034739,0.058528,0.032325,0.044739,19205.0,906550.0
"May 22, 2017",0.039077,0.072389,0.039009,0.047068,50153.0,1020110.0
"May 23, 2017",0.046999,0.050896,0.044188,0.047619,8336.0,1227170.0
"May 24, 2017",0.047677,0.056288,0.046834,0.052671,11262.0,1245150.0
"May 25, 2017",0.05262,0.054878,0.040031,0.04282,5360.0,1374570.0
"May 26, 2017",0.042506,0.050921,0.035355,0.038484,1404.0,1110640.0
"May 27, 2017",0.038612,0.045975,0.030217,0.038157,3177.0,1009050.0
"May 28, 2017",0.038385,0.04362,0.033023,0.037047,1471.0,1003130.0
"May 29, 2017",0.036972,0.044125,0.03593,0.043252,1325.0,966840.0
"May 30, 2017",0.043302,0.045073,0.036635,0.037065,2760.0,1132580.0
