datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.013534,0.014319,0.012384,0.012432,0.0,52527.0
"Jan 02, 2017",0.012439,0.0144,0.012435,0.014259,2.0,48278.0
"Jan 03, 2017",0.014255,0.014432,0.013161,0.0135,5.0,55327.0
"Jan 04, 2017",0.013497,0.015863,0.013497,0.015782,33.0,52385.0
"Jan 05, 2017",0.015798,0.017009,0.011581,0.015968,29.0,61316.0
"Jan 06, 2017",0.016011,0.016539,0.013184,0.013189,0.0,62142.0
"Jan 07, 2017",0.014375,0.01441,0.009885,0.01441,45.0,55791.0
"Jan 08, 2017",0.01441,0.014953,0.013688,0.013784,0.0,55929.0
"Jan 09, 2017",0.013803,0.014545,0.011747,0.013796,11.0,53573.0
"Jan 10, 2017",0.013789,0.013945,0.010829,0.012825,23.0,53515.0
"Jan 11, 2017",0.012826,0.012991,0.009868,0.010045,3.0,49779.0
"Jan 12, 2017",0.010024,0.011785,0.009699,0.009734,25.0,38906.0
"Jan 13, 2017",0.009728,0.011021,0.007888,0.007985,282.0,37756.0
"Jan 14, 2017",0.007996,0.010131,0.007934,0.009926,18.0,31035.0
"Jan 15, 2017",0.009922,0.011315,0.00812,0.011311,114.0,38507.0
"Jan 16, 2017",0.011311,0.011462,0.008151,0.009876,1.0,43900.0
"Jan 17, 2017",0.009879,0.020718,0.009775,0.012859,494.0,38340.0
"Jan 18, 2017",0.012867,0.019848,0.012274,0.013159,128.0,49938.0
"Jan 19, 2017",0.013213,0.025321,0.013108,0.014652,2205.0,51283.0
"Jan 20, 2017",0.014646,0.017853,0.014631,0.016321,33.0,56843.0
"Jan 21, 2017",0.016321,0.016347,0.013475,0.01371,28.0,63345.0
"Jan 22, 2017",0.013709,0.014234,0.013018,0.013414,226.0,53208.0
"Jan 23, 2017",0.013429,0.013539,0.013314,0.013493,29.0,52120.0
"Jan 24, 2017",0.013485,0.022297,0.013164,0.013836,285.0,52336.0
"Jan 25, 2017",0.013843,0.022621,0.013782,0.015013,607.0,53726.0
"Jan 26, 2017",0.015017,0.025243,0.013873,0.025236,944.0,58283.0
"Jan 27, 2017",0.018057,0.022108,0.018057,0.019421,20.0,70082.0
"Jan 28, 2017",0.019417,0.02309,0.013874,0.014053,313.0,75359.0
"Jan 29, 2017",0.014054,0.014069,0.010379,0.010417,0.0,54544.0
"Jan 30, 2017",0.010394,0.015152,0.010371,0.015133,3.0,40341.0
"Jan 31, 2017",0.015127,0.018108,0.014646,0.018081,31.0,58711.0
"Feb 01, 2017",0.018078,0.018147,0.016124,0.017132,7.0,70165.0
"Feb 02, 2017",0.01713,0.017719,0.012462,0.017689,1.0,66486.0
"Feb 03, 2017",0.017683,0.018609,0.017423,0.017711,202.0,68630.0
"Feb 04, 2017",0.017735,0.017781,0.015351,0.016689,1.0,68834.0
"Feb 05, 2017",0.016699,0.017128,0.015956,0.016948,21.0,64811.0
"Feb 06, 2017",0.016966,0.017228,0.016563,0.016621,1.0,65846.0
