datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.072355,0.075303,0.070218,0.072378,24800.0,7106110.0
2017-1-02,0.074165,0.075801,0.068502,0.074299,64074.0,7283960.0
2017-1-03,0.074296,0.076472,0.07072,0.075422,38564.0,7296950.0
2017-1-04,0.075405,0.084885,0.074238,0.08279,64675.0,7405970.0
2017-1-05,0.082555,0.086548,0.06688,0.072809,78967.0,8108280.0
2017-1-06,0.072944,0.076102,0.061764,0.063573,67421.0,7164490.0
2017-1-07,0.063932,0.064033,0.057462,0.06344,50383.0,6279410.0
2017-1-08,0.063441,0.065208,0.053345,0.059994,86560.0,6231240.0
2017-1-09,0.059551,0.059969,0.05328,0.054677,106851.0,5849220.0
2017-1-10,0.054647,0.058804,0.054299,0.05642,41411.0,5367670.0
2017-1-11,0.056425,0.058835,0.047551,0.048447,40830.0,5542380.0
2017-1-12,0.048437,0.051301,0.046537,0.049916,30535.0,4757810.0
2017-1-13,0.049823,0.052415,0.04792,0.050191,49029.0,4893950.0
2017-1-14,0.050261,0.051908,0.049187,0.04945,32396.0,4937040.0
2017-1-15,0.049431,0.051648,0.049244,0.051008,34667.0,4855600.0
2017-1-16,0.051045,0.060532,0.051031,0.060429,73450.0,5014180.0
2017-1-17,0.060448,0.062535,0.05774,0.058927,78962.0,5937980.0
2017-1-18,0.058965,0.060681,0.055384,0.059331,48399.0,5792340.0
2017-1-19,0.059815,0.077696,0.059104,0.072556,307059.0,5875980.0
2017-1-20,0.072514,0.073279,0.067651,0.067718,68864.0,7123570.0
2017-1-21,0.067719,0.076926,0.067719,0.073326,56137.0,6652520.0
2017-1-22,0.073346,0.077366,0.070477,0.076585,84029.0,7205440.0
2017-1-23,0.076673,0.094364,0.076673,0.087383,457257.0,7532420.0
2017-1-24,0.086112,0.087053,0.074899,0.075847,189394.0,8459760.0
2017-1-25,0.075874,0.081221,0.074892,0.081218,85150.0,7454070.0
2017-1-26,0.08117,0.091128,0.079183,0.085182,246990.0,7974480.0
2017-1-27,0.085806,0.114132,0.084951,0.105177,700301.0,8430090.0
2017-1-28,0.105297,0.125399,0.095795,0.098184,723195.0,10345100.0
2017-1-29,0.099559,0.108755,0.096696,0.105486,206905.0,9781460.0
2017-1-30,0.105612,0.10824,0.092744,0.095316,177443.0,10376300.0
2017-1-31,0.095331,0.102837,0.085576,0.090557,317006.0,9366320.0
2017-2-01,0.090561,0.10106,0.088551,0.090579,236785.0,8897770.0
2017-2-02,0.091754,0.097918,0.089708,0.09551,123522.0,9015170.0
2017-2-03,0.095478,0.096592,0.08799,0.095879,160805.0,9381150.0
2017-2-04,0.096011,0.097377,0.087365,0.088284,110928.0,9433640.0
2017-2-05,0.08935,0.09102,0.084208,0.087231,84386.0,8779260.0
2017-2-06,0.087317,0.096752,0.086319,0.095773,112679.0,8579590.0
2017-2-07,0.095959,0.102484,0.093552,0.096076,89575.0,9428940.0
2017-2-08,0.095849,0.098826,0.093827,0.095119,79781.0,9418180.0
2017-2-09,0.095246,0.097714,0.085348,0.0886,69367.0,9359060.0
2017-2-10,0.088712,0.089549,0.084462,0.085885,52630.0,8717130.0
2017-2-11,0.085904,0.089112,0.078969,0.082252,231455.0,8441350.0
2017-2-12,0.082676,0.082684,0.079895,0.081639,71479.0,8124220.0
2017-2-13,0.081615,0.082192,0.07696,0.076966,77826.0,8020140.0
2017-2-14,0.077011,0.078666,0.073148,0.077312,142798.0,7567750.0
2017-2-15,0.077357,0.08879,0.076366,0.087122,131445.0,7601910.0
2017-2-16,0.086028,0.08802,0.080301,0.082273,93627.0,8454090.0
2017-2-17,0.082282,0.087892,0.081255,0.082092,63601.0,8086080.0
2017-2-18,0.08191,0.083076,0.072867,0.075397,122520.0,8049640.0
2017-2-19,0.075533,0.080745,0.07414,0.078151,40602.0,7423040.0
2017-2-20,0.078213,0.082518,0.078129,0.078187,69816.0,7686470.0
2017-2-21,0.077732,0.081409,0.075002,0.079149,59798.0,7639330.0
2017-2-22,0.079113,0.083434,0.077122,0.077146,68715.0,7775160.0
2017-2-23,0.077133,0.081645,0.076524,0.077983,55835.0,7580700.0
2017-2-24,0.078483,0.079971,0.071332,0.075547,68828.0,7713450.0
2017-2-25,0.075336,0.08301,0.075069,0.081161,75347.0,7404260.0
2017-2-26,0.081604,0.086766,0.07696,0.081541,89013.0,8020400.0
2017-2-27,0.081441,0.0818,0.077976,0.078784,29629.0,8004480.0
2017-2-28,0.078321,0.080205,0.074682,0.077818,33822.0,7697870.0
2017-3-01,0.077824,0.089359,0.076961,0.085343,132673.0,7649170.0
2017-3-02,0.085495,0.102121,0.083405,0.098469,271066.0,8403250.0
2017-3-03,0.099143,0.108012,0.093349,0.099876,345930.0,9744840.0
2017-3-04,0.099793,0.102936,0.093707,0.095387,65177.0,9808840.0
2017-3-05,0.095322,0.099697,0.095069,0.097159,35312.0,9369480.0
2017-3-06,0.097186,0.098573,0.092981,0.093419,47575.0,9552870.0
2017-3-07,0.093447,0.094208,0.084701,0.086668,103288.0,9185420.0
2017-3-08,0.086338,0.08961,0.077563,0.077563,62746.0,8486820.0
2017-3-09,0.078446,0.082267,0.075406,0.080876,46051.0,7711140.0
2017-3-10,0.080935,0.083057,0.073336,0.078365,136005.0,7955930.0
2017-3-11,0.07886,0.088702,0.07886,0.082104,145609.0,7752020.0
2017-3-12,0.082076,0.097836,0.08135,0.092499,200131.0,8068250.0
2017-3-13,0.095199,0.109308,0.091849,0.102315,289622.0,9358400.0
2017-3-14,0.102961,0.105543,0.094243,0.100155,167912.0,10121600.0
2017-3-15,0.09981,0.102132,0.09354,0.095897,102472.0,9811920.0
2017-3-16,0.096028,0.096176,0.086168,0.091484,154328.0,9440240.0
2017-3-17,0.090895,0.107788,0.085303,0.098099,344795.0,8935720.0
2017-3-18,0.101376,0.119749,0.092855,0.09475,537637.0,9966270.0
2017-3-19,0.094221,0.113646,0.090427,0.1098,312382.0,9263000.0
2017-3-20,0.11168,0.130109,0.106935,0.125509,463863.0,10979500.0
2017-3-21,0.126506,0.152415,0.123074,0.137328,776284.0,12437300.0
2017-3-22,0.137352,0.140759,0.115191,0.135158,366482.0,13503800.0
2017-3-23,0.136738,0.138148,0.124152,0.13146,188451.0,13443600.0
2017-3-24,0.131431,0.132655,0.114056,0.114551,217068.0,12922000.0
2017-3-25,0.11469,0.135959,0.112906,0.131945,345479.0,11276200.0
2017-3-26,0.132338,0.19622,0.132333,0.187084,1729470.0,13011500.0
2017-3-27,0.188156,0.223377,0.168133,0.173743,1681390.0,18499800.0
2017-3-28,0.173483,0.191233,0.163761,0.179755,453196.0,17057300.0
2017-3-29,0.179581,0.215974,0.176996,0.203608,546849.0,17657100.0
2017-3-30,0.20144,0.214291,0.186298,0.198118,474000.0,19806700.0
2017-3-31,0.198267,0.207285,0.184126,0.198193,550593.0,19494900.0
2017-4-01,0.199113,0.263652,0.197635,0.24656,889150.0,19578400.0
2017-4-02,0.25257,0.30673,0.25257,0.276256,1886380.0,24835000.0
2017-4-03,0.275118,0.350436,0.264378,0.341476,1166730.0,27052500.0
