datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-5-30,3.6000000000000005e-08,9.300000000000001e-08,2.7000000000000004e-08,9.300000000000001e-08,544.0,0.0
2017-5-31,9.300000000000001e-08,3e-06,5.5e-08,2.2999999999999997e-07,251.0,0.0
2017-6-01,2.2999999999999997e-07,2.2999999999999997e-07,9.199999999999999e-08,1.1e-07,204.0,0.0
2017-6-02,1.1e-07,2.1e-07,1.1e-07,2.1e-07,204.0,0.0
2017-6-03,2.1e-07,2.4e-07,1.8999999999999998e-07,2.2e-07,44.0,0.0
2017-6-04,2.2e-07,2.2999999999999997e-07,1.1e-07,1.1e-07,52.0,0.0
2017-6-05,1.1e-07,9.9e-07,9.6e-08,4.5e-07,44.0,0.0
2017-6-06,4.5e-07,1e-06,1.6e-07,1.7e-07,352.0,0.0
2017-6-07,1.7e-07,3.1e-07,1.6e-07,2.9e-07,1009.0,0.0
2017-6-08,2.9e-07,1e-06,2.6e-07,9.8e-07,9659.0,0.0
2017-6-09,9.699999999999998e-07,5e-06,9.699999999999998e-07,3e-06,9906.0,0.0
2017-6-10,3e-06,3e-06,5.4e-07,6.2e-07,2948.0,0.0
2017-6-11,5.699999999999999e-07,6.1e-07,3.2e-07,3.2999999999999996e-07,5091.0,0.0
2017-6-12,3.2999999999999996e-07,7.1e-07,2.9e-07,6e-07,2707.0,0.0
2017-6-13,6e-07,7.2e-07,2.9e-07,3.2e-07,2793.0,0.0
2017-6-14,3.1e-07,4.7e-07,2.9e-07,3.2999999999999996e-07,2034.0,0.0
2017-6-15,3.2999999999999996e-07,1e-06,3.1e-07,9.4e-07,2253.0,0.0
2017-6-16,9.3e-07,2e-06,4.9e-07,1e-06,4564.0,0.0
2017-6-17,1e-06,2e-06,1e-06,1e-06,4085.0,0.0
2017-6-18,1e-06,2e-06,3.7e-07,2e-06,3058.0,0.0
2017-6-19,2e-06,3e-06,1e-06,1e-06,5593.0,0.0
2017-6-20,1e-06,2e-06,9.6e-07,1e-06,3055.0,0.0
2017-6-21,1e-06,2e-06,8.4e-07,1e-06,3155.0,0.0
2017-6-22,1e-06,2e-06,1e-06,1e-06,2501.0,0.0
2017-6-23,1e-06,5e-06,5.8e-07,4e-06,3085.0,0.0
2017-6-24,4e-06,8e-06,2e-06,3e-06,1975.0,0.0
2017-6-25,3e-06,3e-06,4.9e-07,4.9e-07,2454.0,0.0
2017-6-26,4.9e-07,8.4e-07,4.8e-07,8e-07,1870.0,0.0
2017-6-27,8e-07,2e-06,4.5e-07,1e-06,2543.0,0.0
2017-6-28,1e-06,2e-06,6.699999999999999e-07,8.199999999999999e-07,4383.0,0.0
2017-6-29,8.199999999999999e-07,8.3e-07,3.7e-07,5.5e-07,10913.0,0.0
2017-6-30,5.599999999999999e-07,6.1e-07,3.8999999999999997e-07,4.2e-07,3409.0,0.0
2017-7-01,4.2e-07,5.9e-07,3.7e-07,4.5999999999999994e-07,2198.0,0.0
2017-7-02,4.5999999999999994e-07,5.2e-07,3e-07,3e-07,3195.0,0.0
2017-7-03,3e-07,1e-06,2.9e-07,1e-06,6436.0,0.0
2017-7-04,1e-06,2e-06,9.3e-07,1e-06,3544.0,0.0
2017-7-05,1e-06,1e-06,8.199999999999999e-07,9.199999999999999e-07,3999.0,0.0
2017-7-06,9.4e-07,1e-06,5.2e-07,7.799999999999999e-07,9161.0,0.0
2017-7-07,7.699999999999999e-07,8.3e-07,5.2e-07,7.2e-07,2090.0,0.0
2017-7-08,7.2e-07,4e-06,5.4e-07,2e-06,4129.0,0.0
2017-7-09,2e-06,2e-06,3.7e-07,4.8e-07,6758.0,0.0
2017-7-10,4.8e-07,4.9e-07,3.1e-07,3.1e-07,1656.0,0.0
2017-7-11,3.1e-07,4e-07,3e-07,3.6e-07,2139.0,0.0
2017-7-12,3.6e-07,3.6e-07,2.7e-07,3.1e-07,980.0,0.0
2017-7-13,3.1e-07,4.2999999999999996e-07,3.1e-07,4.0999999999999994e-07,1450.0,0.0
2017-7-14,4.0999999999999994e-07,4.2e-07,2.6e-07,2.6e-07,1627.0,0.0
