datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.006361,0.00657,0.006298,0.006535,35.0,1002.0
2017-1-02,0.006539,0.006649,0.006528,0.006648,36.0,1030.0
2017-1-04,0.007394,0.008038,0.007369,0.007625,34.0,1165.0
2017-1-05,0.007633,0.007909,0.006373,0.007074,17.0,1203.0
2017-1-06,0.007094,0.007328,0.006188,0.006315,11.0,1118.0
2017-1-07,0.006324,0.00636,0.005765,0.00636,7.0,997.0
2017-1-08,0.00636,0.006599,0.005991,0.006033,28.0,1002.0
2017-1-09,0.006041,0.006058,0.005833,0.005989,0.0,952.0
2017-1-10,0.005986,0.006066,0.005974,0.006012,0.0,943.0
2017-1-11,0.006075,0.006081,0.005057,0.005164,0.0,958.0
2017-1-12,0.005157,0.005162,0.005011,0.005025,0.0,813.0
2017-1-15,0.005754,0.005755,0.005703,0.005753,58.0,907.0
2017-1-16,0.005753,0.006259,0.005742,0.006235,9.0,907.0
2017-1-17,0.006237,0.006421,0.004731,0.004782,15.0,983.0
2017-1-18,0.004785,0.004835,0.004523,0.0046,3.0,754.0
2017-1-19,0.005798,0.00588,0.005771,0.005846,6.0,914.0
2017-1-20,0.005844,0.005844,0.005775,0.005816,6.0,921.0
2017-1-21,0.005986,0.006004,0.005978,0.005992,1.0,944.0
2017-1-22,0.005992,0.006936,0.005834,0.006936,1.0,945.0
2017-1-23,0.006944,0.006971,0.006885,0.006927,1.0,1095.0
2017-1-24,0.004882,0.004888,0.004729,0.004729,0.0,770.0
2017-1-25,0.004731,0.004787,0.004726,0.004761,0.0,746.0
2017-1-26,0.005496,0.006893,0.005496,0.006891,44.0,867.0
2017-1-27,0.006891,0.006942,0.006878,0.006935,5.0,1087.0
2017-1-28,0.006935,0.00695,0.00557,0.005576,0.0,1094.0
2017-1-29,0.005576,0.005587,0.005524,0.005526,2.0,879.0
2017-1-30,0.005526,0.005545,0.005526,0.005545,2.0,872.0
2017-1-31,0.006956,0.009623,0.005934,0.009608,73.0,1097.0
2017-2-01,0.009607,0.014827,0.009601,0.014827,233.0,1516.0
2017-2-02,0.014826,0.014869,0.008288,0.008297,36.0,2339.0
2017-2-03,0.008294,0.011362,0.008272,0.00964,192.0,1309.0
2017-2-04,0.009653,0.00979,0.009502,0.009763,0.0,1523.0
2017-2-05,0.009709,0.010111,0.00825,0.00825,3.0,1532.0
2017-2-06,0.008258,0.013495,0.008256,0.010973,24.0,1303.0
2017-2-07,0.010994,0.011202,0.008804,0.00882,47.0,1735.0
2017-2-08,0.008828,0.012075,0.008622,0.011991,2.0,1393.0
2017-2-09,0.01201,0.012284,0.007661,0.011883,5.0,1895.0
2017-2-10,0.011898,0.011937,0.006965,0.007168,20.0,1878.0
2017-2-11,0.00717,0.007311,0.007126,0.007286,18.0,1132.0
