datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 24, 2017",0.305104,0.327479,0.283427,0.286822,521484.0,25096700.0
"Jul 25, 2017",0.290929,0.293355,0.221094,0.240638,803448.0,23930800.0
"Jul 26, 2017",0.241037,0.247422,0.220424,0.231274,259681.0,19826800.0
"Jul 27, 2017",0.231999,0.244043,0.227611,0.240552,141535.0,19083400.0
"Jul 28, 2017",0.239902,0.244195,0.198716,0.209248,543605.0,19733400.0
"Jul 29, 2017",0.197924,0.211761,0.184592,0.211761,247641.0,16280500.0
"Jul 30, 2017",0.211362,0.211362,0.195068,0.196328,175323.0,17385800.0
"Jul 31, 2017",0.196358,0.208754,0.193626,0.19772,251474.0,16151700.0
"Aug 01, 2017",0.198245,0.250743,0.19643,0.238908,437312.0,16306900.0
"Aug 02, 2017",0.238904,0.285992,0.232178,0.253499,633821.0,19651300.0
"Aug 03, 2017",0.253952,0.263159,0.234852,0.254604,279604.0,20889100.0
"Aug 04, 2017",0.254562,0.267104,0.242176,0.253959,347113.0,20939300.0
"Aug 05, 2017",0.253845,0.2785,0.243825,0.267127,381266.0,20880400.0
"Aug 06, 2017",0.267585,0.273321,0.243908,0.244934,329126.0,22010600.0
"Aug 07, 2017",0.245658,0.342728,0.242624,0.302892,1414720.0,20206900.0
"Aug 08, 2017",0.297235,0.333905,0.294923,0.302237,1234630.0,24449500.0
"Aug 09, 2017",0.303381,0.329803,0.288662,0.321786,727090.0,24955000.0
"Aug 10, 2017",0.320391,0.371293,0.310355,0.321993,1984640.0,26354200.0
"Aug 11, 2017",0.320034,0.322166,0.290349,0.301353,857810.0,26324800.0
"Aug 12, 2017",0.302767,0.318426,0.263128,0.286366,1208120.0,24904500.0
"Aug 13, 2017",0.285085,0.309859,0.234284,0.258905,1447610.0,23450100.0
"Aug 14, 2017",0.25878,0.282712,0.22432,0.249902,825444.0,21286300.0
"Aug 15, 2017",0.249736,0.249736,0.21455,0.228792,654395.0,20542400.0
"Aug 16, 2017",0.231495,0.243555,0.223011,0.230301,335618.0,19041900.0
"Aug 17, 2017",0.230452,0.233819,0.206743,0.207125,424935.0,18956100.0
"Aug 18, 2017",0.206288,0.208813,0.183293,0.188226,464568.0,16968500.0
"Aug 19, 2017",0.187831,0.217309,0.179152,0.211405,372446.0,15450300.0
"Aug 20, 2017",0.204316,0.266933,0.195019,0.22472,881497.0,16806200.0
"Aug 21, 2017",0.223709,0.233587,0.203163,0.205225,445728.0,18401500.0
"Aug 22, 2017",0.204861,0.211154,0.179875,0.207639,497642.0,16851100.0
