datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.009192,0.009414,0.00868,0.00894,19824.0,4796190.0
2017-1-02,0.008946,0.008946,0.008357,0.008747,25646.0,4667940.0
2017-1-03,0.008784,0.009232,0.008492,0.009037,24650.0,4583740.0
2017-1-04,0.009027,0.009744,0.00886,0.009152,69948.0,4710750.0
2017-1-05,0.009177,0.009633,0.007263,0.008217,40441.0,4789110.0
2017-1-06,0.00827,0.00877,0.007555,0.008072,55001.0,4316120.0
2017-1-07,0.008086,0.008169,0.007422,0.008136,12441.0,4219920.0
2017-1-08,0.008136,0.008622,0.008041,0.008516,23106.0,4246330.0
2017-1-09,0.008483,0.009726,0.008341,0.009214,127150.0,4427850.0
2017-1-10,0.009267,0.009505,0.008805,0.009111,21378.0,4836920.0
2017-1-11,0.009112,0.009219,0.007318,0.007824,24006.0,4756100.0
2017-1-12,0.007777,0.008569,0.007493,0.008185,11575.0,4059730.0
2017-1-13,0.00818,0.00854,0.007254,0.007659,36537.0,4270240.0
2017-1-14,0.007721,0.008388,0.007567,0.007829,23989.0,4030640.0
2017-1-15,0.007826,0.008579,0.007628,0.008285,24521.0,4085920.0
2017-1-16,0.0083,0.008962,0.008221,0.008452,47926.0,4333320.0
2017-1-17,0.00847,0.008811,0.008298,0.008712,38968.0,4422260.0
2017-1-18,0.008764,0.008911,0.008275,0.008505,17776.0,4575960.0
2017-1-19,0.008544,0.009051,0.008459,0.008727,13211.0,4461350.0
2017-1-20,0.008726,0.008901,0.008563,0.008747,6917.0,4556620.0
2017-1-21,0.008747,0.009313,0.008747,0.009045,9810.0,4567920.0
2017-1-22,0.009045,0.009682,0.00878,0.00935,14741.0,4723460.0
2017-1-23,0.009361,0.009616,0.008948,0.009479,13395.0,4888950.0
2017-1-24,0.009491,0.009561,0.008885,0.008953,19265.0,4957060.0
2017-1-25,0.008957,0.009325,0.008932,0.009051,15064.0,4678130.0
2017-1-26,0.009053,0.00909,0.00842,0.00877,30849.0,4728730.0
2017-1-27,0.00877,0.009433,0.008448,0.009166,41525.0,4581200.0
2017-1-28,0.009165,0.011024,0.008917,0.010458,85864.0,4787660.0
2017-1-29,0.010524,0.01063,0.009687,0.009787,62037.0,5497420.0
2017-1-30,0.009685,0.009928,0.009323,0.009635,42553.0,5059670.0
