datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",1.9e-05,2e-05,1.9e-05,2e-05,0.0,0.0
"Jan 02, 2017",2e-05,2e-05,1e-05,1e-05,2.0,0.0
"Jan 03, 2017",1e-05,2.1e-05,1e-05,2.1e-05,0.0,0.0
"Jan 04, 2017",2.1e-05,2.3e-05,1e-05,2.3e-05,3.0,0.0
"Jan 05, 2017",2.3e-05,2.4e-05,1.8e-05,1.9e-05,2.0,0.0
"Jan 08, 2017",1.9e-05,1.9e-05,1.8e-05,1.8e-05,0.0,0.0
"Jan 09, 2017",1.8e-05,1.8e-05,9e-06,1.8e-05,2.0,0.0
"Jan 10, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.0,0.0
"Jan 11, 2017",1.8e-05,1.8e-05,1.5e-05,1.6e-05,23.0,0.0
"Jan 12, 2017",1.6e-05,1.6e-05,8e-06,8e-06,0.0,0.0
"Jan 13, 2017",8e-06,1.6e-05,8e-06,8e-06,1.0,0.0
"Jan 14, 2017",8e-06,1.7e-05,8e-06,1.6e-05,0.0,0.0
"Jan 15, 2017",1.6e-05,1.6e-05,8e-06,8e-06,0.0,0.0
"Jan 16, 2017",8e-06,1.7e-05,8e-06,8e-06,1.0,0.0
"Jan 17, 2017",8e-06,1.8e-05,8e-06,1.8e-05,8.0,0.0
"Jan 18, 2017",1.8e-05,1.8e-05,1.7e-05,1.8e-05,8.0,0.0
"Jan 19, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.0,0.0
"Jan 20, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.0,0.0
"Jan 21, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,0.0
"Jan 22, 2017",1.8e-05,2.8e-05,1.8e-05,1.8e-05,312.0,0.0
"Jan 23, 2017",1.9e-05,2.8e-05,1.8e-05,1.8e-05,166.0,0.0
"Jan 24, 2017",1.8e-05,2.8e-05,1.8e-05,2.7e-05,1.0,0.0
"Jan 25, 2017",2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,0.0
"Jan 26, 2017",1.8e-05,2.8e-05,1.8e-05,2.8e-05,2.0,0.0
"Jan 27, 2017",2.8e-05,2.8e-05,1.8e-05,1.8e-05,7.0,0.0
"Jan 28, 2017",1.8e-05,2.8e-05,1.8e-05,2.8e-05,31.0,0.0
"Jan 29, 2017",2.8e-05,2.8e-05,2.8e-05,2.8e-05,34.0,0.0
"Jan 30, 2017",2.8e-05,2.8e-05,2.8e-05,2.8e-05,0.0,0.0
"Jan 31, 2017",2.8e-05,2.9e-05,2.8e-05,2.9e-05,1.0,0.0
"Feb 01, 2017",2.9e-05,3e-05,2e-05,3e-05,11.0,0.0
"Feb 02, 2017",3e-05,3e-05,2e-05,2e-05,11.0,0.0
"Feb 03, 2017",2e-05,3.1e-05,2e-05,3.1e-05,2.0,0.0
"Feb 04, 2017",3.1e-05,3.1e-05,3e-05,3.1e-05,0.0,0.0
"Feb 05, 2017",3.1e-05,3.1e-05,2e-05,2.1e-05,0.0,0.0
"Feb 06, 2017",2.1e-05,3.1e-05,2.1e-05,3.1e-05,0.0,0.0
"Feb 07, 2017",3.1e-05,3.2e-05,3.1e-05,3.2e-05,7.0,0.0
"Feb 08, 2017",3.2e-05,3.2e-05,2.1e-05,2.1e-05,9.0,0.0
"Feb 09, 2017",2.1e-05,2.2e-05,1.9e-05,2e-05,4.0,0.0
"Feb 10, 2017",2e-05,3e-05,1.9e-05,3e-05,2.0,0.0
"Feb 11, 2017",3e-05,3e-05,2e-05,2e-05,0.0,0.0
"Feb 12, 2017",2e-05,3e-05,2e-05,3e-05,0.0,0.0
"Feb 13, 2017",3e-05,3e-05,2.9e-05,3e-05,0.0,0.0
"Feb 14, 2017",2e-05,3e-05,2e-05,3e-05,3.0,0.0
"Feb 15, 2017",3e-05,3e-05,2e-05,2e-05,8.0,0.0
"Feb 16, 2017",2e-05,2.1e-05,2e-05,2.1e-05,8.0,0.0
"Feb 17, 2017",3.1e-05,3.2e-05,3.1e-05,3.1e-05,0.0,0.0
"Feb 18, 2017",3.1e-05,3.2e-05,3.1e-05,3.2e-05,0.0,0.0
