datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1.9e-05,3e-05,1.9e-05,2e-05,107.0,21763.0
2017-1-02,2e-05,6.2e-05,2e-05,6.1e-05,452.0,22559.0
2017-1-03,6.1e-05,6.2e-05,1e-05,1e-05,585.0,70177.0
2017-1-04,1e-05,2.2e-05,1e-05,1.2e-05,8.0,12076.0
2017-1-05,1.2e-05,2.1e-05,1e-05,2e-05,3.0,13386.0
2017-1-06,2e-05,2.1e-05,9e-06,9e-06,0.0,23612.0
2017-1-07,9e-06,1.8e-05,8e-06,1.8e-05,3.0,10556.0
2017-1-08,1.8e-05,1.9e-05,9e-06,1.8e-05,9.0,21245.0
2017-1-09,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,21335.0
2017-1-10,1.8e-05,1.8e-05,1.8e-05,1.8e-05,0.0,21159.0
2017-1-11,1.8e-05,1.8e-05,8e-06,8e-06,0.0,21280.0
2017-1-12,8e-06,2.5e-05,8e-06,2.4e-05,73.0,9131.0
2017-1-13,2.4e-05,2.5e-05,1.6e-05,1.6e-05,17.0,28369.0
2017-1-14,1.6e-05,1.7e-05,8e-06,8e-06,0.0,19372.0
2017-1-15,8e-06,1.6e-05,8e-06,1.6e-05,1.0,9639.0
2017-1-16,1.6e-05,2.5e-05,1.6e-05,2.5e-05,26.0,19438.0
2017-1-17,2.5e-05,2.5e-05,1.7e-05,1.8e-05,4.0,29537.0
2017-1-18,1.8e-05,2.7e-05,1.8e-05,2.6e-05,13.0,21520.0
2017-1-19,2.7e-05,2.7e-05,1.8e-05,2.7e-05,8.0,31534.0
2017-1-20,2.7e-05,2.7e-05,1.8e-05,1.8e-05,0.0,31994.0
2017-1-21,1.8e-05,2.8e-05,1.8e-05,1.8e-05,0.0,21285.0
2017-1-22,1.8e-05,3.7e-05,1.8e-05,2.8e-05,98.0,21935.0
2017-1-23,2.8e-05,2.8e-05,1.8e-05,1.8e-05,0.0,33016.0
2017-1-24,1.8e-05,2.7e-05,1.8e-05,1.8e-05,59.0,21932.0
2017-1-25,1.8e-05,2.7e-05,1.8e-05,2.7e-05,1.0,21263.0
2017-1-26,2.7e-05,2.7e-05,9e-06,1.8e-05,348.0,32218.0
2017-1-27,1.8e-05,2.8e-05,1.8e-05,2.8e-05,47.0,21911.0
2017-1-28,2.8e-05,2.8e-05,1.8e-05,1.8e-05,1.0,32960.0
2017-1-29,1.8e-05,2.8e-05,1.8e-05,2.8e-05,0.0,22122.0
2017-1-30,2.8e-05,2.8e-05,1.8e-05,1.8e-05,9.0,33141.0
2017-1-31,1.8e-05,1.9e-05,1.8e-05,1.9e-05,21.0,22132.0
2017-2-01,1.9e-05,3e-05,1.9e-05,2e-05,19.0,23360.0
2017-2-02,2e-05,2e-05,2e-05,2e-05,41.0,23955.0
2017-2-03,2e-05,3.1e-05,2e-05,3.1e-05,250.0,24548.0
2017-2-04,3.1e-05,3.1e-05,2e-05,2.1e-05,9.0,37648.0
2017-2-05,2.1e-05,3.1e-05,2e-05,2.1e-05,22.0,25490.0
2017-2-06,2.1e-05,3.1e-05,2.1e-05,2.1e-05,24.0,25156.0
2017-2-07,2.1e-05,3.2e-05,2.1e-05,2.1e-05,5.0,25467.0
2017-2-08,2.1e-05,2.2e-05,2.1e-05,2.1e-05,3.0,26056.0
2017-2-09,2.1e-05,2.2e-05,1.9e-05,2e-05,56.0,26150.0
2017-2-10,2e-05,3e-05,1.9e-05,3e-05,166.0,24669.0
2017-2-11,3e-05,3e-05,2e-05,2e-05,2.0,36775.0
2017-2-12,2e-05,2e-05,2e-05,2e-05,1.0,24912.0
2017-2-13,2e-05,3e-05,2e-05,2e-05,208.0,24822.0
2017-2-14,2e-05,2e-05,2e-05,2e-05,39.0,24683.0
2017-2-15,2e-05,3e-05,2e-05,2e-05,3.0,25106.0
2017-2-16,2e-05,3.1e-05,2e-05,3.1e-05,1.0,25165.0
2017-2-17,3.1e-05,3.2e-05,2.1e-05,2.1e-05,44.0,38472.0
2017-2-18,2.1e-05,3.2e-05,2.1e-05,3.2e-05,24.0,26246.0
2017-2-19,3.2e-05,3.2e-05,2.1e-05,2.1e-05,87.0,39588.0
2017-2-20,2.1e-05,0.000116,2.1e-05,7.6e-05,1902.0,26264.0
2017-2-21,7.6e-05,0.000129,6.6e-05,6.7e-05,284.0,95075.0
2017-2-22,7.8e-05,7.8e-05,3.3e-05,4.5e-05,107.0,98345.0
2017-2-23,4.5e-05,5.8e-05,4.5e-05,4.7e-05,16.0,56625.0
2017-2-24,4.7e-05,6e-05,4.7e-05,4.7e-05,128.0,59604.0
2017-2-25,4.7e-05,5.8e-05,3.4e-05,3.4e-05,44.0,59549.0
2017-2-26,3.4e-05,5.8e-05,3.4e-05,5.8e-05,36.0,43683.0
2017-2-27,5.8e-05,5.9e-05,4.7e-05,4.7e-05,3.0,74179.0
2017-2-28,4.7e-05,4.8e-05,3.5e-05,3.5e-05,113.0,60299.0
2017-3-01,3.5e-05,4.9e-05,3.5e-05,4.9e-05,1.0,45249.0
2017-3-02,4.9e-05,4.9e-05,3.6e-05,3.8e-05,1.0,62528.0
2017-3-03,3.8e-05,3.8e-05,2.5e-05,2.6e-05,26.0,48027.0
2017-3-04,2.6e-05,3.8e-05,2.5e-05,2.5e-05,1.0,32756.0
2017-3-05,2.5e-05,3.8e-05,2.5e-05,2.5e-05,6.0,32355.0
2017-3-06,2.5e-05,3.8e-05,2.5e-05,3.8e-05,5.0,32699.0
2017-3-07,3.8e-05,3.8e-05,2.5e-05,3.7e-05,8.0,49305.0
2017-3-08,3.7e-05,3.7e-05,2.3e-05,2.3e-05,2.0,47401.0
2017-3-09,2.3e-05,3.6e-05,2.3e-05,3.6e-05,1.0,29733.0
2017-3-10,3.6e-05,3.8e-05,2.2e-05,2.2e-05,7.0,46127.0
2017-3-11,2.2e-05,4.7e-05,2.2e-05,2.4e-05,186.0,29334.0
2017-3-12,2.4e-05,2.5e-05,2.4e-05,2.4e-05,13.0,30906.0
2017-3-13,2.4e-05,2.5e-05,2.4e-05,2.5e-05,0.0,32179.0
2017-3-14,2.5e-05,2.5e-05,2.5e-05,2.5e-05,8.0,32338.0
2017-3-15,2.5e-05,3.7e-05,1.2e-05,3.7e-05,112.0,32725.0
2017-3-16,3.7e-05,3.8e-05,1.2e-05,3.6e-05,3.0,49485.0
2017-3-17,3.6e-05,3.6e-05,2.2e-05,2.2e-05,4.0,47073.0
2017-3-18,2.2e-05,4.4e-05,1.9e-05,1.9e-05,40.0,29097.0
2017-3-19,1.9e-05,4.2e-05,1.9e-05,3.1e-05,58.0,25767.0
2017-3-20,3.1e-05,4.2e-05,3.1e-05,3.2e-05,57.0,41196.0
2017-3-21,3.2e-05,4.5e-05,3.2e-05,4.5e-05,19.0,41940.0
2017-3-22,4.5e-05,4.5e-05,3e-05,3.1e-05,4.0,59394.0
2017-3-23,3.2e-05,4.2e-05,3.1e-05,4.2e-05,12.0,41763.0
2017-3-24,4.2e-05,5e-05,2.8e-05,2.8e-05,38.0,55122.0
2017-3-25,2.8e-05,3.8e-05,2.8e-05,2.9e-05,106.0,37419.0
2017-3-26,2.9e-05,5e-05,2.9e-05,3.9e-05,58.0,38849.0
2017-3-27,3.9e-05,4e-05,3.1e-05,3.7e-05,19.0,51771.0
2017-3-28,3.7e-05,4.3e-05,3.1e-05,3.1e-05,48.0,49261.0
2017-3-29,3.1e-05,4.1e-05,2.1e-05,2.1e-05,265.0,41875.0
2017-3-30,2.1e-05,5.2e-05,2.1e-05,3.4e-05,133.0,27805.0
2017-3-31,3.4e-05,3.8e-05,2.6e-05,3.2e-05,43.0,45495.0
2017-4-01,3.2e-05,4.3e-05,3.2e-05,4.3e-05,26.0,43062.0
2017-4-02,4.3e-05,4.4e-05,3.2e-05,4.4e-05,18.0,57894.0
2017-4-03,4.4e-05,5.5e-05,3.7e-05,4.6e-05,23.0,59133.0
2017-4-04,4.6e-05,4.6e-05,3.8e-05,4.3e-05,11.0,61582.0
2017-4-05,4.3e-05,4.5e-05,3.3e-05,3.4e-05,44.0,57981.0
2017-4-06,3.4e-05,4.7e-05,3.4e-05,3.6e-05,27.0,45444.0
2017-4-07,3.6e-05,4.7e-05,2.5e-05,2.6e-05,5.0,48115.0
2017-4-08,2.6e-05,3.8e-05,2.4e-05,3.6e-05,16.0,35487.0
2017-4-09,3.6e-05,3.7e-05,2.4e-05,3.6e-05,106.0,48850.0
2017-4-10,3.6e-05,5.9e-05,3.5e-05,5.9e-05,318.0,48224.0
2017-4-11,5.9e-05,8.4e-05,3.6e-05,7.2e-05,306.0,80281.0
2017-4-12,7.2e-05,8.4e-05,3.9e-05,4e-05,54.0,98064.0
2017-4-13,4e-05,5.3e-05,3.5e-05,4.7e-05,25.0,53937.0
2017-4-14,4.7e-05,5.9e-05,2.3e-05,3.5e-05,483.0,63589.0
