datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,1.8e-05,2.6e-05,1.6e-05,2e-05,1.0,0.0
2017-1-02,2e-05,2e-05,1e-05,2e-05,17.0,0.0
2017-1-03,2e-05,2.1e-05,2e-05,2.1e-05,0.0,0.0
2017-1-04,2.1e-05,2.1e-05,1.1e-05,1.2e-05,2.0,0.0
2017-1-05,1.2e-05,2.4e-05,1.1e-05,2e-05,5.0,0.0
2017-1-06,2e-05,2.1e-05,1.8e-05,1.8e-05,1.0,0.0
2017-1-07,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,0.0,0.0
2017-1-09,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.0,0.0
2017-1-10,1.8e-05,1.8e-05,1.8e-05,1.8e-05,2.0,0.0
2017-1-11,9e-06,9e-06,8e-06,8e-06,10.0,0.0
2017-1-12,8e-06,8e-06,62000000.0,63000000.0,0.0,0.0
2017-1-13,62000000.0,64000000.0,61000000.0,63000000.0,0.0,0.0
2017-1-15,8e-06,8e-06,8e-06,8e-06,1.0,0.0
2017-1-16,8e-06,8e-06,8e-06,8e-06,2.0,0.0
2017-1-17,8e-06,9e-06,8e-06,9e-06,1.0,0.0
2017-1-18,64000000.0,9e-06,62000000.0,9e-06,2.0,0.0
2017-1-19,9e-06,1.8e-05,5e-06,5e-06,1.0,0.0
2017-1-20,5e-06,8e-06,1e-06,8e-06,2.0,0.0
2017-1-21,8e-06,9e-06,8e-06,9e-06,0.0,0.0
2017-1-22,9e-06,9e-06,9e-06,9e-06,2.0,0.0
2017-1-23,9e-06,1.9e-05,9e-06,1.8e-05,1.0,0.0
2017-1-24,1.8e-05,1.8e-05,9e-06,9e-06,0.0,0.0
2017-1-25,9e-06,1.8e-05,9e-06,1.8e-05,1.0,0.0
2017-1-26,1.8e-05,1.8e-05,9e-06,1.8e-05,1.0,0.0
2017-1-27,1.8e-05,1.8e-05,9e-06,1.8e-05,9.0,0.0
2017-1-28,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.0,0.0
2017-1-29,1.8e-05,1.8e-05,9e-06,9e-06,2.0,0.0
2017-1-30,9e-06,9e-06,9e-06,9e-06,1.0,0.0
2017-1-31,1.9e-05,1.9e-05,1.9e-05,1.9e-05,1.0,0.0
2017-2-01,1.9e-05,2e-05,1.9e-05,2e-05,1.0,0.0
2017-2-02,2e-05,2e-05,2e-05,2e-05,0.0,0.0
2017-2-03,2.1e-05,2.1e-05,2.1e-05,2.1e-05,2.0,0.0
2017-2-04,2.1e-05,2.1e-05,2e-05,2.1e-05,2.0,0.0
2017-2-05,2.1e-05,2.1e-05,2.1e-05,2.1e-05,1.0,0.0
2017-2-06,2.1e-05,3.1e-05,2.1e-05,2.1e-05,269.0,0.0
2017-2-07,2.1e-05,2.1e-05,1.1e-05,1.1e-05,14.0,0.0
2017-2-08,1.1e-05,3.2e-05,1.1e-05,3.2e-05,3.0,0.0
2017-2-09,3.2e-05,3.3e-05,20000000.0,21000000.0,0.0,0.0
2017-2-12,21000000.0,22000000.0,21000000.0,21000000.0,3.0,0.0
2017-2-13,21000000.0,1.1e-05,21000000.0,1e-05,1.0,0.0
2017-2-14,1e-05,1e-05,1e-05,1e-05,1.0,0.0
2017-2-15,2e-05,2e-05,2e-05,2e-05,77.0,0.0
2017-2-16,2e-05,2.1e-05,1e-05,1e-05,1.0,0.0
2017-2-17,1e-05,2.1e-05,1e-05,2.1e-05,0.0,0.0
2017-2-18,2.1e-05,2.1e-05,2.1e-05,2.1e-05,0.0,0.0
