datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jul 15, 2017",4447.62,5811.46,2876.18,4739.32,173276.0,0.0
"Jul 16, 2017",4492.89,7336.24,3124.3,4852.15,242271.0,0.0
"Jul 17, 2017",4552.9,8069.23,2191.82,3009.55,170217.0,0.0
"Jul 18, 2017",3017.17,3486.5,2022.17,2056.98,38878.0,0.0
"Jul 19, 2017",2060.17,3418.0,1274.2,1959.75,14258.0,0.0
"Jul 20, 2017",1954.57,2020.67,1223.43,1643.4,888.0,0.0
"Jul 21, 2017",1655.58,1661.07,1359.37,1466.08,113.0,0.0
"Jul 22, 2017",1465.79,2242.34,1458.77,1656.81,93.0,0.0
"Jul 23, 2017",1656.82,1662.06,1372.66,1610.72,165.0,0.0
"Jul 24, 2017",1608.85,2751.49,1585.52,2160.2,307256.0,0.0
"Jul 25, 2017",2163.3,2324.13,1447.46,1872.4,27555.0,0.0
"Jul 26, 2017",1873.21,2257.88,1594.99,1665.0,88374.0,0.0
"Jul 27, 2017",1669.73,1943.44,1532.5,1644.75,40269.0,0.0
"Jul 28, 2017",1650.34,1688.13,1335.65,1365.19,750.0,0.0
"Jul 29, 2017",1370.81,1538.97,253.2,1520.75,1193.0,0.0
"Jul 30, 2017",1522.12,1568.33,260.98,802.49,53.0,0.0
"Jul 31, 2017",802.75,1383.48,567.57,857.94,26462.0,0.0
"Aug 01, 2017",858.37,872.43,428.09,573.38,26153.0,0.0
"Aug 02, 2017",573.64,721.31,536.08,566.0,1257.0,0.0
"Aug 03, 2017",566.82,837.56,501.49,619.31,4116.0,0.0
"Aug 04, 2017",619.4,638.25,615.0,634.53,200.0,0.0
"Aug 05, 2017",634.25,636.06,527.63,623.28,487.0,0.0
"Aug 06, 2017",623.28,626.4,519.88,568.02,90.0,0.0
"Aug 07, 2017",566.75,569.37,508.64,517.17,43.0,0.0
"Aug 08, 2017",517.57,1031.14,382.32,522.76,5110.0,0.0
"Aug 09, 2017",522.4,548.47,338.93,371.61,26715.0,0.0
"Aug 10, 2017",371.64,659.93,287.9,436.85,59619.0,0.0
"Aug 11, 2017",436.83,453.18,319.57,339.69,428.0,0.0
"Aug 12, 2017",339.43,360.55,183.7,294.66,157.0,0.0
"Aug 13, 2017",294.38,456.39,294.38,449.35,25096.0,0.0
"Aug 14, 2017",449.63,2123.35,262.23,727.33,571378.0,0.0
"Aug 15, 2017",729.28,729.28,224.31,236.82,129884.0,0.0
"Aug 16, 2017",237.08,239.11,140.58,153.26,42594.0,0.0
"Aug 17, 2017",128.53,129.03,74.19,74.2,41374.0,0.0
"Aug 18, 2017",77.03,79.26,59.8,79.23,3636.0,0.0
"Aug 19, 2017",95.77,127.04,48.47,49.88,899.0,0.0
"Aug 20, 2017",49.65,114.62,40.69,86.13,57153.0,0.0
"Aug 21, 2017",85.81,90.17,49.97,53.28,39796.0,0.0
"Aug 22, 2017",53.41,53.97,44.83,46.86,9743.0,0.0
