datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-2-08,1.1e-05,1.1e-05,1.1e-05,1.1e-05,121.0,0.0
2017-2-09,1.1e-05,0.000418,1e-05,0.000418,1437.0,0.0
2017-2-10,0.000418,0.00042,1e-05,1e-05,2173.0,0.0
2017-3-20,0.175663,0.175663,0.173729,0.174897,1091.0,0.0
2017-3-21,0.175084,0.209792,0.109522,0.20842,2235.0,920176.0
2017-3-22,0.208441,0.208441,0.142,0.167862,421.0,1113300.0
2017-3-23,0.168008,0.179105,0.084307,0.114245,270.0,897343.0
2017-3-24,0.11423,0.184002,0.111099,0.174285,173.0,610111.0
2017-3-25,0.174103,0.195269,0.168,0.194673,2703.0,944811.0
2017-3-26,0.19492,0.200528,0.150699,0.19348,1397.0,1057780.0
2017-3-27,0.194547,0.20001,0.123143,0.188448,120.0,1055760.0
2017-3-28,0.188233,0.21309,0.116479,0.209524,1348.0,1037630.0
2017-3-29,0.20931,0.211155,0.114691,0.155996,424.0,1153820.0
2017-3-30,0.156331,0.206056,0.153006,0.205286,450.0,861771.0
2017-3-31,0.205328,0.215468,0.155408,0.21484,580.0,1141480.0
2017-4-01,0.214824,0.218835,0.191516,0.195019,25.0,1206000.0
2017-4-02,0.195039,0.222327,0.173327,0.221239,2378.0,1094930.0
2017-4-03,0.221395,0.228602,0.181761,0.194448,4946.0,1253340.0
2017-4-04,0.194738,0.260648,0.191149,0.260648,1273.0,1110150.0
2017-4-05,0.260852,0.265722,0.196357,0.265302,706.0,1487050.0
2017-4-06,0.265545,6.33,0.233498,0.392307,4920.0,1520720.0
2017-4-07,0.391066,0.394134,0.385908,0.38873,8748.0,2264510.0
2017-4-08,0.387326,0.394316,0.384489,0.391239,1061.0,2242850.0
2017-4-09,0.391445,0.397885,0.2734,0.2734,2707.0,2273610.0
2017-4-10,0.273269,0.396526,0.271368,0.395457,2029.0,1606690.0
2017-4-11,0.395567,0.39875,0.012079,0.012079,32954.0,2326470.0
2017-4-12,0.025343,0.154645,0.025334,0.107913,4209.0,149649.0
2017-4-13,0.107972,0.108057,0.019768,0.035078,8571.0,638789.0
2017-4-14,0.03511,0.041913,0.012814,0.031675,15707.0,208328.0
2017-4-15,0.031669,0.044745,0.026062,0.034941,6614.0,187912.0
2017-4-16,0.034944,0.035295,0.021817,0.029573,13484.0,207350.0
2017-4-17,0.029581,0.031677,0.018949,0.03097,4308.0,175537.0
2017-4-18,0.030966,0.065771,0.024922,0.027868,15061.0,183761.0
2017-4-19,0.027879,0.033657,0.025109,0.029592,10579.0,165451.0
2017-4-20,0.029611,0.029635,0.022828,0.026364,4909.0,175739.0
2017-4-21,0.026371,0.026511,0.012289,0.02317,14161.0,156589.0
2017-4-22,0.023183,0.026236,0.020709,0.026162,2442.0,140641.0
2017-4-23,0.026166,0.026172,0.020524,0.02505,1292.0,159220.0
2017-4-24,0.0251,0.026898,0.020632,0.026791,3625.0,152756.0
2017-4-25,0.026797,0.027054,0.023879,0.025816,2889.0,163346.0
2017-4-26,0.025826,0.026896,0.024097,0.025007,3149.0,157437.0
2017-4-27,0.025022,0.027388,0.025011,0.026051,1485.0,152551.0
2017-4-28,0.026052,0.027691,0.020678,0.02633,5458.0,158837.0
2017-4-29,0.026357,0.026521,0.022416,0.026423,3364.0,162036.0
2017-4-30,0.026424,0.026958,0.025173,0.026958,1032.0,164716.0
2017-5-01,0.026966,0.027502,0.025357,0.0263,1326.0,170202.0
2017-5-02,0.026289,0.029375,0.024786,0.027429,3375.0,167521.0
2017-5-03,0.027447,0.029512,0.022171,0.023096,3418.0,175198.0
2017-5-04,0.023106,0.030517,0.023106,0.025064,17385.0,147692.0
2017-5-05,0.025116,0.03121,0.025116,0.02722,5548.0,161781.0
2017-5-06,0.027244,0.029211,0.026994,0.02725,2229.0,177710.0
2017-5-07,0.027262,0.029178,0.026913,0.027559,2601.0,179025.0
2017-5-08,0.027563,0.030426,0.023291,0.02928,11750.0,181270.0
2017-5-09,0.029289,0.031078,0.014556,0.023697,19460.0,193056.0
2017-5-10,0.023713,0.031268,0.021513,0.031188,6429.0,156607.0
2017-5-11,0.031244,0.032555,0.020063,0.027344,6644.0,206624.0
2017-5-12,0.027371,0.027428,0.018825,0.018825,1616.0,181056.0
2017-5-13,0.018787,0.02463,0.017173,0.021886,1130.0,124287.0
2017-5-14,0.021956,0.025197,0.014354,0.017863,4450.0,145264.0
2017-5-15,0.017873,0.032546,0.017334,0.032037,23227.0,118276.0
2017-5-16,0.03199,0.052445,0.023043,0.034993,17905.0,211714.0
2017-5-17,0.034983,0.053856,0.034904,0.049859,9276.0,232038.0
2017-5-18,0.049832,0.053632,0.043841,0.053051,1745.0,331860.0
2017-5-19,0.053081,0.05619,0.046323,0.054006,4964.0,354918.0
2017-5-20,0.053948,0.054714,0.045906,0.053477,2466.0,362485.0
2017-5-21,0.053458,0.054561,0.026325,0.026445,11511.0,360774.0
2017-5-22,0.026534,0.042959,0.026438,0.032926,6172.0,179909.0
2017-5-23,0.033089,0.042478,0.013104,0.041769,26873.0,225345.0
2017-5-24,0.041819,0.043151,0.02768,0.032788,10007.0,285952.0
2017-5-25,0.032726,0.037515,0.023914,0.028247,6754.0,224663.0
2017-5-26,0.02804,0.031113,0.021353,0.023411,4071.0,193245.0
2017-5-27,0.023489,0.026422,0.01706,0.02036,5339.0,162555.0
2017-5-28,0.020482,0.022952,0.012787,0.020884,3918.0,142377.0
2017-5-29,0.020842,0.021872,0.020264,0.020932,1229.0,145516.0
2017-5-30,0.020956,0.021939,0.018151,0.018151,1320.0,146848.0
2017-5-31,0.018222,0.021384,0.017846,0.020976,3400.0,127921.0
2017-6-01,0.020995,0.022535,0.020728,0.021611,1233.0,147553.0
2017-6-02,0.021621,0.021832,0.019339,0.019833,2516.0,152104.0
2017-6-03,0.019824,0.021253,0.015991,0.021064,2343.0,139597.0
2017-6-04,0.021007,0.021051,0.019486,0.02081,956.0,148077.0
2017-6-05,0.020814,0.021809,0.015906,0.01612,2851.0,146873.0
2017-6-06,0.016169,0.022375,0.016169,0.018686,2035.0,114239.0
2017-6-07,0.01869,0.018738,0.017086,0.017482,768.0,132222.0
2017-6-08,0.01757,0.01819,0.008603,0.011784,5665.0,124450.0
2017-6-09,0.011765,0.014171,0.011717,0.012628,4731.0,83457.0
2017-6-10,0.012647,0.017094,0.011822,0.013221,2601.0,89846.0
2017-6-11,0.013213,0.015194,0.012161,0.01519,1450.0,94016.0
2017-6-12,0.01517,0.015215,0.006524,0.008905,11457.0,108113.0
2017-6-13,0.008875,0.010413,0.002534,0.009754,14526.0,63355.0
2017-6-14,0.009749,0.010539,0.003525,0.005284,10521.0,69692.0
2017-6-15,0.005283,0.005822,0.002212,0.003792,24337.0,37796.0
2017-6-16,0.00379,0.007544,0.00369,0.006245,4519.0,27115.0
2017-6-17,0.006245,0.008218,0.006245,0.008193,3247.0,44690.0
2017-6-18,0.008193,0.008743,0.006969,0.008618,3322.0,58651.0
2017-6-19,0.008743,0.020684,0.008618,0.020259,18880.0,62593.0
2017-6-20,0.020259,0.044914,0.014988,0.022382,12827.0,145066.0
2017-6-21,0.022382,0.029976,0.017761,0.024456,12058.0,160284.0
2017-6-22,0.024456,0.024655,0.018685,0.021183,17319.0,175170.0
2017-6-23,0.021183,0.021904,0.017636,0.01905,7553.0,151744.0
2017-6-24,0.019048,0.021609,0.009465,0.012522,8455.0,136456.0
2017-6-25,0.012494,0.014125,0.011109,0.013303,1023.0,89511.0
