datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",2e-06,2e-06,1e-06,1e-06,18.0,104960.0
"Jan 02, 2017",1e-06,2e-06,1e-06,2e-06,42.0,88594.0
"Jan 03, 2017",2e-06,2e-06,1e-06,1e-06,115.0,103494.0
"Jan 04, 2017",1e-06,2e-06,1e-06,2e-06,406.0,92004.0
"Jan 05, 2017",2e-06,2e-06,2e-06,2e-06,1768.0,106049.0
"Jan 06, 2017",2e-06,2e-06,1e-06,1e-06,613.0,116561.0
"Jan 07, 2017",1e-06,2e-06,1e-06,1e-06,512.0,96663.0
"Jan 08, 2017",1e-06,1e-06,1e-06,1e-06,370.0,92800.0
"Jan 09, 2017",1e-06,1e-06,1e-06,1e-06,7.0,92800.0
"Jan 10, 2017",1e-06,2e-06,1e-06,1e-06,74.0,80976.0
"Jan 11, 2017",1e-06,2e-06,1e-06,1e-06,565.0,90189.0
"Jan 12, 2017",1e-06,1e-06,1e-06,1e-06,253.0,78009.0
"Jan 13, 2017",1e-06,2e-06,1e-06,2e-06,259.0,86511.0
"Jan 14, 2017",2e-06,2e-06,2e-06,2e-06,146.0,101771.0
"Jan 15, 2017",2e-06,2e-06,1e-06,1e-06,92.0,103705.0
"Jan 16, 2017",1e-06,1e-06,1e-06,1e-06,54.0,88198.0
"Jan 17, 2017",1e-06,1e-06,1e-06,1e-06,150.0,85289.0
"Jan 18, 2017",1e-06,1e-06,1e-06,1e-06,3.0,93438.0
"Jan 19, 2017",1e-06,1e-06,1e-06,1e-06,252.0,85342.0
"Jan 20, 2017",1e-06,1e-06,1e-06,1e-06,183.0,83698.0
"Jan 21, 2017",1e-06,1e-06,1e-06,1e-06,257.0,83645.0
"Jan 22, 2017",1e-06,1e-06,1e-06,1e-06,46.0,85584.0
"Jan 23, 2017",1e-06,1e-06,1e-06,1e-06,105.0,86270.0
"Jan 24, 2017",1e-06,1e-06,1e-06,1e-06,76.0,80027.0
"Jan 25, 2017",1e-06,1e-06,1e-06,1e-06,41.0,89822.0
"Jan 26, 2017",1e-06,1e-06,1e-06,1e-06,45.0,77925.0
"Jan 27, 2017",1e-06,1e-06,1e-06,1e-06,136.0,77770.0
"Jan 28, 2017",1e-06,1e-06,1e-06,1e-06,37.0,88160.0
"Jan 29, 2017",1e-06,1e-06,1e-06,1e-06,1.0,82610.0
"Jan 30, 2017",1e-06,1e-06,1e-06,1e-06,2.0,83588.0
"Jan 31, 2017",1e-06,1e-06,1e-06,1e-06,317.0,85518.0
"Feb 01, 2017",1e-06,1e-06,1e-06,1e-06,39.0,89420.0
"Feb 02, 2017",1e-06,1e-06,1e-06,1e-06,36.0,87410.0
"Feb 03, 2017",1e-06,1e-06,1e-06,1e-06,713.0,79699.0
"Feb 04, 2017",1e-06,1e-06,1e-06,1e-06,9.0,81784.0
"Feb 05, 2017",1e-06,1e-06,1e-06,1e-06,13.0,85948.0
