datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.000125,0.000341,0.000125,0.000339,20.0,5455.0
"Jan 02, 2017",0.000339,0.000351,0.000339,0.000347,0.0,14778.0
"Jan 03, 2017",0.000347,0.000355,0.000347,0.000355,0.0,15125.0
"Jan 04, 2017",0.000355,0.000406,0.000355,0.000404,0.0,15452.0
"Jan 05, 2017",0.000404,0.000417,0.000319,0.000337,0.0,17596.0
"Jan 06, 2017",0.000341,0.000341,0.000301,0.000307,1.0,14830.0
"Jan 07, 2017",0.000307,0.000309,0.00028,0.000309,10.0,13374.0
"Jan 08, 2017",0.000309,0.000328,0.000142,0.000328,62.0,13449.0
"Jan 09, 2017",0.000328,0.000329,0.000132,0.000181,38.0,14282.0
"Jan 10, 2017",0.000181,0.000183,6.3e-05,6.4e-05,22.0,7861.0
"Jan 11, 2017",6.4e-05,0.000574,6.4e-05,0.000569,49.0,2766.0
"Jan 12, 2017",0.000568,0.00062,0.000113,0.000604,214.0,24719.0
"Jan 13, 2017",0.000604,0.000607,0.000139,0.000165,8.0,26280.0
"Jan 14, 2017",0.000165,0.000167,9.8e-05,0.000131,5.0,7175.0
"Jan 15, 2017",0.000131,0.000272,0.00013,0.000189,15.0,5701.0
"Jan 16, 2017",0.000189,0.000189,0.00014,0.000141,40.0,8229.0
"Jan 17, 2017",0.000141,0.000155,0.000135,0.000136,1.0,6154.0
"Jan 18, 2017",0.000136,0.000138,8.7e-05,8.8e-05,0.0,5929.0
"Jan 19, 2017",8.9e-05,0.000125,8.8e-05,9.9e-05,0.0,3860.0
"Jan 20, 2017",9.9e-05,0.000126,9.8e-05,0.000125,0.0,4306.0
"Jan 21, 2017",0.000125,0.000129,0.000101,0.000101,0.0,5455.0
"Jan 22, 2017",0.000101,0.000103,9.9e-05,0.000101,0.0,4415.0
"Jan 23, 2017",0.000139,0.000139,0.000138,0.000138,0.0,6030.0
"Jan 24, 2017",0.000138,0.000138,9.9e-05,0.000107,4.0,6015.0
"Jan 25, 2017",0.000107,0.000117,0.000107,0.000117,0.0,4664.0
"Jan 26, 2017",0.000117,0.000118,0.000109,0.00011,0.0,5103.0
"Jan 27, 2017",0.00011,0.000111,0.00011,0.00011,0.0,4794.0
"Jan 28, 2017",0.00011,0.000176,0.00011,0.000111,0.0,4805.0
"Jan 29, 2017",0.000111,0.000111,0.00011,0.00011,0.0,4815.0
"Jan 31, 2017",0.000115,0.000117,0.000114,0.000116,0.0,5011.0
"Feb 01, 2017",0.000116,0.000119,0.000116,0.000119,0.0,5070.0
"Feb 02, 2017",0.000119,0.000122,0.000118,0.000121,0.0,5167.0
"Feb 03, 2017",0.000121,0.000124,0.000121,0.000123,0.0,5286.0
"Feb 04, 2017",0.000124,0.000126,0.000122,0.000125,0.0,5381.0
"Feb 05, 2017",0.000125,0.000125,0.000112,0.000113,0.0,5449.0
"Feb 06, 2017",0.000113,0.000115,0.000113,0.000114,0.0,4920.0
"Feb 07, 2017",0.000114,0.000117,0.000114,0.000116,0.0,4972.0
"Feb 08, 2017",0.000119,0.000119,1.1e-05,0.000106,4.0,5161.0
"Feb 09, 2017",0.000106,0.000301,6.7e-05,9.9e-05,3.0,4628.0
"Feb 10, 2017",9.9e-05,0.000118,6.9e-05,6.9e-05,0.0,4329.0
"Feb 11, 2017",6.9e-05,0.000131,6.9e-05,0.000131,0.0,3014.0
"Feb 12, 2017",0.000131,0.00026,7e-05,9e-05,1.0,5685.0
"Feb 13, 2017",9e-05,9e-05,8.8e-05,8.9e-05,0.0,3915.0
"Feb 14, 2017",8.9e-05,0.000111,8.9e-05,0.000111,0.0,3882.0
"Feb 15, 2017",0.000111,0.000111,0.00011,0.000111,0.0,4811.0
"Feb 16, 2017",0.000111,0.000114,0.000111,0.000113,0.0,4825.0
"Feb 17, 2017",0.000113,0.000116,0.000113,0.000115,0.0,4920.0
"Feb 18, 2017",0.000115,0.000117,0.000115,0.000117,0.0,5010.0
"Feb 19, 2017",0.000116,0.000116,0.000115,0.000115,0.0,5044.0
"Feb 20, 2017",0.000115,0.000116,0.000115,0.000116,0.0,5018.0
"Feb 22, 2017",0.000123,0.000124,0.000123,0.000123,0.0,5362.0
"Feb 23, 2017",0.000123,0.000139,0.000116,0.000117,0.0,5351.0
"Feb 24, 2017",0.000117,0.00012,0.000113,0.000117,0.0,5080.0
"Feb 25, 2017",0.000117,0.000245,0.000116,0.000126,1.0,5087.0
"Feb 26, 2017",0.000126,0.000128,0.000124,0.000128,1.0,5478.0
"Feb 27, 2017",0.000128,0.00013,0.000128,0.00013,0.0,5580.0
"Feb 28, 2017",0.00013,0.000131,0.000129,0.00013,0.0,5651.0
"Mar 01, 2017",0.00013,0.000131,0.00013,0.000131,0.0,5651.0
"Mar 02, 2017",0.000139,0.000139,0.000137,0.000138,0.0,6038.0
"Mar 03, 2017",0.000138,0.000141,0.000138,0.000139,0.0,5991.0
"Mar 04, 2017",0.000255,0.000256,0.000246,0.000251,0.0,11099.0
"Mar 05, 2017",0.000251,0.000251,0.000248,0.000248,0.0,10929.0
"Mar 06, 2017",0.000241,0.000255,0.000127,0.000242,73.0,10505.0
"Mar 07, 2017",0.000242,0.000242,0.000159,0.000159,0.0,10529.0
"Mar 08, 2017",0.000159,0.00016,0.000149,0.00015,0.0,6925.0
"Mar 09, 2017",0.00015,0.000215,0.000127,0.000214,1.0,6509.0
"Mar 10, 2017",0.000214,0.000299,0.000151,0.000279,146.0,9314.0
"Mar 11, 2017",0.000279,0.000287,0.000176,0.000188,2.0,12155.0
"Mar 12, 2017",0.000188,0.000282,0.000188,0.000244,9.0,8191.0
"Mar 13, 2017",0.000244,0.000244,0.000172,0.000172,23.0,10635.0
"Mar 14, 2017",0.000172,0.000184,0.000171,0.000174,2.0,7509.0
"Mar 15, 2017",0.000174,0.000187,0.000174,0.000175,3.0,7558.0
"Mar 16, 2017",0.000175,0.000176,0.000161,0.000166,0.0,7617.0
"Mar 17, 2017",0.000166,0.000166,0.000157,0.000158,0.0,7240.0
"Mar 18, 2017",0.000166,0.000167,0.000134,0.000136,25.0,7210.0
"Mar 19, 2017",0.000136,0.00016,0.000136,0.000156,168.0,5936.0
"Mar 20, 2017",0.000156,0.000159,0.000115,0.000116,1132.0,6770.0
"Mar 21, 2017",0.000116,0.000123,0.000116,0.000123,0.0,5049.0
"Mar 22, 2017",0.000123,0.000147,0.000112,0.000147,0.0,5366.0
"Mar 23, 2017",0.000147,0.000147,0.000104,0.000104,14.0,6395.0
"Mar 24, 2017",0.000104,0.00015,0.000101,0.00014,1.0,4522.0
"Mar 25, 2017",0.000141,0.000146,0.000136,0.000146,1.0,6122.0
"Mar 26, 2017",0.000146,0.000146,0.000115,0.000116,0.0,6353.0
"Mar 27, 2017",0.000116,0.000157,0.000116,0.000157,2.0,5051.0
"Mar 28, 2017",0.000157,0.00016,0.000154,0.000155,2.0,6829.0
"Mar 29, 2017",0.000154,0.000158,0.000152,0.000156,14.0,6696.0
"Mar 30, 2017",0.000156,0.000165,0.000134,0.000164,28.0,6792.0
"Mar 31, 2017",0.000164,0.000172,0.000155,0.000171,1.0,7150.0
"Apr 01, 2017",0.000171,0.000175,0.000159,0.000162,0.0,7466.0
"Apr 02, 2017",0.000162,0.000518,0.000161,0.000397,994.0,7056.0
"Apr 03, 2017",0.000397,0.000681,0.000215,0.000274,10.0,17275.0
"Apr 04, 2017",0.000275,0.000499,0.000275,0.000498,0.0,11952.0
"Apr 05, 2017",0.000499,0.001462,0.00029,0.000337,144.0,21709.0
"Apr 06, 2017",0.000337,0.000698,0.000304,0.000319,7.0,14691.0
"Apr 07, 2017",0.000319,0.000555,0.000315,0.000341,2.0,13902.0
"Apr 08, 2017",0.000341,0.000482,0.000337,0.000423,1.0,14859.0
"Apr 09, 2017",0.000423,0.000424,0.000328,0.000356,1.0,18431.0
"Apr 10, 2017",0.000356,0.000357,0.000354,0.000356,0.0,15515.0
"Apr 11, 2017",0.000356,0.000542,0.000345,0.00047,9.0,15505.0
"Apr 12, 2017",0.00047,0.000529,0.000359,0.000456,0.0,20460.0
"Apr 13, 2017",0.000456,0.000566,0.000342,0.000374,35.0,19859.0
"Apr 14, 2017",0.000374,0.000381,0.00035,0.00035,0.0,16290.0
"Apr 15, 2017",0.00035,0.000508,0.000339,0.000352,1.0,15249.0
"Apr 16, 2017",0.000352,0.000461,0.000352,0.00039,0.0,15314.0
"Apr 17, 2017",0.00039,0.000391,0.000188,0.000251,181.0,16996.0
"Apr 18, 2017",0.000251,0.000251,0.000181,0.00023,206.0,10916.0
"Apr 19, 2017",0.00023,0.000231,0.000169,0.00023,1.0,10023.0
"Apr 20, 2017",0.00023,0.000247,0.000183,0.000246,126.0,10012.0
"Apr 21, 2017",0.000246,0.000247,0.000182,0.000183,96.0,10702.0
"Apr 22, 2017",0.000183,0.000368,0.000183,0.000246,122.0,7981.0
"Apr 23, 2017",0.000246,0.000246,0.000217,0.000229,0.0,10725.0
"Apr 24, 2017",0.000229,0.000233,0.000206,0.000225,2.0,9986.0
"Apr 25, 2017",0.000225,0.000228,0.0002,0.000228,0.0,9797.0
"Apr 26, 2017",0.000228,0.000245,0.000217,0.000218,69.0,9917.0
"Apr 27, 2017",0.000218,0.000218,0.000193,0.000211,28.0,9482.0
"Apr 28, 2017",0.000211,0.000247,0.000208,0.000224,0.0,9179.0
"Apr 29, 2017",0.000224,0.000252,0.00021,0.000225,8.0,9744.0
"Apr 30, 2017",0.000225,0.000251,0.000197,0.000202,24.0,9783.0
"May 01, 2017",0.000202,0.000287,0.000202,0.000284,417.0,8802.0
"May 02, 2017",0.000284,0.000288,0.000243,0.000247,1.0,12378.0
"May 03, 2017",0.000247,0.000358,0.000247,0.000357,11.0,10753.0
"May 04, 2017",0.000358,0.000381,0.000302,0.000368,6.0,15570.0
