datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.68246,0.687083,0.588399,0.613988,273055.0,16136100.0
2017-7-29,0.612036,0.624711,0.544365,0.568602,169385.0,14471000.0
2017-7-30,0.569219,0.603932,0.565704,0.588192,117298.0,13458600.0
2017-7-31,0.586683,0.606351,0.583474,0.594586,123401.0,13871600.0
2017-8-01,0.59495,0.658059,0.592426,0.61366,240808.0,14067000.0
2017-8-02,0.612675,0.61428,0.58059,0.603324,123072.0,14486100.0
2017-8-03,0.603386,0.646957,0.599377,0.646402,130776.0,14266500.0
2017-8-04,0.647127,0.72074,0.647127,0.697804,177212.0,15300700.0
2017-8-05,0.702913,0.802999,0.699087,0.767492,268619.0,16619700.0
2017-8-06,0.76963,0.942509,0.769266,0.911974,312359.0,18197200.0
2017-8-07,0.909009,1.02,0.865914,1.01,247277.0,21492700.0
2017-8-08,1.01,1.02,0.932839,0.962376,216722.0,23920200.0
2017-8-09,0.96277,1.1,0.96277,1.03,339755.0,22763800.0
2017-8-10,1.03,1.09,0.971312,0.972768,284989.0,24284800.0
2017-8-11,0.966295,1.47,0.931756,1.4,615471.0,22847100.0
2017-8-12,1.41,1.91,1.27,1.76,2242330.0,33426100.0
2017-8-13,1.76,1.85,1.21,1.4,806203.0,41684600.0
2017-8-14,1.39,1.42,1.24,1.3,320865.0,32764000.0
2017-8-15,1.29,1.3,0.982843,1.12,839051.0,30581000.0
2017-8-16,1.1,1.6,1.03,1.59,974519.0,26077600.0
2017-8-17,1.58,2.8,1.58,2.36,11546300.0,37308500.0
2017-8-18,2.32,2.32,1.5,1.53,2602740.0,54865600.0
2017-8-19,1.54,1.87,1.41,1.82,1187190.0,36383100.0
2017-8-20,1.83,2.05,1.66,1.83,1031310.0,43321300.0
2017-8-21,1.83,1.86,1.55,1.55,722402.0,43183100.0
2017-8-22,1.55,1.67,1.39,1.65,477294.0,36654300.0
2017-8-23,1.65,1.66,1.51,1.51,568677.0,38994100.0
2017-8-24,1.51,1.69,1.5,1.63,412831.0,35819800.0
2017-8-25,1.63,1.71,1.54,1.55,306763.0,38453600.0
2017-8-26,1.55,1.63,1.36,1.51,1297630.0,36670800.0
