datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,1.07,1.44,1.02,1.4,56808.0,1025410.0
2017-7-29,1.39,1.39,1.14,1.2,16811.0,1334610.0
2017-7-30,1.2,1.21,1.07,1.1,13469.0,1151930.0
2017-7-31,1.1,1.24,1.09,1.22,7642.0,1052770.0
2017-8-01,1.22,1.36,1.07,1.31,14125.0,1169760.0
2017-8-02,1.31,1.54,1.21,1.49,6239.0,1258080.0
2017-8-03,1.49,1.5,1.15,1.37,10827.0,1429790.0
2017-8-04,1.36,1.43,1.29,1.35,5542.0,1310730.0
2017-8-05,1.35,1.52,1.13,1.37,29760.0,1299400.0
2017-8-06,1.37,1.43,1.3,1.35,25461.0,1312690.0
2017-8-07,1.43,1.44,1.3,1.4,6974.0,1372970.0
2017-8-08,1.4,1.49,1.38,1.46,8551.0,1346280.0
2017-8-09,1.46,1.46,1.32,1.43,3438.0,1401500.0
2017-8-10,1.43,1.67,1.41,1.52,19854.0,1370190.0
2017-8-11,1.52,1.68,1.47,1.63,10510.0,1462780.0
2017-8-12,1.63,3.43,1.63,2.29,792554.0,1562370.0
2017-8-13,2.28,2.77,2.04,2.76,217517.0,2192210.0
2017-8-14,2.74,2.89,2.19,2.66,130608.0,2632970.0
2017-8-15,2.67,2.68,2.19,2.34,30911.0,2562680.0
2017-8-16,2.34,2.66,2.13,2.51,50633.0,2245610.0
2017-8-17,2.51,3.27,2.42,2.7,230365.0,2411830.0
2017-8-18,2.7,3.04,2.23,2.4,62142.0,2589260.0
2017-8-19,2.4,2.65,2.23,2.65,23715.0,2300090.0
2017-8-20,2.64,2.76,2.36,2.36,19449.0,2537230.0
2017-8-21,2.35,2.78,2.32,2.47,43523.0,2259630.0
2017-8-22,2.47,2.55,2.23,2.46,11414.0,2374430.0
2017-8-23,2.45,2.59,2.27,2.36,26881.0,2354290.0
2017-8-24,2.36,2.64,2.21,2.45,37008.0,2267410.0
2017-8-25,2.44,2.49,2.18,2.29,12498.0,2345300.0
2017-8-26,2.29,2.38,2.09,2.28,28998.0,2198630.0
