datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"May 08, 2017",0.537192,1.72,0.537078,1.72,723.0,0.0
"May 09, 2017",1.72,1.72,1.09,1.29,1381.0,0.0
"May 10, 2017",1.29,1.3,0.196134,0.237738,204.0,0.0
"May 11, 2017",0.238165,0.725887,0.095533,0.324985,767.0,0.0
"May 12, 2017",0.325307,1.04,0.278644,0.493932,2110.0,0.0
"May 13, 2017",0.492911,0.539772,0.261695,0.442455,1066.0,0.0
"May 14, 2017",0.443871,1.64,0.338426,0.339552,2024.0,0.0
"May 15, 2017",0.339751,0.520932,0.137014,0.140558,23284.0,0.0
"May 16, 2017",0.14035,0.377414,0.127766,0.366844,629.0,0.0
"May 17, 2017",0.366746,0.366746,0.101219,0.10251,77.0,0.0
"May 18, 2017",0.102455,0.103209,0.069906,0.070224,59.0,0.0
"May 19, 2017",0.070265,0.070888,0.0635,0.063927,16.0,0.0
"May 20, 2017",0.063858,0.461042,0.063855,0.113667,248.0,0.0
"May 21, 2017",0.113626,1.09,0.072575,0.590603,19291.0,0.0
"May 22, 2017",0.592589,0.62029,0.117282,0.118006,959.0,0.0
"May 23, 2017",0.117834,0.565178,0.117834,0.372813,5291.0,0.0
"May 24, 2017",0.373263,0.383078,0.170095,0.172992,427.0,0.0
"May 25, 2017",0.172667,0.180433,0.133222,0.16316,54.0,0.0
"May 26, 2017",0.160046,0.539144,0.106897,0.116087,17951.0,0.0
"May 27, 2017",0.116472,0.161928,0.077833,0.160193,237.0,0.0
"May 28, 2017",0.16115,0.165815,0.059892,0.130162,72.0,0.0
"May 29, 2017",0.129899,0.13927,0.044184,0.04682,29.0,0.0
"May 30, 2017",0.046874,0.064007,0.039918,0.063764,20.0,0.0
"May 31, 2017",0.064014,0.140961,0.040287,0.124244,10.0,0.0
"Jun 01, 2017",0.124232,0.159112,0.039501,0.095373,97.0,0.0
"Jun 02, 2017",0.095416,0.502504,0.039147,0.247916,25360.0,0.0
"Jun 03, 2017",0.247807,0.423984,0.125672,0.303989,4988.0,0.0
"Jun 04, 2017",0.303168,0.303168,0.150843,0.151261,3421.0,0.0
"Jun 05, 2017",0.151289,0.255172,0.130294,0.139807,1785.0,0.0
"Jun 06, 2017",0.140231,0.180515,0.112948,0.120377,544.0,0.0
"Jun 07, 2017",0.120407,0.199272,0.117205,0.199272,47.0,0.0
"Jun 08, 2017",0.200274,0.208805,0.133821,0.195872,47.0,0.0
"Jun 09, 2017",0.195563,0.227721,0.137935,0.147145,98.0,0.0
"Jun 10, 2017",0.147366,0.240052,0.089449,0.095802,39.0,0.0
"Jun 11, 2017",0.095747,0.23431,0.072945,0.073425,130.0,0.0
"Jun 12, 2017",0.073328,0.073539,0.048884,0.054169,180.0,0.0
"Jun 13, 2017",0.053988,0.133299,0.031335,0.031431,173.0,0.0
"Jun 14, 2017",0.031412,0.123632,0.03025,0.119139,7.0,0.0
"Jun 15, 2017",0.119133,0.121411,0.030617,0.060389,13.0,0.0
"Jun 16, 2017",0.060345,0.06245,0.043867,0.043867,17.0,0.0
"Jun 17, 2017",0.043867,0.119704,0.043867,0.054881,2.0,0.0
