datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.004384,0.005402,0.00364,0.004978,163.0,25279.0
"Jan 02, 2017",0.005138,0.005854,0.004932,0.005496,518.0,29634.0
"Jan 03, 2017",0.005612,0.005853,0.004593,0.004633,133.0,32380.0
"Jan 04, 2017",0.004632,0.005824,0.004258,0.005435,141.0,26732.0
"Jan 05, 2017",0.005441,0.006094,0.004242,0.004791,196.0,31406.0
"Jan 06, 2017",0.004804,0.004935,0.003914,0.004198,105.0,27737.0
"Jan 07, 2017",0.004204,0.004737,0.003903,0.004649,99.0,24278.0
"Jan 08, 2017",0.004649,0.004989,0.004537,0.004577,149.0,26852.0
"Jan 09, 2017",0.004583,0.005166,0.004407,0.004596,85.0,26479.0
"Jan 10, 2017",0.004594,0.004862,0.00447,0.004703,166.0,26547.0
"Jan 11, 2017",0.004704,0.004866,0.003536,0.004124,101.0,27188.0
"Jan 12, 2017",0.004118,0.004438,0.003783,0.004152,169.0,23811.0
"Jan 13, 2017",0.00415,0.004299,0.003867,0.004269,136.0,23997.0
"Jan 14, 2017",0.004275,0.004321,0.00386,0.004238,287.0,24727.0
"Jan 15, 2017",0.004236,0.004262,0.003861,0.004117,164.0,24511.0
"Jan 16, 2017",0.004117,0.004305,0.004036,0.004122,193.0,23824.0
"Jan 17, 2017",0.004123,0.004766,0.004105,0.004444,143.0,23866.0
"Jan 18, 2017",0.004447,0.00499,0.004398,0.004804,151.0,25749.0
"Jan 19, 2017",0.004824,0.004877,0.003864,0.004587,280.0,27933.0
"Jan 20, 2017",0.004585,0.004629,0.004351,0.004405,13.0,26559.0
"Jan 21, 2017",0.004405,0.004744,0.004405,0.004691,112.0,25524.0
"Jan 22, 2017",0.004691,0.005035,0.004432,0.004432,34.0,27186.0
"Jan 23, 2017",0.004436,0.004828,0.004051,0.004398,2014.0,25714.0
"Jan 24, 2017",0.004141,0.004866,0.004125,0.004697,1142.0,24009.0
"Jan 25, 2017",0.0047,0.005848,0.003811,0.004517,5125.0,27259.0
"Jan 26, 2017",0.004518,0.005494,0.004271,0.005267,1802.0,26210.0
"Jan 27, 2017",0.005267,0.00621,0.004872,0.006209,1272.0,30558.0
"Jan 28, 2017",0.006209,0.00648,0.005212,0.006158,229.0,36034.0
"Jan 29, 2017",0.006158,0.006668,0.005893,0.006342,1198.0,35746.0
"Jan 30, 2017",0.006354,0.007964,0.005056,0.006132,1538.0,36893.0
"Jan 31, 2017",0.006121,0.007167,0.006121,0.007156,201.0,35547.0
"Feb 01, 2017",0.007155,0.008183,0.006254,0.008044,7253.0,41564.0
"Feb 02, 2017",0.008043,0.008067,0.005844,0.006966,1266.0,46733.0
"Feb 03, 2017",0.006964,0.008889,0.006846,0.007625,1470.0,40472.0
"Feb 04, 2017",0.007631,0.009158,0.007462,0.008733,2169.0,44360.0
"Feb 05, 2017",0.008739,0.00956,0.008207,0.008835,3087.0,50813.0
"Feb 06, 2017",0.008845,0.009605,0.007925,0.008468,2953.0,51440.0
"Feb 07, 2017",0.008484,0.008674,0.00847,0.00847,605.0,49357.0
"Feb 08, 2017",0.008477,0.008979,0.007304,0.007358,1795.0,49327.0
"Feb 09, 2017",0.007369,0.008601,0.006815,0.007449,893.0,42888.0
"Feb 10, 2017",0.007459,0.007842,0.006618,0.007324,1336.0,43420.0
"Feb 11, 2017",0.007326,0.009282,0.007204,0.008644,292.0,42656.0
"Feb 12, 2017",0.008636,0.00882,0.007362,0.008082,1616.0,50296.0
"Feb 13, 2017",0.008079,0.008647,0.00742,0.008482,602.0,47066.0
"Feb 14, 2017",0.008491,0.009168,0.008309,0.008684,1380.0,49477.0
"Feb 15, 2017",0.008698,0.009623,0.008492,0.009044,568.0,50697.0
"Feb 16, 2017",0.009046,0.009267,0.008435,0.008715,291.0,52734.0
"Feb 17, 2017",0.008704,0.00984,0.00848,0.009358,2004.0,50754.0
"Feb 18, 2017",0.009385,0.009385,0.008405,0.008824,361.0,54737.0
"Feb 19, 2017",0.008827,0.011111,0.008639,0.010185,827.0,51492.0
"Feb 20, 2017",0.010193,0.012087,0.010122,0.010984,1087.0,59477.0
"Feb 21, 2017",0.010977,0.011953,0.009691,0.011226,451.0,64064.0
"Feb 22, 2017",0.011221,0.01176,0.009415,0.010507,639.0,65505.0
"Feb 23, 2017",0.010506,0.01192,0.010037,0.01151,363.0,61345.0
"Feb 24, 2017",0.011569,0.011953,0.01055,0.011116,305.0,67567.0
"Feb 25, 2017",0.011085,0.011738,0.009669,0.010413,270.0,64757.0
"Feb 26, 2017",0.010417,0.012918,0.010406,0.012085,2699.0,60872.0
"Feb 27, 2017",0.012071,0.012126,0.010986,0.011364,457.0,70550.0
"Feb 28, 2017",0.011372,0.01185,0.011099,0.011816,291.0,66480.0
"Mar 01, 2017",0.011817,0.011904,0.010998,0.011904,1302.0,69100.0
"Mar 02, 2017",0.011922,0.014544,0.011881,0.013166,1197.0,69732.0
"Mar 03, 2017",0.013162,0.01514,0.012879,0.013936,684.0,77004.0
"Mar 04, 2017",0.013963,0.01414,0.011648,0.014134,551.0,81705.0
"Mar 05, 2017",0.014124,0.014163,0.012257,0.013306,892.0,82667.0
"Mar 06, 2017",0.013309,0.013847,0.011915,0.013093,1278.0,77917.0
"Mar 07, 2017",0.013028,0.013109,0.011308,0.011409,513.0,76287.0
"Mar 08, 2017",0.011403,0.011466,0.010737,0.010954,119.0,66790.0
"Mar 09, 2017",0.010957,0.011983,0.01087,0.011557,168.0,64191.0
"Mar 10, 2017",0.011565,0.012621,0.010348,0.010749,665.0,67769.0
"Mar 11, 2017",0.010745,0.012113,0.010745,0.012113,790.0,62981.0
"Mar 12, 2017",0.012121,0.013078,0.011454,0.012315,439.0,71060.0
"Mar 13, 2017",0.012319,0.012494,0.012034,0.012454,254.0,72234.0
"Mar 14, 2017",0.012456,0.012784,0.010269,0.011526,670.0,73058.0
"Mar 15, 2017",0.011528,0.012113,0.010105,0.010551,537.0,67627.0
"Mar 16, 2017",0.010565,0.010597,0.009425,0.009651,129.0,61994.0
"Mar 17, 2017",0.009576,0.009576,0.008515,0.008701,107.0,56202.0
"Mar 18, 2017",0.008769,0.009165,0.007778,0.007986,176.0,51481.0
"Mar 19, 2017",0.00801,0.008808,0.007721,0.008423,252.0,47032.0
"Mar 20, 2017",0.008427,0.009976,0.007184,0.008986,1946.0,49493.0
