datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,3.7e-05,4e-05,3.7e-05,4e-05,1.0,20098.0
2017-1-02,4e-05,4.1e-05,4e-05,4.1e-05,2.0,21725.0
2017-1-03,4.1e-05,4.2e-05,4.1e-05,4.2e-05,1.0,22430.0
2017-1-04,4.2e-05,4.6e-05,4.2e-05,4.6e-05,2.0,22961.0
2017-1-05,4.6e-05,4.9e-05,3.5e-05,4.9e-05,2.0,25248.0
2017-1-06,4.9e-05,4.9e-05,3.5e-05,3.6e-05,2.0,26725.0
2017-1-07,3.6e-05,4.5e-05,3.3e-05,3.6e-05,2.0,19772.0
2017-1-08,3.6e-05,3.8e-05,3.5e-05,3.6e-05,1.0,19893.0
2017-1-09,3.6e-05,3.7e-05,3.5e-05,3.6e-05,1.0,19952.0
2017-1-10,3.6e-05,3.8e-05,3.6e-05,3.6e-05,2.0,19772.0
2017-1-11,3.6e-05,4.6e-05,3.1e-05,3.1e-05,4.0,19849.0
2017-1-12,3.1e-05,3.4e-05,3e-05,3.2e-05,2.0,17057.0
2017-1-13,3.2e-05,3.3e-05,3.1e-05,3.3e-05,1.0,17688.0
2017-1-14,3.3e-05,4.1e-05,3.3e-05,3.4e-05,2.0,18073.0
2017-1-15,3.4e-05,3.4e-05,3.3e-05,3.3e-05,5.0,18671.0
2017-1-16,3.3e-05,3.3e-05,3.3e-05,3.3e-05,0.0,18006.0
2017-1-17,3.3e-05,4.4e-05,3.3e-05,3.6e-05,1.0,18221.0
2017-1-18,3.6e-05,4.6e-05,3.5e-05,3.7e-05,0.0,19556.0
2017-1-19,3.7e-05,4.6e-05,3.5e-05,3.6e-05,2.0,20394.0
2017-1-20,3.6e-05,3.6e-05,3.5e-05,3.6e-05,3.0,19672.0
2017-1-21,3.6e-05,4.6e-05,3.6e-05,3.8e-05,1.0,19557.0
2017-1-22,3.8e-05,4.5e-05,3.7e-05,3.8e-05,1.0,20936.0
2017-1-23,3.8e-05,9.2e-05,3.7e-05,5.5e-05,153.0,20712.0
2017-1-24,5.5e-05,5.5e-05,5.1e-05,5.3e-05,2.0,30288.0
2017-1-25,5.3e-05,5.4e-05,5.3e-05,5.4e-05,4.0,29322.0
2017-1-26,5.4e-05,5.4e-05,4.5e-05,4.6e-05,5.0,29653.0
2017-1-27,4.6e-05,4.6e-05,4.6e-05,4.6e-05,2.0,25235.0
2017-1-28,4.6e-05,4.7e-05,4.6e-05,4.6e-05,1.0,25314.0
2017-1-29,4.6e-05,7.3e-05,4.5e-05,6.4e-05,13.0,25340.0
2017-1-30,6.4e-05,7.4e-05,5.5e-05,5.5e-05,3.0,35095.0
2017-1-31,5.5e-05,5.5e-05,4.6e-05,4.9e-05,2.0,30088.0
2017-2-01,4.9e-05,7.7e-05,4.9e-05,6.2e-05,10.0,26690.0
2017-2-02,6.2e-05,6.3e-05,5.9e-05,6.1e-05,69.0,34122.0
2017-2-03,6.1e-05,6.2e-05,6.1e-05,6.2e-05,2.0,33295.0
2017-2-04,6.2e-05,6.3e-05,6.1e-05,6.3e-05,1.0,34026.0
2017-2-05,6.3e-05,9.3e-05,6.1e-05,8.4e-05,22.0,34383.0
2017-2-06,8.4e-05,8.7e-05,7.3e-05,7.3e-05,2.0,46194.0
2017-2-07,7.3e-05,8.5e-05,7.3e-05,8.5e-05,8.0,40021.0
2017-2-08,8.5e-05,0.000107,8.3e-05,0.000106,66.0,46637.0
2017-2-09,0.000106,0.000176,8.6e-05,0.000119,1145.0,58408.0
2017-2-10,0.00012,0.000127,8.7e-05,8.9e-05,18.0,65597.0
