datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.000453,0.00054,0.000453,0.000469,740.0,44381.0
2017-1-02,0.000469,0.000495,0.000468,0.00047,613.0,46034.0
2017-1-03,0.00047,0.000487,0.000457,0.000487,635.0,46222.0
2017-1-04,0.000467,0.00055,0.000467,0.000531,563.0,45926.0
2017-1-05,0.000532,0.000544,0.000372,0.000448,3869.0,52418.0
2017-1-06,0.000466,0.000488,0.00034,0.000378,1812.0,46005.0
2017-1-07,0.000378,0.000401,0.000335,0.000391,485.0,37395.0
2017-1-08,0.000391,0.000405,0.000372,0.000373,569.0,38657.0
2017-1-09,0.000374,0.000387,0.000365,0.000379,545.0,37040.0
2017-1-10,0.000379,0.000384,0.000372,0.000381,495.0,37659.0
2017-1-11,0.000381,0.000386,0.000316,0.000327,486.0,37922.0
2017-1-12,0.000327,0.000362,0.00031,0.000353,443.0,32562.0
2017-1-13,0.000353,0.000356,0.000323,0.000346,525.0,35176.0
2017-1-14,0.000346,0.00038,0.000343,0.000368,610.0,34582.0
2017-1-15,0.000352,0.000362,0.000335,0.000337,538.0,35224.0
2017-1-16,0.000337,0.000383,0.000336,0.000366,428.0,33765.0
2017-1-17,0.000366,0.00041,0.000357,0.000408,533.0,36733.0
2017-1-18,0.000408,0.000413,0.000378,0.00038,531.0,41046.0
2017-1-19,0.000381,0.001633,0.00038,0.001096,23158.0,38391.0
2017-1-20,0.00114,0.001594,0.000613,0.001112,9094.0,114980.0
2017-1-21,0.001109,0.001278,0.000806,0.001083,8080.0,112044.0
2017-1-22,0.001083,0.001111,0.000715,0.000916,2318.0,109519.0
2017-1-23,0.000884,0.000934,0.000539,0.00064,1420.0,89575.0
2017-1-24,0.00064,0.00064,0.000463,0.000511,729.0,64888.0
2017-1-25,0.000511,0.000589,0.000459,0.000586,675.0,51978.0
2017-1-26,0.000589,0.000589,0.000444,0.000514,629.0,59900.0
2017-1-27,0.000516,0.000582,0.000514,0.000516,605.0,52553.0
2017-1-28,0.000516,0.000602,0.000515,0.000563,880.0,52653.0
2017-1-29,0.000563,0.000572,0.000517,0.000542,588.0,57557.0
2017-1-30,0.000533,0.000571,0.000479,0.000552,609.0,54601.0
2017-1-31,0.000552,0.000563,0.000457,0.000553,587.0,56617.0
2017-2-01,0.000553,0.000588,0.000487,0.000583,608.0,56822.0
2017-2-02,0.000583,0.000615,0.000536,0.000606,579.0,59957.0
2017-2-03,0.000606,0.000636,0.000563,0.000618,655.0,62390.0
2017-2-04,0.000619,0.00062,0.000547,0.000574,607.0,63826.0
2017-2-05,0.000575,0.000576,0.000538,0.000544,614.0,59378.0
2017-2-06,0.000545,0.000551,0.000519,0.000546,494.0,56409.0
2017-2-07,0.000547,0.000563,0.000528,0.000531,640.0,56713.0
2017-2-08,0.000531,0.000561,0.000479,0.00051,628.0,55131.0
2017-2-09,0.000511,0.00055,0.000459,0.000477,784.0,53129.0
2017-2-10,0.000478,0.000481,0.000439,0.000465,590.0,49738.0
2017-2-11,0.000465,0.000493,0.000452,0.000452,866.0,48468.0
2017-2-12,0.000451,0.000491,0.000441,0.00047,598.0,47153.0
2017-2-13,0.000469,0.000476,0.00043,0.000465,542.0,49115.0
2017-2-14,0.000466,0.000585,0.000437,0.000543,948.0,48801.0
2017-2-15,0.000544,0.000551,0.000483,0.000534,649.0,57079.0
2017-2-16,0.000534,0.00055,0.000497,0.000514,594.0,56112.0
2017-2-17,0.000513,0.000558,0.000513,0.000554,640.0,54000.0
2017-2-18,0.000556,0.000562,0.000525,0.000558,946.0,58603.0
2017-2-19,0.000559,0.00056,0.000523,0.000525,696.0,58967.0
2017-2-20,0.000525,0.00054,0.000498,0.00054,810.0,55501.0
2017-2-21,0.00054,0.000547,0.000507,0.000546,729.0,57142.0
2017-2-22,0.000546,0.00055,0.000501,0.000525,839.0,57933.0
2017-2-23,0.000525,0.00053,0.000503,0.000514,696.0,55783.0
2017-2-24,0.000516,0.000528,0.000465,0.000517,696.0,54916.0
2017-2-25,0.000516,0.000518,0.00049,0.000492,750.0,54963.0
2017-2-26,0.000492,0.000492,0.000464,0.000489,574.0,52487.0
2017-2-27,0.000488,0.000492,0.000467,0.000483,677.0,52171.0
2017-2-28,0.000484,0.000489,0.000447,0.000484,747.0,51825.0
2017-3-01,0.000448,0.000509,0.000448,0.000465,784.0,48078.0
2017-3-02,0.000466,0.000526,0.000466,0.000501,960.0,50044.0
2017-3-03,0.000501,0.000536,0.000489,0.000536,862.0,53830.0
2017-3-04,0.000536,0.000538,0.000497,0.000527,1110.0,57782.0
2017-3-05,0.000527,0.000527,0.000504,0.000507,857.0,56814.0
2017-3-06,0.000507,0.00051,0.000495,0.000509,831.0,54764.0
2017-3-07,0.000509,0.000535,0.000482,0.000526,780.0,55099.0
2017-3-08,0.000526,0.00053,0.000482,0.000482,786.0,56990.0
2017-3-09,0.000483,0.000537,0.000471,0.000523,765.0,52366.0
2017-3-10,0.000523,0.000569,0.000445,0.000458,575.0,56797.0
2017-3-11,0.000458,0.000545,0.000458,0.000541,750.0,49818.0
2017-3-12,0.000541,0.000577,0.000518,0.000574,767.0,59011.0
2017-3-13,0.000574,0.000577,0.000548,0.000567,823.0,62667.0
