datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.146982,0.148094,0.139418,0.1438,169739.0,13544000.0
2017-7-29,0.143468,0.143756,0.128705,0.136558,121372.0,13220200.0
2017-7-30,0.136658,0.137561,0.1274,0.127919,118411.0,12592700.0
2017-7-31,0.128051,0.129653,0.12661,0.128554,116785.0,11799600.0
2017-8-01,0.128637,0.157755,0.127249,0.151162,173979.0,11853600.0
2017-8-02,0.1496,0.153584,0.135688,0.143194,156319.0,13785200.0
2017-8-03,0.143237,0.155755,0.14092,0.154761,132865.0,13199000.0
2017-8-04,0.154904,0.166917,0.154904,0.16224,169580.0,14274000.0
2017-8-05,0.162391,0.178647,0.162391,0.175215,167313.0,14963900.0
2017-8-06,0.175615,0.178608,0.170437,0.172526,171799.0,16182500.0
2017-8-07,0.172184,0.267455,0.169547,0.231887,515786.0,15866300.0
2017-8-08,0.239324,0.308934,0.225958,0.276975,944973.0,22053100.0
2017-8-09,0.280509,0.29045,0.231871,0.263863,584446.0,25848200.0
2017-8-10,0.265353,0.278492,0.218494,0.225037,657325.0,24451600.0
2017-8-11,0.224002,0.319042,0.219256,0.29336,671340.0,20641300.0
2017-8-12,0.293098,0.359584,0.292818,0.314304,931732.0,27008200.0
2017-8-13,0.313765,0.31455,0.260745,0.269876,430748.0,28912600.0
2017-8-14,0.270108,0.300394,0.230738,0.282052,541586.0,24889800.0
2017-8-15,0.282842,0.335272,0.231147,0.24281,960621.0,26063200.0
2017-8-16,0.24258,0.248876,0.217221,0.237922,554269.0,22353200.0
2017-8-17,0.236798,0.242928,0.217949,0.232422,512334.0,21820400.0
2017-8-18,0.231795,0.261904,0.212388,0.217956,488797.0,21359300.0
2017-8-19,0.218232,0.235925,0.211622,0.223084,258933.0,20109500.0
2017-8-20,0.22586,0.247251,0.215796,0.238873,252675.0,20812400.0
2017-8-21,0.238361,0.240491,0.217359,0.230608,336923.0,21964400.0
2017-8-22,0.230463,0.231358,0.203079,0.214267,224198.0,21236600.0
2017-8-23,0.213794,0.242793,0.213586,0.232491,410362.0,19700600.0
2017-8-24,0.234234,0.248865,0.233297,0.247631,329413.0,21584100.0
2017-8-25,0.248161,0.293764,0.232886,0.28683,786927.0,22867400.0
2017-8-26,0.287404,0.287733,0.250358,0.257206,451463.0,26483600.0
