datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.001773,0.002008,0.001511,0.001796,197.0,56899.0
"Jan 02, 2017",0.001797,0.001851,0.001228,0.001247,31.0,57659.0
"Jan 03, 2017",0.001247,0.001263,0.001246,0.001262,23.0,39997.0
"Jan 04, 2017",0.001653,0.001739,0.001628,0.00173,577.0,53028.0
"Jan 05, 2017",0.001732,0.001787,0.001366,0.001453,484.0,55577.0
"Jan 06, 2017",0.001265,0.001314,0.001152,0.0012,460.0,40594.0
"Jan 07, 2017",0.001202,0.001363,0.001095,0.001363,466.0,38557.0
"Jan 08, 2017",0.001363,0.001413,0.001331,0.001365,450.0,43730.0
"Jan 09, 2017",0.001367,0.001452,0.00132,0.001355,460.0,43856.0
"Jan 10, 2017",0.001354,0.001372,0.00114,0.001361,454.0,43453.0
"Jan 11, 2017",0.001362,0.001379,0.001144,0.001168,397.0,43687.0
"Jan 12, 2017",0.001167,0.001239,0.001097,0.001208,413.0,37434.0
"Jan 13, 2017",0.001207,0.001241,0.001163,0.001168,421.0,38737.0
"Jan 14, 2017",0.00117,0.001261,0.000992,0.001228,405.0,37543.0
"Jan 15, 2017",0.001228,0.001276,0.001063,0.0012,412.0,39390.0
"Jan 16, 2017",0.0012,0.001239,0.001161,0.001205,434.0,38499.0
"Jan 17, 2017",0.001206,0.001396,0.001205,0.001361,487.0,38687.0
"Jan 18, 2017",0.001362,0.001621,0.001305,0.001324,527.0,43699.0
"Jan 19, 2017",0.00133,0.001625,0.001214,0.00143,459.0,42673.0
"Jan 20, 2017",0.00143,0.003145,0.001386,0.002784,1206.0,45869.0
"Jan 21, 2017",0.002784,0.003043,0.002211,0.002913,104.0,89314.0
"Jan 22, 2017",0.002913,0.002963,0.001896,0.00206,210.0,93463.0
"Jan 23, 2017",0.002062,0.004659,0.001883,0.00317,797.0,66163.0
"Jan 24, 2017",0.003168,0.004134,0.003105,0.003578,372.0,101659.0
"Jan 25, 2017",0.00358,0.005209,0.002346,0.005164,858.0,114859.0
"Jan 26, 2017",0.005166,0.005171,0.001368,0.00289,959.0,165754.0
"Jan 27, 2017",0.00289,0.003102,0.002789,0.002906,13.0,92743.0
"Jan 28, 2017",0.002906,0.002913,0.002662,0.002774,476.0,93257.0
"Jan 29, 2017",0.002774,0.002871,0.002656,0.002657,495.0,89008.0
"Jan 30, 2017",0.002657,0.002778,0.002657,0.002771,471.0,85265.0
"Jan 31, 2017",0.00277,0.002823,0.002194,0.002378,635.0,88891.0
"Feb 01, 2017",0.002377,0.002473,0.002377,0.002473,390.0,76286.0
"Feb 02, 2017",0.002473,0.002949,0.002445,0.00254,7.0,79336.0
"Feb 03, 2017",0.002539,0.002655,0.002444,0.002647,127.0,81460.0
"Feb 04, 2017",0.002651,0.002667,0.002538,0.002659,518.0,85046.0
"Feb 05, 2017",0.002661,0.002661,0.002556,0.002568,527.0,85382.0
"Feb 06, 2017",0.002571,0.003479,0.00257,0.002876,646.0,82495.0
"Feb 07, 2017",0.002881,0.002973,0.002881,0.002972,654.0,92448.0
"Feb 08, 2017",0.002975,0.003053,0.002905,0.002977,584.0,95442.0
"Feb 09, 2017",0.002981,0.003049,0.002601,0.002705,519.0,95655.0
"Feb 10, 2017",0.002708,0.003546,0.002619,0.003015,498.0,86894.0
"Feb 11, 2017",0.003016,0.003109,0.002994,0.003094,509.0,96778.0
"Feb 12, 2017",0.003091,0.003091,0.002607,0.002798,504.0,99175.0
"Feb 13, 2017",0.002797,0.002878,0.002703,0.002704,501.0,89742.0
"Feb 14, 2017",0.002707,0.002801,0.002602,0.002612,536.0,86873.0
"Feb 15, 2017",0.002616,0.002684,0.002584,0.00268,535.0,83943.0
"Feb 16, 2017",0.00268,0.002738,0.00268,0.002723,539.0,86003.0
"Feb 17, 2017",0.002719,0.002927,0.002656,0.002835,545.0,87251.0
