datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.06939,0.078844,0.053969,0.056035,2560.0,252607.0
"Jan 02, 2017",0.056065,0.06703,0.055974,0.066406,196.0,204122.0
"Jan 03, 2017",0.066404,0.067267,0.059055,0.065381,397.0,241786.0
"Jan 04, 2017",0.065366,0.072528,0.065366,0.069893,184.0,238024.0
"Jan 05, 2017",0.069965,0.073176,0.056027,0.062194,71.0,254779.0
"Jan 06, 2017",0.062363,0.068995,0.053632,0.063605,383.0,227109.0
"Jan 07, 2017",0.063696,0.081395,0.055118,0.081395,10603.0,231969.0
"Jan 08, 2017",0.081396,0.083559,0.072608,0.081529,1899.0,296436.0
"Jan 09, 2017",0.081643,0.090984,0.079786,0.089734,8997.0,297387.0
"Jan 10, 2017",0.089687,0.090594,0.074504,0.074504,2891.0,326713.0
"Jan 11, 2017",0.074511,0.083036,0.062452,0.06478,1696.0,271444.0
"Jan 12, 2017",0.064686,0.065405,0.060491,0.063541,49.0,235661.0
"Jan 13, 2017",0.063501,0.070614,0.057745,0.07009,545.0,231359.0
"Jan 14, 2017",0.070187,0.071133,0.061346,0.067233,481.0,255734.0
"Jan 15, 2017",0.067208,0.076824,0.060538,0.074121,2909.0,244893.0
"Jan 16, 2017",0.074118,0.084818,0.072673,0.083698,1936.0,270083.0
"Jan 17, 2017",0.083719,0.091219,0.069304,0.082929,664.0,305080.0
"Jan 18, 2017",0.082983,0.091946,0.078543,0.0808,45.0,302407.0
"Jan 19, 2017",0.081134,0.121974,0.081134,0.120538,15065.0,295682.0
"Jan 20, 2017",0.121261,0.161434,0.100669,0.135157,51026.0,441937.0
"Jan 21, 2017",0.135155,0.147886,0.126673,0.135193,36151.0,492620.0
"Jan 22, 2017",0.13519,0.167676,0.135033,0.157042,57889.0,492778.0
"Jan 23, 2017",0.157223,0.214587,0.156243,0.213863,71313.0,573119.0
"Jan 24, 2017",0.213726,0.213726,0.169629,0.181751,26391.0,779171.0
"Jan 25, 2017",0.169639,0.234185,0.155788,0.234185,45635.0,618484.0
"Jan 26, 2017",0.234249,0.258679,0.22184,0.257905,23746.0,854087.0
"Jan 27, 2017",0.240219,0.347333,0.238522,0.318065,90784.0,875893.0
"Jan 28, 2017",0.28476,0.329804,0.270775,0.329779,73235.0,1038430.0
"Feb 09, 2017",0.040928,0.041653,0.038998,0.041653,87715.0,0.0
"Feb 10, 2017",0.041694,0.042263,0.028722,0.030073,86479.0,0.0
"Feb 11, 2017",0.030676,0.045707,0.027342,0.042478,50235.0,0.0
"Feb 12, 2017",0.042228,0.063328,0.039946,0.061939,128272.0,1529660.0
"Feb 13, 2017",0.06262,0.065129,0.054481,0.054485,111901.0,2268840.0
"Feb 14, 2017",0.058135,0.061227,0.049598,0.058415,73282.0,2106810.0
"Feb 15, 2017",0.058511,0.06325,0.056114,0.058696,30543.0,2120880.0
"Feb 16, 2017",0.058706,0.062935,0.041389,0.051156,79134.0,2128410.0
"Feb 17, 2017",0.05109,0.0566,0.042603,0.044202,28136.0,1852720.0
"Feb 18, 2017",0.044329,0.049367,0.038199,0.044634,27589.0,1607880.0
"Feb 19, 2017",0.044648,0.046086,0.040124,0.041705,21304.0,1619800.0
"Feb 20, 2017",0.041738,0.046375,0.041693,0.044667,29290.0,1514560.0
"Feb 21, 2017",0.044617,0.046383,0.038695,0.039805,18946.0,1619400.0
"Feb 22, 2017",0.039787,0.041421,0.034618,0.036429,23507.0,1444400.0
"Feb 23, 2017",0.036423,0.044552,0.036423,0.039715,18950.0,1322550.0
"Feb 24, 2017",0.039919,0.044026,0.037124,0.037581,30656.0,1449800.0
"Feb 25, 2017",0.037477,0.040066,0.036018,0.037804,14943.0,1361400.0
"Feb 26, 2017",0.037818,0.049989,0.037325,0.049381,21152.0,1374100.0
"Feb 27, 2017",0.049321,0.049342,0.044573,0.044839,14716.0,1792480.0
"Feb 28, 2017",0.044903,0.047055,0.037312,0.041028,15022.0,1632270.0
"Mar 01, 2017",0.04103,0.044538,0.038039,0.042702,25289.0,1491800.0
"Mar 02, 2017",0.042778,0.04327,0.039498,0.041696,19417.0,1555690.0
"Mar 03, 2017",0.041686,0.042713,0.040118,0.040417,10050.0,1516300.0
"Mar 04, 2017",0.040495,0.041619,0.038835,0.039738,7615.0,1473260.0
"Mar 05, 2017",0.039711,0.043055,0.038223,0.041688,15725.0,1445070.0
"Mar 06, 2017",0.0417,0.043132,0.03883,0.040298,8067.0,1517760.0
"Mar 07, 2017",0.04031,0.040355,0.036144,0.037783,10258.0,1467490.0
"Mar 08, 2017",0.037773,0.038271,0.032211,0.032211,7962.0,1375450.0
"Mar 09, 2017",0.032221,0.034218,0.032011,0.033884,987.0,1173550.0
"Mar 10, 2017",0.033909,0.035826,0.026213,0.033524,22933.0,1235300.0
"Mar 11, 2017",0.033512,0.040561,0.03259,0.036839,7454.0,1221110.0
"Mar 12, 2017",0.036864,0.041222,0.036859,0.040184,30448.0,1343540.0
"Mar 13, 2017",0.040183,0.042526,0.036319,0.042514,18815.0,1464850.0
"Mar 14, 2017",0.042522,0.043133,0.038257,0.040414,48207.0,1550410.0
"Mar 15, 2017",0.040417,0.047263,0.040417,0.04726,8080.0,1473980.0
"Mar 16, 2017",0.047325,0.054982,0.044454,0.053451,58508.0,1726310.0
"Mar 17, 2017",0.053107,0.062113,0.048768,0.054736,83470.0,1937630.0
"Mar 18, 2017",0.054736,0.054736,0.032733,0.038076,17106.0,1997360.0
"Mar 19, 2017",0.03819,0.049086,0.035389,0.047545,16559.0,1393980.0
"Mar 20, 2017",0.047568,0.052973,0.041839,0.04772,24862.0,1736650.0
"Mar 21, 2017",0.047771,0.063701,0.042552,0.063408,59540.0,1744450.0
"Mar 22, 2017",0.063414,0.074994,0.053557,0.059453,52958.0,2316170.0
"Mar 23, 2017",0.059494,0.071374,0.057629,0.066327,77713.0,2173450.0
"Mar 24, 2017",0.066318,0.06762,0.055758,0.058969,44923.0,2423280.0
"Mar 25, 2017",0.058907,0.072842,0.057561,0.0681,69347.0,2152960.0
