datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",2.9e-05,3e-05,2.9e-05,3e-05,0.0,0.0
"Jan 02, 2017",3e-05,3.1e-05,3e-05,3.1e-05,0.0,0.0
"Jan 03, 2017",2.1e-05,2.1e-05,2e-05,2.1e-05,2.0,0.0
"Jan 04, 2017",2.1e-05,2.2e-05,2.1e-05,2.2e-05,1.0,0.0
"Jan 07, 2017",2.6e-05,2.7e-05,2.6e-05,2.7e-05,2.0,0.0
"Jan 08, 2017",2.7e-05,3.6e-05,1.8e-05,2.7e-05,2.0,0.0
"Jan 09, 2017",2.7e-05,2.7e-05,2.6e-05,2.7e-05,0.0,0.0
"Jan 10, 2017",2.7e-05,2.7e-05,2.7e-05,2.7e-05,0.0,0.0
"Jan 11, 2017",3.7e-05,0.000163,3.1e-05,7.8e-05,1545.0,0.0
"Jan 12, 2017",0.000117,0.000231,3.8e-05,6.4e-05,389.0,0.0
"Jan 13, 2017",6.4e-05,7.2e-05,5.6e-05,6.6e-05,24.0,0.0
"Jan 14, 2017",6.6e-05,0.000124,5.7e-05,5.7e-05,64.0,0.0
"Jan 15, 2017",5.7e-05,0.000115,5.7e-05,6.6e-05,71.0,0.0
"Jan 16, 2017",6.6e-05,9.2e-05,6.6e-05,6.7e-05,15.0,0.0
"Jan 17, 2017",6.7e-05,7.3e-05,6.6e-05,7.3e-05,2.0,0.0
"Jan 18, 2017",7.3e-05,7.3e-05,6e-05,6.2e-05,43.0,0.0
"Jan 19, 2017",6.2e-05,9.9e-05,6.2e-05,9.9e-05,6.0,0.0
"Jan 20, 2017",9.9e-05,9.9e-05,8.9e-05,9e-05,3.0,0.0
"Jan 21, 2017",9e-05,9.2e-05,9e-05,9.2e-05,0.0,0.0
"Jan 22, 2017",9.2e-05,9.3e-05,7.2e-05,7.4e-05,52.0,0.0
"Jan 23, 2017",7.4e-05,9.3e-05,6.4e-05,9.2e-05,4.0,0.0
"Jan 24, 2017",9.1e-05,9.2e-05,8.2e-05,8.9e-05,20.0,0.0
"Jan 25, 2017",8.9e-05,9e-05,8.1e-05,8.1e-05,0.0,0.0
"Jan 26, 2017",8.1e-05,8.3e-05,8.1e-05,8.3e-05,0.0,0.0
"Jan 27, 2017",8.3e-05,0.000101,8.2e-05,8.3e-05,20.0,0.0
"Jan 28, 2017",8.3e-05,0.000102,8.3e-05,9.2e-05,0.0,0.0
"Jan 29, 2017",9.2e-05,9.2e-05,9.2e-05,9.2e-05,0.0,0.0
"Jan 30, 2017",9.2e-05,0.000102,9.2e-05,0.000101,0.0,0.0
