datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-7-28,0.052358,0.053193,0.046123,0.046589,103.0,52358.0
2017-7-29,0.045913,0.066943,0.044549,0.066943,0.0,45913.0
2017-7-30,0.067021,0.067638,0.045269,0.045566,4.0,67021.0
2017-7-31,0.046231,0.063853,0.044271,0.058843,2.0,46231.0
2017-8-01,0.058684,0.079606,0.05651,0.075497,11.0,58684.0
2017-8-02,0.076349,0.093036,0.047968,0.052731,36.0,76349.0
2017-8-03,0.052517,0.084567,0.05097,0.081398,13.0,52517.0
2017-8-04,0.081682,0.083794,0.051551,0.051914,19.0,81682.0
2017-8-05,0.051801,0.086654,0.051365,0.080736,40.0,51801.0
2017-8-06,0.080619,0.083769,0.051616,0.051845,4.0,80619.0
2017-8-07,0.051864,0.082245,0.050989,0.070214,8.0,51864.0
2017-8-08,0.070879,0.076809,0.049951,0.050537,8.0,70879.0
2017-8-09,0.050259,0.071798,0.048985,0.070514,110.0,50259.0
2017-8-10,0.07029,0.071811,0.046065,0.065255,16.0,70290.0
2017-8-11,0.065253,0.156596,0.060205,0.149434,75.0,65253.0
2017-8-12,0.150404,0.157929,0.141245,0.14962,13.0,150404.0
2017-8-13,0.150929,0.153299,0.126975,0.137525,12.0,150929.0
2017-8-15,0.05626,0.077383,0.052133,0.071363,4.0,56260.0
2017-8-16,0.07104,0.186574,0.042062,0.042318,2.0,71040.0
2017-8-17,0.042144,0.157589,0.038856,0.145265,3.0,42144.0
2017-8-18,0.144652,0.149031,0.032237,0.032899,0.0,144652.0
2017-8-19,0.03308,0.03438,0.029786,0.031647,0.0,33080.0
2017-8-20,0.031515,0.035559,0.030772,0.035155,0.0,31515.0
2017-8-21,0.034406,0.03671,0.031252,0.03242,0.0,34406.0
2017-8-22,0.032443,0.033358,0.029414,0.032775,0.0,32443.0
2017-8-23,0.032743,0.142178,0.032363,0.138057,25.0,32743.0
2017-8-24,0.13718,0.147584,0.130987,0.145001,1.0,137179.0
2017-8-25,0.144846,0.144846,0.133096,0.13735,1.0,144846.0
2017-8-26,0.137601,0.140281,0.126083,0.133701,394.0,137601.0
