datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 05, 2017",0.007259,0.007504,0.005736,0.006367,1.0,8701.0
"Jan 06, 2017",0.006384,0.006447,0.006384,0.006447,1.0,7652.0
"Jan 14, 2017",0.005832,0.007476,0.005832,0.007368,2.0,6990.0
"Jan 15, 2017",0.007366,0.00741,0.007316,0.007396,0.0,8828.0
"Jan 16, 2017",0.007396,0.007493,0.007382,0.007481,0.0,8865.0
"Jan 19, 2017",0.007146,0.008806,0.007143,0.008806,2.0,8565.0
"Jan 20, 2017",0.008802,0.008802,0.008231,0.008261,16.0,10550.0
"Jan 21, 2017",0.008261,0.008373,0.007242,0.007374,1.0,9902.0
"Jan 22, 2017",0.007374,0.0075,0.007374,0.007486,1.0,8839.0
"Jan 23, 2017",0.008232,0.00828,0.008205,0.008221,1.0,9866.0
"Jan 24, 2017",0.008215,0.008648,0.006567,0.006567,2.0,9847.0
"Jan 25, 2017",0.00657,0.006648,0.006563,0.006633,1.0,7875.0
"Jan 26, 2017",0.008969,0.009178,0.008969,0.009176,1.0,10750.0
"Jan 27, 2017",0.009176,0.009232,0.009158,0.009225,0.0,10998.0
"Jan 29, 2017",0.009009,0.00901,0.008879,0.008883,3.0,10798.0
"Jan 30, 2017",0.008882,0.009332,0.008882,0.009216,0.0,10646.0
"Jan 31, 2017",0.009213,0.009827,0.009213,0.009812,8.0,11043.0
"Feb 01, 2017",0.009811,0.009961,0.004131,0.009219,71.0,11759.0
"Feb 02, 2017",0.009218,0.009276,0.00494,0.008894,1.0,11123.0
"Feb 03, 2017",0.008891,0.009088,0.008867,0.009053,2.0,10731.0
"Feb 04, 2017",0.009065,0.009089,0.006146,0.006403,1.0,10945.0
"Feb 05, 2017",0.006407,0.008976,0.006308,0.008938,1.0,7735.0
"Feb 06, 2017",0.008947,0.009088,0.008778,0.008783,13.0,10802.0
"Feb 07, 2017",0.0088,0.008984,0.0088,0.008984,13.0,10624.0
"Feb 08, 2017",0.008564,0.008621,0.007129,0.007867,1.0,10339.0
"Feb 09, 2017",0.007879,0.008059,0.007055,0.00715,0.0,9512.0
"Feb 10, 2017",0.007301,0.00755,0.006755,0.007514,0.0,8815.0
"Feb 11, 2017",0.007516,0.007664,0.007137,0.007142,1.0,9074.0
"Feb 12, 2017",0.007135,0.007144,0.007088,0.007111,1.0,8614.0
"Feb 13, 2017",0.007096,0.007125,0.006939,0.007043,1.0,8568.0
"Feb 14, 2017",0.007051,0.007202,0.007024,0.007152,1.0,8513.0
"Feb 15, 2017",0.007164,0.007183,0.007162,0.007173,3.0,8649.0
"Feb 16, 2017",0.007174,0.007358,0.007174,0.007353,4.0,8662.0
"Feb 18, 2017",0.00798,0.008219,0.007389,0.007402,2.0,9635.0
"Feb 19, 2017",0.007404,0.010496,0.007375,0.009955,53.0,8939.0
"Feb 20, 2017",0.009963,0.038135,0.009911,0.014079,323.0,12028.0
"Feb 21, 2017",0.014063,0.038851,0.011877,0.023977,142.0,16978.0
"Feb 22, 2017",0.023968,0.038957,0.011165,0.016765,61.0,28937.0
"Feb 23, 2017",0.016759,0.023519,0.016759,0.023493,1.0,20233.0
"Feb 24, 2017",0.023454,0.02355,0.017075,0.017666,3.0,28317.0
"Feb 25, 2017",0.017615,0.019803,0.017509,0.019434,1.0,21266.0
"Feb 26, 2017",0.019434,0.01979,0.017404,0.017495,10.0,23463.0
"Feb 27, 2017",0.017468,0.017603,0.013975,0.014184,5.0,21090.0
"Feb 28, 2017",0.014204,0.015266,0.012635,0.012637,4.0,17149.0
"Mar 01, 2017",0.012638,0.01346,0.012634,0.01346,1.0,15258.0
"Mar 02, 2017",0.01346,0.01369,0.01256,0.012665,17.0,16250.0
"Mar 03, 2017",0.01266,0.014906,0.012657,0.014906,3.0,15285.0
"Mar 04, 2017",0.014933,0.014956,0.014385,0.014631,1.0,18029.0
"Mar 05, 2017",0.014564,0.014815,0.014554,0.014813,0.0,17583.0
"Mar 06, 2017",0.014813,0.014967,0.014783,0.014929,1.0,17883.0
"Mar 07, 2017",0.014935,0.014962,0.014132,0.014368,1.0,18031.0
"Mar 08, 2017",0.018166,0.024578,0.017947,0.023149,33.0,21932.0
"Mar 09, 2017",0.023157,0.023243,0.01382,0.014391,0.0,27957.0
"Mar 10, 2017",0.014393,0.022868,0.014393,0.020101,1.0,17376.0
"Mar 11, 2017",0.020101,0.021178,0.016344,0.017638,1.0,24268.0
"Mar 12, 2017",0.017638,0.017713,0.01455,0.015121,3.0,21294.0
"Mar 13, 2017",0.015121,0.019619,0.015043,0.01519,4.0,18255.0
"Mar 14, 2017",0.01519,0.015311,0.015015,0.015253,2.0,18339.0
"Mar 15, 2017",0.015254,0.015393,0.015249,0.01537,6.0,18416.0
"Mar 16, 2017",0.01537,0.015714,0.014405,0.014848,10.0,18557.0
"Mar 17, 2017",0.014752,0.015249,0.014303,0.014303,1.0,17810.0
"Mar 18, 2017",0.014303,0.014483,0.010439,0.010439,17.0,17268.0
"Mar 19, 2017",0.010439,0.010919,0.010167,0.010544,4.0,12604.0
"Mar 20, 2017",0.010549,0.010822,0.010549,0.010723,1.0,12736.0
"Mar 21, 2017",0.010744,0.011449,0.010744,0.011423,3.0,12971.0
"Mar 22, 2017",0.011431,0.013164,0.010396,0.013114,10.0,13800.0
"Mar 23, 2017",0.013126,0.013427,0.012862,0.013294,1.0,15847.0
"Mar 24, 2017",0.013294,0.013465,0.010799,0.012656,2.0,16050.0
"Mar 25, 2017",0.012656,0.012825,0.0122,0.012807,0.0,15280.0
