datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-02,1e-05,1e-05,1e-05,1e-05,1.0,6855.0
2017-1-03,1e-05,1e-05,1e-05,1e-05,1.0,6971.0
2017-1-04,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.0,7540.0
2017-1-05,1.2e-05,1.2e-05,9e-06,1e-05,0.0,7904.0
2017-1-06,9e-06,9e-06,9e-06,9e-06,4.0,6051.0
2017-1-07,9e-06,9e-06,8e-06,9e-06,0.0,6191.0
2017-1-08,9e-06,9e-06,9e-06,9e-06,0.0,6300.0
2017-1-09,9e-06,9e-06,9e-06,9e-06,2.0,6243.0
2017-1-10,9e-06,9e-06,9e-06,9e-06,0.0,6195.0
2017-1-11,9e-06,9e-06,9e-06,9e-06,0.0,6236.0
2017-1-12,8e-06,8e-06,8e-06,8e-06,0.0,5260.0
2017-1-13,8e-06,8e-06,8e-06,8e-06,0.0,5531.0
2017-1-14,8e-06,8e-06,8e-06,8e-06,2.0,5743.0
2017-1-15,8e-06,8e-06,8e-06,8e-06,2.0,5656.0
2017-1-18,9e-06,9e-06,9e-06,9e-06,0.0,6061.0
2017-1-19,9e-06,1.8e-05,9e-06,9e-06,11783.0,6146.0
2017-1-20,9e-06,3.6e-05,9e-06,9e-06,16112.0,6239.0
2017-1-21,1.8e-05,1.8e-05,9e-06,1.8e-05,1914.0,12326.0
2017-1-22,1.8e-05,1.9e-05,9e-06,9e-06,190.0,12890.0
2017-1-23,9e-06,9e-06,9e-06,9e-06,98.0,6531.0
2017-1-24,9e-06,9e-06,9e-06,9e-06,2.0,6446.0
2017-1-25,9e-06,9e-06,9e-06,9e-06,9.0,6365.0
2017-1-26,9e-06,9e-06,9e-06,9e-06,70.0,6476.0
2017-1-27,9e-06,9e-06,9e-06,9e-06,12.0,6626.0
2017-1-28,9e-06,9e-06,9e-06,9e-06,5.0,6681.0
2017-1-29,9e-06,9e-06,9e-06,9e-06,3.0,6738.0
2017-1-30,9e-06,9e-06,9e-06,9e-06,14.0,6763.0
2017-1-31,9e-06,1e-05,9e-06,1e-05,8.0,6812.0
2017-2-01,1e-05,1e-05,9e-06,1e-05,202.0,7163.0
2017-2-02,1e-05,1e-05,1e-05,1e-05,150.0,7361.0
2017-2-03,1e-05,1e-05,9e-06,9e-06,12.0,7522.0
2017-2-04,9e-06,1e-05,3e-06,3e-06,1.0,6904.0
2017-2-05,3e-06,6e-06,7.699999999999999e-07,6e-06,3.0,2002.0
2017-2-06,6e-06,6e-06,8.1e-07,2e-06,1.0,4298.0
2017-2-07,2e-06,1.1e-05,2e-06,1.1e-05,12.0,1640.0
2017-2-08,1.1e-05,1.1e-05,1e-05,1.1e-05,0.0,8160.0
2017-2-09,1.1e-05,1.1e-05,1e-05,1e-05,41.0,8178.0
2017-2-10,1e-05,1e-05,8e-06,8e-06,0.0,7648.0
2017-2-11,8e-06,1e-05,8e-06,1e-05,13.0,6224.0
2017-2-12,1e-05,1e-05,1e-06,1e-06,8.0,7718.0
2017-2-13,1e-06,1e-05,7.1e-07,1e-05,1.0,1093.0
2017-2-14,1e-05,1e-05,1e-05,1e-05,0.0,7629.0
2017-2-15,1e-05,1e-05,1e-05,1e-05,0.0,7740.0
2017-2-17,1e-05,1.1e-05,1e-05,1e-05,2.0,7917.0
2017-2-18,1e-05,1.1e-05,1e-05,1.1e-05,5.0,8071.0
2017-2-19,1.1e-05,1.1e-05,1e-05,1e-05,1.0,8115.0
2017-2-20,1e-05,1.3e-05,1e-05,1.1e-05,1.0,8069.0
2017-2-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,8307.0
2017-2-22,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,8569.0
2017-2-23,1.1e-05,1.2e-05,1.1e-05,1.2e-05,0.0,8597.0
2017-2-24,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,9024.0
2017-2-27,8.699999999999999e-07,8.8e-07,8.699999999999999e-07,8.699999999999999e-07,0.0,673.0
2017-2-28,8.699999999999999e-07,8.8e-07,7.5e-07,7.5e-07,0.0,673.0
2017-3-01,7.5e-07,1.2e-05,7.5e-07,1.2e-05,19.0,581.0
2017-3-02,1.2e-05,1.3e-05,1.2e-05,1.3e-05,2.0,9428.0
2017-3-03,1.3e-05,1.3e-05,1.3e-05,1.3e-05,0.0,9628.0
2017-3-04,1.3e-05,1.3e-05,8.199999999999999e-07,1.2e-05,1.0,9917.0
2017-3-05,1.2e-05,1.3e-05,1e-05,1.2e-05,2.0,9296.0
2017-3-06,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.0,9160.0
2017-3-07,1.3e-05,1.3e-05,1.2e-05,1.2e-05,0.0,9905.0
2017-3-08,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,9520.0
2017-3-10,8e-07,8.1e-07,7.799999999999999e-07,7.9e-07,0.0,625.0
2017-3-11,7.9e-07,1.2e-05,7.9e-07,1.2e-05,14.0,616.0
2017-3-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,9179.0
2017-3-14,8.499999999999999e-07,8.599999999999999e-07,8.4e-07,8.499999999999999e-07,0.0,661.0
2017-3-15,8.499999999999999e-07,8.499999999999999e-07,8.4e-07,8.499999999999999e-07,0.0,663.0
2017-3-16,1.2e-05,1.2e-05,1.2e-05,1.2e-05,12.0,9563.0
2017-3-17,1.2e-05,1.2e-05,1.1e-05,1.1e-05,0.0,9207.0
2017-3-18,1.1e-05,1.1e-05,1e-05,1e-05,1.0,8579.0
2017-3-19,1e-05,1.1e-05,1e-05,1e-05,1.0,7626.0
2017-3-20,1e-05,1.1e-05,1e-05,1.1e-05,0.0,8092.0
2017-3-21,1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,8735.0
2017-3-22,1.1e-05,1.1e-05,1e-05,1e-05,0.0,8742.0
2017-3-23,1.1e-05,1.1e-05,1e-05,1e-05,1.0,8192.0
2017-3-24,1e-05,1e-05,1e-05,1e-05,1.0,8101.0
2017-3-26,1e-05,1e-05,1e-05,1e-05,0.0,7491.0
2017-3-27,1e-05,1.2e-05,8.499999999999999e-07,8.599999999999999e-07,0.0,7583.0
2017-3-28,8.499999999999999e-07,1.1e-05,8.499999999999999e-07,1e-05,3.0,667.0
2017-3-29,1e-05,1.1e-05,1e-05,1e-05,0.0,8161.0
2017-3-30,1e-05,1e-05,1e-06,2e-06,11.0,8130.0
2017-3-31,2e-06,1.1e-05,1e-06,1.1e-05,0.0,1222.0
2017-4-01,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,8361.0
2017-4-02,1e-06,3e-06,1e-06,3e-06,1.0,998.0
2017-4-03,3e-06,1.1e-05,3e-06,1.1e-05,0.0,2499.0
2017-4-04,1.1e-05,1.2e-05,1.1e-05,1.1e-05,0.0,8942.0
2017-4-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,0.0,8848.0
2017-4-10,2e-06,2e-06,2e-06,2e-06,0.0,1335.0
2017-4-11,2e-06,1.2e-05,2e-06,1.2e-05,0.0,1321.0
2017-4-12,1.2e-05,1.2e-05,1.2e-05,1.2e-05,12.0,9399.0
2017-4-13,1.2e-05,1.2e-05,1e-05,1.1e-05,0.0,9369.0
2017-4-14,1.1e-05,1.1e-05,2e-06,3e-06,1.0,8251.0
2017-4-15,3e-06,1.2e-05,3e-06,1.2e-05,0.0,2447.0
2017-4-16,2e-06,2e-06,2e-06,2e-06,0.0,1597.0
2017-4-17,2e-06,1.2e-05,2e-06,1.2e-05,1.0,1571.0
2017-4-18,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.0,9313.0
2017-4-19,1.1e-05,1.2e-05,8e-06,1.2e-05,0.0,8574.0
2017-4-20,1.2e-05,1.2e-05,7e-06,7e-06,3.0,9448.0
2017-4-21,7e-06,7e-06,1e-06,2e-06,12.0,5712.0
2017-4-22,2e-06,1.2e-05,2e-06,1.2e-05,26.0,1592.0
2017-4-23,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,9611.0
2017-4-24,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,9437.0
2017-4-27,1.3e-05,1.3e-05,1.3e-05,1.3e-05,4.0,10263.0
2017-4-28,1.3e-05,1.3e-05,1.3e-05,1.3e-05,2.0,10280.0
2017-4-29,1.3e-05,1.3e-05,3e-07,3.1e-07,1.0,10281.0
2017-4-30,3.1e-07,1.3e-05,3.1e-07,1.3e-05,0.0,245.0
2017-5-01,1.3e-05,1.4e-05,3e-06,3e-06,0.0,10518.0
2017-5-02,3e-06,3e-06,6.1e-07,6.4e-07,1.0,2360.0
2017-5-03,6.3e-07,6.4e-07,6.3e-07,6.4e-07,1.0,495.0
2017-5-04,1.5e-05,1.6e-05,1.5e-05,1.5e-05,1.0,11762.0
2017-5-05,1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.0,12021.0
2017-5-06,1.6e-05,1.6e-05,1.5e-05,1.6e-05,0.0,12207.0
2017-5-07,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,12322.0
2017-5-08,1.6e-05,1.7e-05,1.6e-05,1.7e-05,0.0,12458.0
2017-5-09,1.7e-05,1.8e-05,1e-06,1.7e-05,13.0,13449.0
2017-5-10,1.7e-05,1.8e-05,1.2e-05,1.2e-05,1.0,13338.0
2017-5-11,1.2e-05,1.3e-05,5e-06,6e-06,6.0,9726.0
2017-5-12,6e-06,6e-06,6e-06,6e-06,6.0,4454.0
2017-5-13,5e-06,5e-06,5e-06,5e-06,0.0,3968.0
2017-5-14,5e-06,6e-06,1e-06,4e-06,1.0,4194.0
2017-5-15,4e-06,1.7e-05,4e-06,1.7e-05,87.0,3439.0
2017-5-16,1.7e-05,1.8e-05,1.7e-05,1.7e-05,100.0,13482.0
2017-5-17,1.7e-05,1.8e-05,1.7e-05,1.8e-05,11.0,13516.0
2017-5-18,1.8e-05,1.9e-05,1.8e-05,1.9e-05,8.0,13991.0
2017-5-19,1.9e-05,2e-05,6e-06,9e-06,35.0,14711.0
2017-5-20,9e-06,2e-05,8e-06,2e-05,54.0,6970.0
2017-5-21,2e-05,2.1e-05,1.9e-05,2e-05,95.0,15448.0
2017-5-22,2e-05,2e-05,6e-06,6e-06,45.0,15499.0
