datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.0001,0.0001,5e-05,5e-05,27.0,0.0
"Jan 02, 2017",5e-05,5.2e-05,5e-05,5e-05,26.0,0.0
"Jan 05, 2017",5.9e-05,6e-05,5.1e-05,5.1e-05,1.0,0.0
"Jan 07, 2017",3.3e-05,3.6e-05,2.7e-05,2.7e-05,2.0,0.0
"Jan 08, 2017",2.7e-05,2.8e-05,2.7e-05,2.8e-05,1.0,0.0
"Jan 13, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,1.0,0.0
"Jan 14, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,1.0,0.0
"Jan 15, 2017",3.3e-05,3.3e-05,2.4e-05,2.5e-05,4.0,0.0
"Jan 16, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,4.0,0.0
"Jan 17, 2017",4.4e-05,4.6e-05,4.4e-05,4.5e-05,1.0,0.0
"Jan 18, 2017",4.5e-05,4.6e-05,2.6e-05,2.6e-05,1.0,0.0
"Jan 19, 2017",2.7e-05,2.7e-05,2.7e-05,2.7e-05,2.0,0.0
"Jan 20, 2017",2.7e-05,0.000126,2.7e-05,2.7e-05,50.0,0.0
"Jan 21, 2017",2.7e-05,2.8e-05,2.7e-05,2.8e-05,52.0,0.0
"Jan 25, 2017",2.7e-05,2.7e-05,2.7e-05,2.7e-05,3.0,0.0
"Jan 26, 2017",2.7e-05,2.7e-05,1.8e-05,1.8e-05,1.0,0.0
"Feb 01, 2017",2e-05,2e-05,2e-05,2e-05,1.0,0.0
"Feb 02, 2017",2e-05,2e-05,2e-05,2e-05,1.0,0.0
"Feb 03, 2017",2e-05,2.1e-05,2e-05,2.1e-05,1.0,0.0
"Feb 04, 2017",2.1e-05,2.1e-05,2.1e-05,2.1e-05,1.0,0.0
"Feb 05, 2017",2.1e-05,2.1e-05,2e-05,2.1e-05,1.0,0.0
"Feb 11, 2017",5e-05,5e-05,2e-05,2e-05,1.0,0.0
"Feb 12, 2017",2e-05,2e-05,2e-05,2e-05,1.0,0.0
"Feb 15, 2017",1e-05,1e-05,1e-05,1e-05,1.0,0.0
"Feb 16, 2017",1e-05,1e-05,1e-05,1e-05,2.0,0.0
"Feb 26, 2017",2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,0.0
"Feb 27, 2017",2.3e-05,2.4e-05,1.2e-05,1.2e-05,1.0,0.0
"Feb 28, 2017",1.2e-05,3.5e-05,1.2e-05,1.2e-05,1.0,0.0
"Mar 01, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.0,0.0
"Mar 13, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,1.0,0.0
"Mar 14, 2017",2.5e-05,3.7e-05,2.4e-05,3.7e-05,1.0,0.0
"Mar 15, 2017",3.7e-05,3.7e-05,2.5e-05,2.5e-05,1.0,0.0
"Mar 16, 2017",2.5e-05,2.5e-05,2.4e-05,2.4e-05,1.0,0.0
"Mar 17, 2017",2.4e-05,2.4e-05,1.1e-05,1.1e-05,1.0,0.0
"Mar 18, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,1.0,0.0
"Mar 24, 2017",2e-05,2e-05,1.9e-05,1.9e-05,1.0,0.0
"Mar 25, 2017",1.9e-05,1.9e-05,1.8e-05,1.9e-05,1.0,0.0
"Apr 01, 2017",1.1e-05,2.2e-05,1.1e-05,2.2e-05,8.0,0.0
"Apr 02, 2017",2.2e-05,3.3e-05,2.2e-05,3.3e-05,4.0,0.0
"Apr 03, 2017",3.3e-05,3.4e-05,2.3e-05,2.3e-05,5.0,0.0
"Apr 04, 2017",2.3e-05,3.4e-05,2.2e-05,2.3e-05,2.0,0.0
"Apr 05, 2017",2.3e-05,3.4e-05,2.2e-05,2.2e-05,1.0,0.0
"Apr 06, 2017",2.3e-05,2.3e-05,2.3e-05,2.3e-05,1.0,0.0
"Apr 08, 2017",2.4e-05,2.4e-05,2.3e-05,2.4e-05,1.0,0.0
"Apr 09, 2017",2.4e-05,2.4e-05,2.3e-05,2.4e-05,1.0,0.0
"Apr 10, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 11, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 12, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 13, 2017",2.4e-05,2.4e-05,2.3e-05,2.3e-05,1.0,0.0
"Apr 14, 2017",2.3e-05,3.6e-05,2.3e-05,2.3e-05,1.0,0.0
"Apr 15, 2017",2.3e-05,2.4e-05,2.3e-05,2.3e-05,1.0,0.0
"Apr 16, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 17, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 21, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 22, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.0,0.0
"Apr 23, 2017",2.5e-05,3.7e-05,2.4e-05,2.4e-05,1.0,0.0
"Apr 24, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,1.0,0.0
"Apr 25, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,1.0,0.0
"Apr 26, 2017",2.5e-05,3.9e-05,2.5e-05,2.6e-05,1.0,0.0
"Apr 27, 2017",2.6e-05,2.7e-05,2.6e-05,2.7e-05,2.0,0.0
"Apr 28, 2017",2.7e-05,3.7e-05,2.7e-05,2.8e-05,2.0,0.0
"Apr 29, 2017",2.8e-05,3e-05,2.6e-05,2.9e-05,0.0,0.0
"Apr 30, 2017",2.9e-05,3.1e-05,2.7e-05,2.7e-05,1.0,0.0
"May 01, 2017",2.7e-05,2.7e-05,2.7e-05,2.7e-05,1.0,0.0
"May 03, 2017",2.9e-05,3e-05,2.9e-05,3e-05,12.0,0.0
"May 04, 2017",3e-05,3.2e-05,3e-05,3e-05,3.0,0.0
"May 05, 2017",4.8e-05,4.8e-05,3.1e-05,3.1e-05,2.0,0.0
"May 06, 2017",3.1e-05,3.2e-05,3.1e-05,3.2e-05,5.0,0.0
"May 07, 2017",3.2e-05,4.1e-05,1.7e-05,4.1e-05,0.0,0.0
"May 10, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,2.0,0.0
"May 11, 2017",3.6e-05,7.4e-05,1.8e-05,1.8e-05,4.0,0.0
"May 12, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,2.0,0.0
"May 17, 2017",1.7e-05,0.000175,1.7e-05,0.000174,6.0,0.0
"May 18, 2017",0.000174,0.000265,5e-05,5e-05,2.0,0.0
"May 19, 2017",5e-05,0.000258,1.9e-05,3.9e-05,4.0,0.0
"May 20, 2017",3.9e-05,4e-05,3.9e-05,4e-05,2.0,0.0
"May 21, 2017",4e-05,6.1e-05,4e-05,5.8e-05,2.0,0.0
"May 22, 2017",5.9e-05,6.3e-05,2.3e-05,4.2e-05,8.0,0.0
"May 23, 2017",4.2e-05,4.4e-05,2.1e-05,2.3e-05,2.0,0.0
"May 24, 2017",2.3e-05,2.3e-05,2.3e-05,2.3e-05,2.0,0.0
"May 26, 2017",0.000117,0.000129,6.5e-05,6.7e-05,13.0,0.0
"May 27, 2017",6.7e-05,6.7e-05,1.9e-05,2e-05,4.0,0.0
"May 28, 2017",2e-05,6.6e-05,2e-05,6.5e-05,4.0,0.0
"May 29, 2017",6.5e-05,0.000231,6.3e-05,0.000227,83.0,0.0
