datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.021625,0.022499,0.021523,0.022392,14.0,10480.0
2017-1-02,0.022392,0.023134,0.022356,0.022919,14.0,10853.0
2017-1-03,0.022918,0.023216,0.020482,0.020944,11.0,11107.0
2017-1-04,0.020939,0.026006,0.020939,0.025874,12.0,10148.0
2017-1-05,0.025901,0.026689,0.018327,0.02048,9.0,12553.0
2017-1-06,0.020498,0.047314,0.018723,0.046806,23.0,9934.0
2017-1-07,0.046873,0.047098,0.023727,0.030582,59.0,22717.0
2017-1-08,0.030583,0.045582,0.030297,0.035487,21.0,14822.0
2017-1-09,0.035537,0.045154,0.030987,0.045075,60.0,17223.0
2017-1-10,0.045032,0.045562,0.030868,0.033599,34.0,21825.0
2017-1-11,0.033602,0.045753,0.030518,0.038732,5.0,16285.0
2017-1-12,0.038732,0.038771,0.030245,0.033803,8.0,18772.0
2017-1-13,0.033757,0.040086,0.028889,0.033745,45.0,16360.0
2017-1-14,0.033792,0.037025,0.032498,0.032749,29.0,16377.0
2017-1-15,0.032737,0.032912,0.020402,0.020579,7.0,15866.0
2017-1-16,0.020578,0.039929,0.02054,0.023277,184.0,9973.0
2017-1-17,0.023283,0.025496,0.023266,0.025434,5.0,11284.0
2017-1-18,0.026758,0.035319,0.025749,0.035319,17.0,12968.0
2017-1-19,0.035465,0.042779,0.026613,0.042535,54.0,17188.0
2017-1-20,0.042517,0.042517,0.029715,0.030073,1.0,20606.0
2017-1-21,0.030073,0.041211,0.02762,0.032264,116.0,14575.0
2017-1-22,0.032263,0.063148,0.032263,0.051722,799.0,15636.0
2017-1-23,0.051782,0.138708,0.051337,0.138241,2639.0,25096.0
2017-1-24,0.136602,0.222518,0.063282,0.178457,3585.0,66204.0
2017-1-25,0.178537,0.192932,0.091074,0.143336,4418.0,86528.0
2017-1-26,0.143472,0.316718,0.101329,0.114942,22423.0,69534.0
2017-1-27,0.114946,0.174238,0.114946,0.133007,2434.0,55709.0
2017-1-28,0.133005,0.33987,0.11563,0.206849,7222.0,64461.0
2017-1-29,0.206851,0.447272,0.206851,0.366989,8244.0,100250.0
2017-1-30,0.384239,0.385785,0.225231,0.244904,4406.0,186221.0
2017-1-31,0.244812,0.336626,0.235373,0.264969,1435.0,118648.0
2017-2-01,0.264969,0.3839,0.218867,0.237368,5245.0,144469.0
2017-2-02,0.237346,0.413986,0.237346,0.276555,3923.0,129412.0
2017-2-03,0.276462,0.359849,0.25715,0.257477,1470.0,150740.0
