datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
"Jan 01, 2017",0.023453,0.023553,0.022849,0.023298,779.0,700822.0
"Jan 02, 2017",0.02331,0.02537,0.023223,0.024092,1454.0,696555.0
"Jan 03, 2017",0.024091,0.024709,0.023138,0.023598,1670.0,719928.0
"Jan 04, 2017",0.023593,0.024041,0.021546,0.022588,1902.0,705072.0
"Jan 05, 2017",0.022609,0.022969,0.017866,0.021355,1972.0,675706.0
"Jan 06, 2017",0.021404,0.024296,0.019833,0.020906,4627.0,639709.0
"Jan 07, 2017",0.020936,0.021586,0.018057,0.020401,2650.0,625751.0
"Jan 08, 2017",0.020402,0.025217,0.020304,0.024017,691.0,609803.0
"Jan 09, 2017",0.024049,0.02411,0.019925,0.020221,1661.0,718833.0
"Jan 10, 2017",0.020211,0.025475,0.019621,0.020875,1655.0,604173.0
"Jan 11, 2017",0.020655,0.020879,0.017652,0.017828,708.0,617458.0
"Jan 12, 2017",0.017816,0.018752,0.017151,0.0177,2164.0,532583.0
"Jan 13, 2017",0.01769,0.020259,0.017121,0.019096,1968.0,528839.0
"Jan 14, 2017",0.019194,0.026962,0.018651,0.025262,4750.0,573841.0
"Jan 15, 2017",0.025261,0.027043,0.024159,0.024448,5050.0,755220.0
"Jan 16, 2017",0.024448,0.024962,0.022711,0.023495,3443.0,730970.0
"Jan 17, 2017",0.023345,0.023778,0.021293,0.02216,5699.0,698027.0
"Jan 18, 2017",0.023519,0.023636,0.02109,0.022116,1273.0,703259.0
"Jan 19, 2017",0.02225,0.025354,0.021046,0.022654,2482.0,665362.0
"Jan 20, 2017",0.022638,0.022762,0.021336,0.022268,2096.0,677006.0
"Jan 21, 2017",0.022277,0.023948,0.021416,0.023236,1859.0,666205.0
"Jan 22, 2017",0.023235,0.024145,0.022611,0.022987,1565.0,694890.0
"Jan 23, 2017",0.023011,0.023038,0.020663,0.021598,2277.0,688218.0
"Jan 24, 2017",0.020855,0.021275,0.019502,0.019999,2473.0,623770.0
"Jan 25, 2017",0.019893,0.020833,0.018398,0.018981,8458.0,595030.0
"Jan 26, 2017",0.018935,0.020503,0.017603,0.01889,4318.0,566382.0
"Jan 27, 2017",0.01889,0.022166,0.01889,0.021634,3438.0,565168.0
"Jan 28, 2017",0.021644,0.030314,0.019964,0.028254,11892.0,647611.0
"Jan 29, 2017",0.028252,0.028763,0.023912,0.027006,5650.0,845353.0
"Jan 30, 2017",0.02701,0.03119,0.026335,0.029032,8920.0,808266.0
"Jan 31, 2017",0.029021,0.032011,0.026969,0.02816,8516.0,868473.0
"Feb 01, 2017",0.02808,0.02934,0.026045,0.027369,2029.0,840344.0
"Feb 02, 2017",0.027374,0.036869,0.025601,0.036869,17367.0,819279.0
"Feb 03, 2017",0.036868,0.048346,0.033906,0.04786,44192.0,1103510.0
"Feb 04, 2017",0.047924,0.049788,0.042235,0.043616,24976.0,1434510.0
"Feb 05, 2017",0.043641,0.050412,0.041262,0.04701,25817.0,1306360.0
"Feb 06, 2017",0.047058,0.048695,0.035747,0.041464,19167.0,1408670.0
"Feb 07, 2017",0.041543,0.041637,0.034374,0.03557,13999.0,1243620.0
"Feb 08, 2017",0.035601,0.041167,0.034017,0.038725,14223.0,1065770.0
"Feb 09, 2017",0.038778,0.039581,0.034101,0.035881,5286.0,1160910.0
"Feb 10, 2017",0.035273,0.035366,0.030638,0.035128,6345.0,1056000.0
"Feb 11, 2017",0.034624,0.044884,0.034109,0.043153,18644.0,1036590.0
"Feb 12, 2017",0.043293,0.04339,0.037329,0.038503,7456.0,1296180.0
"Feb 13, 2017",0.038491,0.038508,0.035073,0.035594,6426.0,1152450.0
"Feb 14, 2017",0.035633,0.03691,0.03366,0.034141,4899.0,1066900.0
"Feb 15, 2017",0.034197,0.036055,0.033476,0.035367,3568.0,1023910.0
"Feb 16, 2017",0.035373,0.035918,0.034103,0.035118,3705.0,1059160.0
"Feb 17, 2017",0.035074,0.035934,0.0313,0.032289,6811.0,1050220.0
"Feb 18, 2017",0.033163,0.034029,0.030614,0.03089,2818.0,993051.0
"Feb 19, 2017",0.030899,0.032036,0.029557,0.030269,3796.0,925298.0
"Feb 20, 2017",0.030293,0.030908,0.028044,0.028359,5551.0,907168.0
"Feb 21, 2017",0.028328,0.02974,0.028275,0.029473,3301.0,848338.0
"Feb 22, 2017",0.029288,0.03035,0.028718,0.02911,3390.0,877230.0
"Feb 23, 2017",0.029154,0.031349,0.029154,0.031231,1508.0,873737.0
"Feb 24, 2017",0.031029,0.033459,0.029381,0.033452,3743.0,930304.0
