datum,zacetna,najnizja,najvisja,koncna,volumen,kapital
2017-1-01,0.041052,0.051353,0.038406,0.041011,65.0,33316.0
2017-1-02,0.041011,0.048294,0.040825,0.044261,38.0,33374.0
2017-1-03,0.04426,0.044483,0.035345,0.035707,162.0,36110.0
2017-1-04,0.035699,0.040403,0.035385,0.038955,27.0,29196.0
2017-1-05,0.038995,0.047435,0.031625,0.036987,276.0,31967.0
2017-1-06,0.036997,0.041582,0.031669,0.035463,101.0,30405.0
2017-1-07,0.035514,0.047688,0.033027,0.03735,75.0,29257.0
2017-1-08,0.03735,0.043225,0.031608,0.032262,145.0,30848.0
2017-1-09,0.032307,0.036741,0.03077,0.032971,80.0,26755.0
2017-1-10,0.032939,0.03819,0.031538,0.038055,42.0,27351.0
2017-1-11,0.038059,0.03934,0.0263,0.028544,187.0,31682.0
2017-1-12,0.028563,0.053529,0.026219,0.053502,198.0,23836.0
2017-1-13,0.053431,0.079949,0.037965,0.079452,375.0,44688.0
2017-1-14,0.079562,0.15599,0.064277,0.109625,2255.0,66730.0
2017-1-15,0.109584,0.14768,0.074751,0.082321,372.0,92152.0
2017-1-16,0.082318,0.107536,0.077495,0.079267,92.0,69409.0
2017-1-17,0.079287,0.100623,0.074781,0.076671,167.0,67022.0
2017-1-18,0.076842,0.081485,0.067398,0.077505,79.0,65144.0
2017-1-19,0.077517,0.078302,0.049439,0.073792,172.0,65848.0
2017-1-20,0.051336,0.071787,0.050823,0.066104,102.0,43717.0
2017-1-21,0.066106,0.066214,0.056558,0.061723,26.0,56453.0
2017-1-22,0.061722,0.062037,0.054391,0.055468,155.0,52847.0
2017-1-23,0.055581,0.055581,0.051153,0.051518,303.0,47709.0
2017-1-24,0.050907,0.059381,0.049101,0.054231,623.0,43796.0
2017-1-25,0.054256,0.058656,0.044433,0.04549,2345.0,46791.0
2017-1-26,0.045477,0.079091,0.044821,0.07001,3334.0,39311.0
2017-1-27,0.07048,0.077672,0.051517,0.064373,2730.0,61070.0
2017-1-28,0.064369,0.074633,0.063754,0.06763,2052.0,55896.0
2017-1-29,0.067666,0.11912,0.047465,0.05899,1679.0,58905.0
2017-1-30,0.058988,0.109325,0.058988,0.064114,1472.0,51481.0
2017-1-31,0.063866,0.070782,0.056966,0.065497,2344.0,55867.0
2017-2-01,0.065508,0.072514,0.061909,0.065136,1513.0,57421.0
2017-2-02,0.06662,0.073418,0.056763,0.071508,1428.0,58529.0
2017-2-03,0.071751,0.099365,0.071001,0.088361,2908.0,63191.0
2017-2-04,0.088514,0.097878,0.076445,0.077894,1301.0,78149.0
2017-2-05,0.078192,0.107379,0.068844,0.094841,2901.0,69226.0
2017-2-06,0.09385,0.128616,0.083452,0.086537,1468.0,83314.0
2017-2-07,0.086702,0.099415,0.073955,0.081299,1740.0,77171.0
2017-2-08,0.081373,0.087843,0.075953,0.087161,417.0,72604.0
2017-2-09,0.087281,0.087281,0.068173,0.072293,1446.0,78064.0
2017-2-10,0.072384,0.077821,0.067128,0.077417,1398.0,64861.0
2017-2-11,0.081683,0.084809,0.074858,0.076408,997.0,73389.0
2017-2-12,0.076337,0.084212,0.074856,0.075826,897.0,68749.0
2017-2-13,0.075803,0.079466,0.073248,0.075509,1333.0,68444.0
2017-2-14,0.075592,0.077036,0.072046,0.073738,1226.0,68416.0
2017-2-15,0.07386,0.074023,0.06537,0.06552,1057.0,67025.0
2017-2-16,0.065961,0.077567,0.065644,0.074073,1124.0,59987.0
2017-2-17,0.076255,0.08111,0.070443,0.07626,1036.0,69499.0
2017-2-18,0.075494,0.081629,0.071895,0.071915,1084.0,68950.0
2017-2-19,0.071938,0.074687,0.071938,0.072912,997.0,65843.0
2017-2-20,0.072969,0.076168,0.072647,0.076132,1169.0,66923.0
2017-2-21,0.076083,0.086279,0.074849,0.078292,1203.0,69932.0
2017-2-22,0.078257,0.078659,0.076581,0.078066,1181.0,72071.0
2017-2-23,0.077719,0.091109,0.077563,0.087391,2885.0,71680.0
2017-2-24,0.08784,0.092049,0.079186,0.08221,2243.0,81198.0
2017-2-25,0.081981,0.084705,0.065425,0.072503,2880.0,75961.0
2017-2-26,0.07253,0.077039,0.062813,0.075533,962.0,67376.0
2017-2-27,0.075441,0.078482,0.067527,0.077803,1340.0,70243.0
2017-2-28,0.077853,0.079357,0.067628,0.068683,1115.0,72634.0
2017-3-01,0.068687,0.07649,0.06867,0.074609,1752.0,64206.0
2017-3-02,0.074742,0.079509,0.071758,0.073616,1348.0,70018.0
2017-3-03,0.071414,0.082306,0.071414,0.076505,1636.0,67056.0
2017-3-04,0.076666,0.079766,0.070502,0.07261,1602.0,72127.0
2017-3-05,0.071441,0.081658,0.07104,0.077405,2335.0,67348.0
2017-3-06,0.078741,0.081571,0.073977,0.075391,2090.0,74392.0
2017-3-07,0.079143,0.080653,0.070468,0.074977,1569.0,74933.0
2017-3-08,0.074958,0.078763,0.066545,0.066656,1506.0,71121.0
2017-3-09,0.066676,0.074469,0.066146,0.069142,1689.0,63399.0
2017-3-10,0.073713,0.077166,0.06514,0.075074,2179.0,70237.0
2017-3-11,0.072682,0.079934,0.071386,0.072245,1359.0,69362.0
2017-3-12,0.072237,0.076857,0.045094,0.047971,1326.0,69075.0
2017-3-13,0.047986,0.078788,0.043849,0.068416,2423.0,45987.0
2017-3-14,0.073934,0.078735,0.066504,0.06713,3166.0,71013.0
2017-3-15,0.07203,0.077272,0.049201,0.069904,2595.0,69350.0
2017-3-16,0.069556,0.135936,0.068656,0.108223,6026.0,67108.0
2017-3-17,0.105946,0.120542,0.095713,0.102846,2833.0,102428.0
2017-3-18,0.102794,0.105285,0.08299,0.084893,2224.0,99559.0
2017-3-19,0.091466,0.135355,0.086696,0.106629,4446.0,88734.0
2017-3-20,0.10669,0.123817,0.10045,0.112531,4756.0,103664.0
2017-3-21,0.112639,0.122531,0.098236,0.109751,4069.0,109665.0
2017-3-22,0.109837,0.123466,0.101343,0.108866,3226.0,107159.0
2017-3-23,0.108952,0.123469,0.095789,0.119517,4148.0,106517.0
2017-3-24,0.120663,0.122393,0.102161,0.110124,4647.0,118203.0
2017-3-25,0.110012,0.120765,0.10316,0.118286,5287.0,107973.0
2017-3-26,0.118764,0.29951,0.099427,0.152164,7121.0,116779.0
2017-3-27,0.150289,0.239384,0.123152,0.137814,6421.0,148107.0
2017-3-28,0.137653,0.254929,0.134558,0.217307,11241.0,135941.0
2017-3-29,0.210396,0.314469,0.159275,0.267469,20980.0,208205.0
2017-3-30,0.232382,0.330024,0.209404,0.240608,8549.0,230446.0
2017-3-31,0.24167,0.252689,0.175971,0.200954,2193.0,240164.0
2017-4-01,0.200984,0.28035,0.180288,0.238962,5151.0,200082.0
2017-4-02,0.239851,0.552866,0.238063,0.270161,3426.0,239289.0
2017-4-03,0.272352,0.293345,0.242946,0.246182,3097.0,272258.0
2017-4-04,0.245315,0.246638,0.194923,0.222428,3504.0,245732.0
2017-4-05,0.223275,0.223581,0.155948,0.170312,3474.0,224148.0
2017-4-06,0.171018,0.208799,0.169315,0.188882,2450.0,172042.0
2017-4-07,0.188326,0.208734,0.180804,0.19926,1417.0,189846.0
2017-4-08,0.198541,0.198707,0.179581,0.185668,1188.0,200538.0
2017-4-09,0.18871,0.202567,0.185165,0.194353,3020.0,190879.0
2017-4-10,0.19427,0.398522,0.188605,0.233786,4897.0,196866.0
2017-4-11,0.233633,0.27371,0.208023,0.211571,4802.0,237265.0
2017-4-12,0.211528,0.236574,0.209229,0.22386,3199.0,215209.0
2017-4-13,0.21946,0.231679,0.214624,0.218607,1390.0,223672.0
2017-4-14,0.21884,0.225414,0.195181,0.199766,2671.0,223480.0
2017-4-15,0.199677,0.243306,0.199181,0.23588,1630.0,204308.0
2017-4-16,0.236011,0.302194,0.236011,0.270518,6378.0,241968.0
2017-4-17,0.270589,0.289608,0.246816,0.288725,1564.0,277974.0
2017-4-18,0.288659,0.2921,0.272655,0.287458,777.0,297109.0
2017-4-19,0.287577,0.322202,0.26338,0.296845,4810.0,296545.0
2017-4-20,0.297039,0.29726,0.263687,0.287407,2379.0,306843.0
2017-4-21,0.28746,0.288635,0.262829,0.269801,1521.0,297482.0
2017-4-22,0.269952,0.300567,0.266492,0.271884,3557.0,279857.0
